//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NewsDaemon.framework/Versions/A/NewsDaemon
// arch:    arm64e
// uuid:    1D32CB34-B532-3598-91FD-B7301D6D8AAB
// text:    0x000000025d857000
// count:   1683 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000025d858eb0  0x00000114  __TEXT,__text  func  NDTodayFeedConfigDecodingServiceXPCInterface
0x000000025d858fc4  0x00000088  __TEXT,__text  func  NDTodayFeedConfigDecodingServiceXPCConnection
0x000000025d85904c  0x00000010  __TEXT,__text  func  __NDTodayFeedConfigDecodingServiceXPCConnection_block_invoke
0x000000025d85905c  0x00000058  __TEXT,__text  func  NDSharedServiceLog
0x000000025d8590b4  0x00000048  __TEXT,__text  func  __NDSharedServiceLog_block_invoke
0x000000025d8590fc  0x00000058  __TEXT,__text  func  NDSharedClientLog
0x000000025d859154  0x00000048  __TEXT,__text  func  __NDSharedClientLog_block_invoke
0x000000025d85919c  0x00000068  __TEXT,__text  func  -[NDANFHelperProxy init]
0x000000025d859204  0x00000060  __TEXT,__text  func  -[NDANFHelperProxy dealloc]
0x000000025d859264  0x00000240  __TEXT,__text  func  -[NDANFHelperProxy manifestFromANFDocumentData:reachedService:]
0x000000025d8594a4  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000025d8594b4  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000025d8594bc  0x0000005c  __TEXT,__text  func  __63-[NDANFHelperProxy manifestFromANFDocumentData:reachedService:]_block_invoke
0x000000025d859518  0x00000188  __TEXT,__text  func  __63-[NDANFHelperProxy manifestFromANFDocumentData:reachedService:]_block_invoke.5
0x000000025d8596a0  0x0000004c  __TEXT,__text  func  __63-[NDANFHelperProxy manifestFromANFDocumentData:reachedService:]_block_invoke_2
0x000000025d8596ec  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x000000025d8596f4  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x000000025d8596fc  0x00000058  __TEXT,__text  func  __copy_helper_block_e8_32s40r48r
0x000000025d859754  0x0000004c  __TEXT,__text  func  __destroy_helper_block_e8_32s40r48r
0x000000025d8597a0  0x00000008  __TEXT,__text  func  -[NDANFHelperProxy manifestFromANFDocumentData:]
0x000000025d8597a8  0x0000007c  __TEXT,__text  func  -[NDANFHelperProxy pushInterest]
0x000000025d859824  0x000000f4  __TEXT,__text  func  -[NDANFHelperProxy popInterest]
0x000000025d859918  0x00000134  __TEXT,__text  func  -[NDANFHelperProxy _connectionToXPCService]
0x000000025d859a4c  0x00000044  __TEXT,__text  func  __43-[NDANFHelperProxy _connectionToXPCService]_block_invoke
0x000000025d859a90  0x00000044  __TEXT,__text  func  __43-[NDANFHelperProxy _connectionToXPCService]_block_invoke.11
0x000000025d859ad4  0x00000008  __TEXT,__text  func  -[NDANFHelperProxy xpcConnection]
0x000000025d859adc  0x00000044  __TEXT,__text  func  -[NDANFHelperProxy setXpcConnection:]
0x000000025d859b20  0x00000008  __TEXT,__text  func  -[NDANFHelperProxy xpcConnectionInterest]
0x000000025d859b28  0x00000008  __TEXT,__text  func  -[NDANFHelperProxy setXpcConnectionInterest:]
0x000000025d859b30  0x00000008  __TEXT,__text  func  -[NDANFHelperProxy xpcConnectionLock]
0x000000025d859b38  0x00000044  __TEXT,__text  func  -[NDANFHelperProxy setXpcConnectionLock:]
0x000000025d859b7c  0x00000044  __TEXT,__text  func  -[NDANFHelperProxy .cxx_destruct]
0x000000025d859bc0  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000025d859bd8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000025d859bec  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000025d859bf8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x000000025d859c0c  0x00000154  __TEXT,__text  func  -[NDAssertion init]
0x000000025d859d60  0x0000010c  __TEXT,__text  func  -[NDAssertion initWithName:options:]
0x000000025d859e6c  0x00000008  __TEXT,__text  func  -[NDAssertion initWithName:]
0x000000025d859e74  0x00000058  __TEXT,__text  func  -[NDAssertion dealloc]
0x000000025d859ecc  0x00000008  __TEXT,__text  func  -[NDAssertion transaction]
0x000000025d859ed4  0x00000008  __TEXT,__text  func  -[NDAssertion powerAssertionID]
0x000000025d859edc  0x0000000c  __TEXT,__text  func  -[NDAssertion .cxx_destruct]
0x000000025d859ee8  0x00000070  __TEXT,__text  func  -[NDNewsDaemonContext init]
0x000000025d859f58  0x00000090  __TEXT,__text  func  -[NDNewsDaemonContext serviceHasNewTodayResults]
0x000000025d859fe8  0x0000007c  __TEXT,__text  func  __48-[NDNewsDaemonContext serviceHasNewTodayResults]_block_invoke
0x000000025d85a064  0x00000078  __TEXT,__text  func  -[NDNewsDaemonContext fetchModuleDescriptorsWithCompletion:]
0x000000025d85a0dc  0x000000bc  __TEXT,__text  func  -[NDNewsDaemonContext fetchLatestResultsWithParameters:completion:]
