//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NexusDaemon.framework/Versions/A/NexusDaemon
// arch:    arm64e
// uuid:    05111C2C-B8DC-3241-A717-15CC197C791F
// text:    0x000000025da65000
// count:   1375 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000025da66678  0x00000074  __TEXT,__text  sub  sub_25da66678
0x000000025da666ec  0x0000027c  __TEXT,__text  sub  sub_25da666ec
0x000000025da66968  0x00000058  __TEXT,__text  sub  sub_25da66968
0x000000025da669c0  0x00000008  __TEXT,__text  sub  sub_25da669c0
0x000000025da669c8  0x0000004c  __TEXT,__text  sub  sub_25da669c8
0x000000025da66a14  0x000000f8  __TEXT,__text  sub  sub_25da66a14
0x000000025da66b0c  0x0000063c  __TEXT,__text  sub  sub_25da66b0c
0x000000025da67148  0x0000010c  __TEXT,__text  sub  sub_25da67148
0x000000025da67254  0x0000006c  __TEXT,__text  sub  sub_25da67254
0x000000025da672c0  0x00000418  __TEXT,__text  sub  sub_25da672c0
0x000000025da676d8  0x000003f0  __TEXT,__text  sub  sub_25da676d8
0x000000025da67ac8  0x000007e8  __TEXT,__text  sub  sub_25da67ac8
0x000000025da682b0  0x00000600  __TEXT,__text  sub  sub_25da682b0
0x000000025da688b0  0x00000278  __TEXT,__text  sub  sub_25da688b0
0x000000025da68b28  0x00000004  __TEXT,__text  sub  sub_25da68b28
0x000000025da68b2c  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x000000025da68b64  0x000000cc  __TEXT,__text  sub  sub_25da68b64
0x000000025da68c30  0x00000114  __TEXT,__text  sub  sub_25da68c30
0x000000025da68d44  0x0000004c  __TEXT,__text  sub  sub_25da68d44
0x000000025da68d90  0x00000138  __TEXT,__text  sub  sub_25da68d90
0x000000025da68ec8  0x000000f4  __TEXT,__text  sub  sub_25da68ec8
0x000000025da68fbc  0x00000074  __TEXT,__text  sub  sub_25da68fbc
0x000000025da69030  0x000000f4  __TEXT,__text  sub  sub_25da69030
0x000000025da69124  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_1Tm  // aliases: __swift_destroy_boxed_opaque_existential_0Tm, __swift_destroy_boxed_opaque_existential_0
0x000000025da69168  0x00000054  __TEXT,__text  sub  sub_25da69168
0x000000025da691bc  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x000000025da69210  0x00000004  __TEXT,__text  func  _swift_stdlib_malloc_size
0x000000025da69214  0x00000064  __TEXT,__text  func  __swift_allocate_value_buffer
0x000000025da69278  0x00000010  __TEXT,__text  sub  sub_25da69278
0x000000025da69288  0x00000048  __TEXT,__text  sub  sub_25da69288
0x000000025da692d0  0x00000038  __TEXT,__text  sub  sub_25da692d0
0x000000025da69308  0x00000008  __TEXT,__text  sub  sub_25da69308
0x000000025da69310  0x00000074  __TEXT,__text  sub  sub_25da69310
0x000000025da69384  0x0000006c  __TEXT,__text  sub  sub_25da69384
0x000000025da693f0  0x000004d4  __TEXT,__text  sub  sub_25da693f0
0x000000025da698c4  0x00000718  __TEXT,__text  sub  sub_25da698c4
0x000000025da69fdc  0x0000050c  __TEXT,__text  sub  sub_25da69fdc
0x000000025da6a4e8  0x000004c8  __TEXT,__text  sub  sub_25da6a4e8
0x000000025da6a9b0  0x00000094  __TEXT,__text  sub  sub_25da6a9b0
0x000000025da6aa44  0x000000e0  __TEXT,__text  sub  sub_25da6aa44
0x000000025da6ab24  0x00000030  __TEXT,__text  sub  sub_25da6ab24
0x000000025da6ab54  0x00000038  __TEXT,__text  sub  sub_25da6ab54
0x000000025da6ab8c  0x000000b4  __TEXT,__text  sub  sub_25da6ab8c
0x000000025da6ac40  0x00000008  __TEXT,__text  sub  sub_25da6ac40
0x000000025da6ac48  0x0000004c  __TEXT,__text  sub  sub_25da6ac48
0x000000025da6ac94  0x000000b8  __TEXT,__text  sub  sub_25da6ac94
0x000000025da6ad4c  0x00000004  __TEXT,__text  sub  sub_25da6ad4c
0x000000025da6ad50  0x00000024  __TEXT,__text  sub  sub_25da6ad50
0x000000025da6ad74  0x00000004  __TEXT,__text  sub  sub_25da6ad74
0x000000025da6ad78  0x00000028  __TEXT,__text  sub  sub_25da6ad78
0x000000025da6ada0  0x00000058  __TEXT,__text  sub  sub_25da6ada0
0x000000025da6adf8  0x000000e4  __TEXT,__text  sub  sub_25da6adf8
0x000000025da6aedc  0x00000164  __TEXT,__text  sub  sub_25da6aedc
0x000000025da6b040  0x000000f0  __TEXT,__text  sub  sub_25da6b040
0x000000025da6b130  0x00000170  __TEXT,__text  sub  sub_25da6b130
0x000000025da6b2a0  0x00000194  __TEXT,__text  sub  sub_25da6b2a0
0x000000025da6b434  0x00000190  __TEXT,__text  sub  sub_25da6b434
0x000000025da6b5c4  0x00000604  __TEXT,__text  sub  sub_25da6b5c4
0x000000025da6bbc8  0x00000038  __TEXT,__text  sub  sub_25da6bbc8
0x000000025da6bc00  0x00000038  __TEXT,__text  sub  sub_25da6bc00
0x000000025da6bc38  0x00000008  __TEXT,__text  sub  sub_25da6bc38
0x000000025da6bc40  0x00000278  __TEXT,__text  sub  sub_25da6bc40
0x000000025da6beb8  0x000006c4  __TEXT,__text  sub  sub_25da6beb8
0x000000025da6c57c  0x00000068  __TEXT,__text  sub  sub_25da6c57c
0x000000025da6c5e4  0x00000008  __TEXT,__text  sub  sub_25da6c5e4
0x000000025da6c5ec  0x00000034  __TEXT,__text  sub  sub_25da6c5ec
0x000000025da6c620  0x00000040  __TEXT,__text  sub  sub_25da6c620
0x000000025da6c660  0x00000050  __TEXT,__text  sub  sub_25da6c660
0x000000025da6c6b0  0x00000070  __TEXT,__text  sub  sub_25da6c6b0
0x000000025da6c720  0x000000a0  __TEXT,__text  sub  sub_25da6c720
0x000000025da6c7c0  0x000000c8  __TEXT,__text  sub  sub_25da6c7c0
0x000000025da6c888  0x00000020  __TEXT,__text  sub  sub_25da6c888
0x000000025da6c8a8  0x00000020  __TEXT,__text  sub  sub_25da6c8a8
0x000000025da6c8c8  0x00000060  __TEXT,__text  sub  sub_25da6c8c8
0x000000025da6c928  0x00000004  __TEXT,__text  sub  sub_25da6c928
0x000000025da6c92c  0x00000044  __TEXT,__text  sub  sub_25da6c92c
0x000000025da6c970  0x00000050  __TEXT,__text  sub  sub_25da6c970
0x000000025da6c9c0  0x00000060  __TEXT,__text  sub  sub_25da6c9c0
0x000000025da6ca20  0x00000050  __TEXT,__text  sub  sub_25da6ca20
0x000000025da6ca70  0x000001d0  __TEXT,__text  sub  sub_25da6ca70
0x000000025da6cc40  0x00001ee0  __TEXT,__text  sub  sub_25da6cc40
0x000000025da6eb20  0x00000054  __TEXT,__text  sub  sub_25da6eb20
0x000000025da6eb74  0x00000018  __TEXT,__text  sub  sub_25da6eb74
0x000000025da6eb8c  0x00000044  __TEXT,__text  func  __swift_project_boxed_opaque_existential_1
0x000000025da6ebd0  0x00000020  __TEXT,__text  sub  sub_25da6ebd0
0x000000025da6ebf0  0x000001a4  __TEXT,__text  sub  sub_25da6ebf0
0x000000025da6ed94  0x00000558  __TEXT,__text  sub  sub_25da6ed94
0x000000025da6f2ec  0x00000044  __TEXT,__text  sub  sub_25da6f2ec
0x000000025da6f330  0x000007e4  __TEXT,__text  sub  sub_25da6f330
0x000000025da6fb14  0x00000118  __TEXT,__text  sub  sub_25da6fb14
0x000000025da6fc2c  0x00000020  __TEXT,__text  sub  sub_25da6fc2c
0x000000025da6fc4c  0x00000274  __TEXT,__text  sub  sub_25da6fc4c
0x000000025da6fec0  0x000001b4  __TEXT,__text  sub  sub_25da6fec0
0x000000025da70074  0x00000138  __TEXT,__text  sub  sub_25da70074
0x000000025da701ac  0x000005b4  __TEXT,__text  sub  sub_25da701ac
0x000000025da70760  0x0000035c  __TEXT,__text  sub  sub_25da70760
0x000000025da70abc  0x000002e8  __TEXT,__text  sub  sub_25da70abc
0x000000025da70da4  0x0000037c  __TEXT,__text  sub  sub_25da70da4
0x000000025da71120  0x00000120  __TEXT,__text  sub  sub_25da71120
0x000000025da71240  0x0000069c  __TEXT,__text  sub  sub_25da71240
0x000000025da718dc  0x000006d8  __TEXT,__text  sub  sub_25da718dc
0x000000025da71fb4  0x00000154  __TEXT,__text  sub  sub_25da71fb4
0x000000025da72108  0x000000fc  __TEXT,__text  sub  sub_25da72108
0x000000025da72204  0x000001d0  __TEXT,__text  sub  sub_25da72204
0x000000025da723d4  0x000000a0  __TEXT,__text  sub  sub_25da723d4
0x000000025da72474  0x000000c8  __TEXT,__text  sub  sub_25da72474
0x000000025da7253c  0x00000020  __TEXT,__text  sub  sub_25da7253c
0x000000025da7255c  0x00000020  __TEXT,__text  sub  sub_25da7255c
0x000000025da7257c  0x00000060  __TEXT,__text  sub  sub_25da7257c
0x000000025da725dc  0x000000b0  __TEXT,__text  sub  sub_25da725dc
0x000000025da7268c  0x00000590  __TEXT,__text  sub  sub_25da7268c
0x000000025da72c1c  0x000000b0  __TEXT,__text  sub  sub_25da72c1c
0x000000025da72ccc  0x00000c30  __TEXT,__text  sub  sub_25da72ccc
0x000000025da738fc  0x00000060  __TEXT,__text  sub  sub_25da738fc
0x000000025da7395c  0x0000021c  __TEXT,__text  sub  sub_25da7395c
0x000000025da73b78  0x00000094  __TEXT,__text  sub  sub_25da73b78
0x000000025da73c0c  0x0000075c  __TEXT,__text  sub  sub_25da73c0c
0x000000025da74368  0x000005bc  __TEXT,__text  sub  sub_25da74368
0x000000025da74924  0x00000080  __TEXT,__text  sub  sub_25da74924
0x000000025da749a4  0x00000044  __TEXT,__text  sub  sub_25da749a4
0x000000025da749e8  0x00000050  __TEXT,__text  sub  sub_25da749e8
0x000000025da74a38  0x00000060  __TEXT,__text  sub  sub_25da74a38
0x000000025da74a98  0x00000044  __TEXT,__text  sub  sub_25da74a98
0x000000025da74adc  0x00000050  __TEXT,__text  sub  sub_25da74adc
0x000000025da74b2c  0x00000060  __TEXT,__text  sub  sub_25da74b2c
0x000000025da74b8c  0x00000200  __TEXT,__text  sub  sub_25da74b8c
