//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/NotificationPreferences.framework/Versions/A/NotificationPreferences
// arch:    arm64e
// uuid:    DA9EB975-3364-3B65-8E68-5ED0F937C22A
// text:    0x000000025e0b0000
// count:   1518 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000025e0b18b0  0x00000010  __TEXT,__text  sub  sub_25e0b18b0
0x000000025e0b18c0  0x00000088  __TEXT,__text  sub  sub_25e0b18c0
0x000000025e0b1948  0x0000007c  __TEXT,__text  sub  sub_25e0b1948
0x000000025e0b19c4  0x00000014  __TEXT,__text  sub  sub_25e0b19c4
0x000000025e0b19d8  0x00000014  __TEXT,__text  sub  sub_25e0b19d8
0x000000025e0b19ec  0x0000000c  __TEXT,__text  sub  sub_25e0b19ec
0x000000025e0b19f8  0x0000000c  __TEXT,__text  sub  sub_25e0b19f8
0x000000025e0b1a04  0x0000002c  __TEXT,__text  sub  sub_25e0b1a04
0x000000025e0b1a30  0x00000020  __TEXT,__text  sub  sub_25e0b1a30
0x000000025e0b1a50  0x00000010  __TEXT,__text  sub  sub_25e0b1a50
0x000000025e0b1a60  0x00000010  __TEXT,__text  sub  sub_25e0b1a60
0x000000025e0b1a70  0x0000001c  __TEXT,__text  sub  sub_25e0b1a70
0x000000025e0b1a8c  0x00000008  __TEXT,__text  sub  sub_25e0b1a8c
0x000000025e0b1a94  0x0000001c  __TEXT,__text  sub  sub_25e0b1a94
0x000000025e0b1ab0  0x00000028  __TEXT,__text  sub  sub_25e0b1ab0
0x000000025e0b1ad8  0x0000001c  __TEXT,__text  sub  sub_25e0b1ad8
0x000000025e0b1af4  0x00000008  __TEXT,__text  sub  sub_25e0b1af4
0x000000025e0b1afc  0x00000004  __TEXT,__text  sub  sub_25e0b1afc
0x000000025e0b1b00  0x00000020  __TEXT,__text  sub  sub_25e0b1b00
0x000000025e0b1b20  0x00000028  __TEXT,__text  sub  sub_25e0b1b20
0x000000025e0b1b48  0x00000028  __TEXT,__text  sub  sub_25e0b1b48
0x000000025e0b1b70  0x00000028  __TEXT,__text  sub  sub_25e0b1b70
0x000000025e0b1b98  0x00000028  __TEXT,__text  sub  sub_25e0b1b98
0x000000025e0b1bc0  0x00000008  __TEXT,__text  sub  sub_25e0b1bc0
0x000000025e0b1bc8  0x0000002c  __TEXT,__text  sub  sub_25e0b1bc8
0x000000025e0b1bf4  0x00000008  __TEXT,__text  sub  sub_25e0b1bf4
0x000000025e0b1bfc  0x00000004  __TEXT,__text  sub  sub_25e0b1bfc
0x000000025e0b1c00  0x00000004  __TEXT,__text  sub  sub_25e0b1c00
0x000000025e0b1c04  0x00000088  __TEXT,__text  sub  sub_25e0b1c04
0x000000025e0b1c8c  0x0000007c  __TEXT,__text  sub  sub_25e0b1c8c
0x000000025e0b1d08  0x00000014  __TEXT,__text  sub  sub_25e0b1d08
0x000000025e0b1d1c  0x00000014  __TEXT,__text  sub  sub_25e0b1d1c
0x000000025e0b1d30  0x00000004  __TEXT,__text  sub  sub_25e0b1d30
0x000000025e0b1d34  0x00000004  __TEXT,__text  sub  sub_25e0b1d34
