//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/OnBoardingKit.framework/Versions/A/OnBoardingKit
// arch:    arm64e
// uuid:    D027A284-20EC-3748-9C28-63F132D22DAD
// text:    0x00000001ae0de000
// count:   1863 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001ae0df8e8  0x00000084  __TEXT,__text  objc  +[OBBundle bundleWithIdentifier:]  // +[OBBundle ?]
0x00000001ae0df96c  0x00000058  __TEXT,__text  objc  +[OBBundleManager sharedManager]  // +[OBBundleManager ?]
0x00000001ae0df9c4  0x00000040  __TEXT,__text  func  __32+[OBBundleManager sharedManager]_block_invoke
0x00000001ae0dfa04  0x000000e8  __TEXT,__text  objc  -[OBBundleManager bundleWithIdentifier:]  // -[OBBundleManager ?]
0x00000001ae0dfaec  0x00000064  __TEXT,__text  objc  -[OBBundleManager _bundleSearchPath]  // -[OBBundleManager ?]
0x00000001ae0dfb50  0x00000074  __TEXT,__text  objc  +[OBBundle bundleAtPath:]  // +[OBBundle ?]
0x00000001ae0dfbc4  0x0000000c  __TEXT,__text  objc  -[OBBundle initWithBundle:]  // -[OBBundle ?]
0x00000001ae0dfbd0  0x00000060  __TEXT,__text  func  +[OBPrivacyFlow flowWithBundle:]
0x00000001ae0dfc30  0x00000340  __TEXT,__text  objc  -[OBPrivacyFlow initWithBundle:]  // -[OBPrivacyFlow ?]
0x00000001ae0dff70  0x00000008  __TEXT,__text  objc  -[OBBundle bundle]  // -[OBBundle ?]
0x00000001ae0dff78  0x0000007c  __TEXT,__text  objc  -[OBPrivacyFlow contentVersion]  // -[OBPrivacyFlow  ]
0x00000001ae0dfff4  0x0000007c  __TEXT,__text  objc  -[OBPrivacyFlow .cxx_destruct]  // -[OBPrivacyFlow ?]
0x00000001ae0e0070  0x00000074  __TEXT,__text  objc  -[OBBundle .cxx_destruct]  // -[OBBundle ?]
0x00000001ae0e00e4  0x00000058  __TEXT,__text  objc  +[OBCapabilities sharedCapabilities]  // +[OBCapabilities ]
0x00000001ae0e013c  0x00000040  __TEXT,__text  func  __36+[OBCapabilities sharedCapabilities]_block_invoke
0x00000001ae0e017c  0x00000038  __TEXT,__text  objc  -[OBCapabilities isWAPI]  // -[OBCapabilities ?]
0x00000001ae0e01b4  0x00000094  __TEXT,__text  func  __24-[OBCapabilities isWAPI]_block_invoke
0x00000001ae0e0248  0x00000098  __TEXT,__text  objc  -[OBCapabilities deviceSupportsGenerativeModels]  // -[OBCapabilities ?]
0x00000001ae0e02e0  0x0000005c  __TEXT,__text  objc  -[OBCapabilities overrideDeviceSupportsGenerativeModels]  // -[OBCapabilities ]
0x00000001ae0e033c  0x00000064  __TEXT,__text  objc  -[OBCapabilities setOverrideDeviceSupportsGenerativeModels:]  // -[OBCapabilities ?]
0x00000001ae0e03a0  0x000000ec  __TEXT,__text  objc  -[OBCapabilities eligibleForChlorine]  // -[OBCapabilities ?]
0x00000001ae0e048c  0x0000005c  __TEXT,__text  objc  -[OBCapabilities overrideEligibleForChlorine]  // -[OBCapabilities ?]
0x00000001ae0e04e8  0x00000064  __TEXT,__text  objc  -[OBCapabilities setOverrideEligibleForChlorine:]  // -[OBCapabilities ?]
0x00000001ae0e054c  0x000000fc  __TEXT,__text  objc  -[OBCapabilities eligibilityForGreymatterHasCountryPolicyChina]  // -[OBCapabilities ?]
0x00000001ae0e0648  0x000000f4  __TEXT,__text  objc  -[OBCapabilities _eligibilityContextHasCountryPolicyChina:]  // -[OBCapabilities ?]
0x00000001ae0e073c  0x000000b0  __TEXT,__text  objc  -[OBCapabilities _eligibilityCountryPolicyStringIsChina:]  // -[OBCapabilities ?]
0x00000001ae0e07ec  0x0000005c  __TEXT,__text  objc  -[OBCapabilities overrideEligibilityForGreymatterHasCountryPolicyChina]  // -[OBCapabilities ?]
0x00000001ae0e0848  0x00000064  __TEXT,__text  objc  -[OBCapabilities setOverrideEligibilityForGreymatterHasCountryPolicyChina:]  // -[OBCapabilities ?]
0x00000001ae0e08ac  0x00000360  __TEXT,__text  objc  -[OBCapabilities additionalDisplayLanguageForDisplayLanguage:]  // -[OBCapabilities ?]
0x00000001ae0e0c0c  0x00000140  __TEXT,__text  objc  -[OBCapabilities _potentialAdditionalDisplayLanguage]  // -[OBCapabilities ?]
0x00000001ae0e0d4c  0x0000005c  __TEXT,__text  objc  -[OBCapabilities overrideAdditionalDisplayLanguage]  // -[OBCapabilities ?]
0x00000001ae0e0da8  0x00000064  __TEXT,__text  objc  -[OBCapabilities setOverrideAdditionalDisplayLanguage:]  // -[OBCapabilities ?]
0x00000001ae0e0e0c  0x00000008  __TEXT,__text  objc  -[OBCapabilities preventURLDataDetection]  // -[OBCapabilities ?]
0x00000001ae0e0e14  0x00000008  __TEXT,__text  objc  -[OBCapabilities setPreventURLDataDetection:]  // -[OBCapabilities ?]
0x00000001ae0e0e1c  0x00000008  __TEXT,__text  objc  -[OBCapabilities preventOpeningSafari]  // -[OBCapabilities ?]
0x00000001ae0e0e24  0x00000008  __TEXT,__text  objc  -[OBCapabilities setPreventOpeningSafari:]  // -[OBCapabilities ?]
0x00000001ae0e0e2c  0x0000005c  __TEXT,__text  objc  -[OBCapabilities .cxx_destruct]  // -[OBCapabilities ?]
0x00000001ae0e0e88  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000001ae0e0ea0  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x00000001ae0e0eb4  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x00000001ae0e0ec8  0x00000140  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacySplashWithBundle:]
0x00000001ae0e1008  0x0000006c  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacySplashWithIdentifier:]
0x00000001ae0e1074  0x00000004  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacySplashWithIdentifer:]
0x00000001ae0e1078  0x0000006c  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacySplashWithBundleAtPath:]
0x00000001ae0e10e4  0x00000064  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacyUnifiedAbout]
0x00000001ae0e1148  0x000001a0  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacyUnifiedAboutWithBundles:]
0x00000001ae0e12e8  0x000000a8  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacyUnifiedAboutWithIdentifiers:]
0x00000001ae0e1390  0x00000184  __TEXT,__text  func  +[OBPrivacyPresenter presenterForPrivacyUnifiedAboutWithBundlesAtPaths:]
0x00000001ae0e1514  0x000000a8  __TEXT,__text  objc  -[OBPrivacyPresenter setDisplayLanguage:]  // -[OBPrivacyPresenter durationInSamples]
0x00000001ae0e15bc  0x00000080  __TEXT,__text  objc  -[OBPrivacyPresenter setDisplayDeviceType:]  // -[OBPrivacyPresenter ?]
0x00000001ae0e163c  0x00000078  __TEXT,__text  objc  -[OBPrivacyPresenter _presenterDidDismiss]  // -[OBPrivacyPresenter ?]
0x00000001ae0e16b4  0x00000388  __TEXT,__text  objc  -[OBPrivacyPresenter present]  // -[OBPrivacyPresenter ?]
0x00000001ae0e1a3c  0x00000098  __TEXT,__text  func  __29-[OBPrivacyPresenter present]_block_invoke
0x00000001ae0e1ad4  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
