//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PowerlogLiteOperators.framework/Versions/A/PowerlogLiteOperators
// arch:    arm64e
// uuid:    5FD9A8BA-CD2D-3F8E-ABFF-6DD3F51BCCC8
// text:    0x00000001c5ad1000
// count:   9931 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001c5ad3b28  0x00000038  __TEXT,__text  sub  sub_1c5ad3b28
0x00000001c5ad3b60  0x00000030  __TEXT,__text  sub  sub_1c5ad3b60
0x00000001c5ad3b90  0x00000004  __TEXT,__text  sub  sub_1c5ad3b90
0x00000001c5ad3b94  0x00000004  __TEXT,__text  sub  sub_1c5ad3b94
0x00000001c5ad3b98  0x000000fc  __TEXT,__text  sub  sub_1c5ad3b98
0x00000001c5ad3c94  0x000000f8  __TEXT,__text  sub  sub_1c5ad3c94
0x00000001c5ad3d8c  0x000000c4  __TEXT,__text  sub  sub_1c5ad3d8c
0x00000001c5ad3e50  0x000000b4  __TEXT,__text  sub  sub_1c5ad3e50
0x00000001c5ad3f04  0x00000004  __TEXT,__text  sub  sub_1c5ad3f04
0x00000001c5ad3f08  0x00000004  __TEXT,__text  sub  sub_1c5ad3f08
0x00000001c5ad3f0c  0x000000a4  __TEXT,__text  sub  sub_1c5ad3f0c
0x00000001c5ad3fb0  0x0000009c  __TEXT,__text  sub  sub_1c5ad3fb0
0x00000001c5ad404c  0x00000004  __TEXT,__text  sub  sub_1c5ad404c
0x00000001c5ad4050  0x00000004  __TEXT,__text  sub  sub_1c5ad4050
0x00000001c5ad4054  0x00000004  __TEXT,__text  sub  sub_1c5ad4054
0x00000001c5ad4058  0x00000004  __TEXT,__text  sub  sub_1c5ad4058
0x00000001c5ad405c  0x00000004  __TEXT,__text  sub  sub_1c5ad405c
0x00000001c5ad4060  0x00000004  __TEXT,__text  sub  sub_1c5ad4060
0x00000001c5ad4064  0x00000004  __TEXT,__text  sub  sub_1c5ad4064
0x00000001c5ad4068  0x00000004  __TEXT,__text  sub  sub_1c5ad4068
0x00000001c5ad406c  0x00000004  __TEXT,__text  sub  sub_1c5ad406c
0x00000001c5ad4070  0x00000004  __TEXT,__text  sub  sub_1c5ad4070
0x00000001c5ad4074  0x000000c4  __TEXT,__text  sub  sub_1c5ad4074
0x00000001c5ad4138  0x000000b4  __TEXT,__text  sub  sub_1c5ad4138
0x00000001c5ad41ec  0x000000c4  __TEXT,__text  sub  sub_1c5ad41ec
0x00000001c5ad42b0  0x000000b4  __TEXT,__text  sub  sub_1c5ad42b0
0x00000001c5ad4364  0x0000008c  __TEXT,__text  sub  sub_1c5ad4364
0x00000001c5ad43f0  0x00000038  __TEXT,__text  sub  sub_1c5ad43f0
0x00000001c5ad4428  0x00000058  __TEXT,__text  sub  sub_1c5ad4428
0x00000001c5ad4480  0x00000038  __TEXT,__text  sub  sub_1c5ad4480
0x00000001c5ad44b8  0x00000038  __TEXT,__text  sub  sub_1c5ad44b8
0x00000001c5ad44f0  0x00000048  __TEXT,__text  sub  sub_1c5ad44f0
0x00000001c5ad4538  0x00000040  __TEXT,__text  sub  sub_1c5ad4538
0x00000001c5ad4578  0x00000038  __TEXT,__text  sub  sub_1c5ad4578
0x00000001c5ad45b0  0x00000004  __TEXT,__text  sub  sub_1c5ad45b0
0x00000001c5ad45b4  0x00000120  __TEXT,__text  sub  sub_1c5ad45b4
0x00000001c5ad46d4  0x0000011c  __TEXT,__text  sub  sub_1c5ad46d4
0x00000001c5ad47f0  0x00000140  __TEXT,__text  sub  sub_1c5ad47f0
