//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PreviewsUIKitMacHelper.framework/Versions/A/PreviewsUIKitMacHelper
// arch:    arm64e
// uuid:    A979EDC6-3BB6-3879-A35B-CC88765DCA4E
// text:    0x0000000263327000
// count:   213 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000263328328  0x00000068  __TEXT,__text  func  PUNSAppLog
0x0000000263328390  0x00000048  __TEXT,__text  func  __PUNSAppLog_block_invoke
0x00000002633283d8  0x00000068  __TEXT,__text  func  PUNSWindowLog
0x0000000263328440  0x00000048  __TEXT,__text  func  __PUNSWindowLog_block_invoke
0x0000000263328488  0x000000e0  __TEXT,__text  func  +[PUNSMain load]
0x0000000263328568  0x00000028  __TEXT,__text  func  __16+[PUNSMain load]_block_invoke
0x0000000263328590  0x000000e0  __TEXT,__text  func  __16+[PUNSMain load]_block_invoke_2
0x0000000263328670  0x00000008  __TEXT,__text  func  -[PUNSWindow view:acceptsFirstMouseEvent:initialKeyWindow:]
0x0000000263328678  0x00000160  __TEXT,__text  func  -[PUNSWindow _contextIdsForHitTesting]
0x00000002633287d8  0x00000060  __TEXT,__text  func  -[PUNSWindow hostedContextID]
0x0000000263328838  0x00000130  __TEXT,__text  func  -[PUNSWindow setHostedContextID:]
0x0000000263328968  0x00000008  __TEXT,__text  func  -[PUNSWindow canBecomeKeyWindow]
0x0000000263328970  0x00000008  __TEXT,__text  func  -[PUNSWindow canBecomeMainWindow]
0x0000000263328978  0x00000004  __TEXT,__text  func  -[PUNSWindow performClose:]
0x000000026332897c  0x00000004  __TEXT,__text  func  -[PUNSWindow _close:]
0x0000000263328980  0x00000008  __TEXT,__text  func  -[PUNSWindow _canMiniaturize]
0x0000000263328988  0x00000008  __TEXT,__text  func  -[PUNSWindow _validateZoom]
0x0000000263328990  0x0000010c  __TEXT,__text  func  -[PUNSWindow _postZoomNotification]
0x0000000263328a9c  0x00000004  __TEXT,__text  func  -[PUNSWindow performZoom:]
0x0000000263328aa0  0x00000004  __TEXT,__text  func  -[PUNSWindow zoom:]
0x0000000263328aa4  0x00000004  __TEXT,__text  func  -[PUNSWindow _zoomLeft:]
0x0000000263328aa8  0x00000004  __TEXT,__text  func  -[PUNSWindow _zoomRight:]
0x0000000263328aac  0x00000008  __TEXT,__text  func  -[PUNSWindow _validateTileChange]
0x0000000263328ab4  0x00000004  __TEXT,__text  func  -[PUNSWindow _tileLeft:]
0x0000000263328ab8  0x00000004  __TEXT,__text  func  -[PUNSWindow _tileRight:]
0x0000000263328abc  0x00000004  __TEXT,__text  func  -[PUNSWindow _changeWindowTileLocation:]
0x0000000263328ac0  0x00000004  __TEXT,__text  func  -[PUNSWindow _removeTileFromFullScreen:]
0x0000000263328ac4  0x00000004  __TEXT,__text  func  -[PUNSWindow _maximizeTileToFillScreen]
0x0000000263328ac8  0x00000004  __TEXT,__text  func  -[PUNSWindow _toggleIPad:]
0x0000000263328acc  0x00000008  __TEXT,__text  func  -[PUNSWindow _canEnterFullScreenOrTileMode]
0x0000000263328ad4  0x00000004  __TEXT,__text  func  -[PUNSWindow toggleFullScreen:]
0x0000000263328ad8  0x00000008  __TEXT,__text  func  -[PUNSWindow isResizable]
0x0000000263328ae0  0x00000004  __TEXT,__text  func  -[PUNSWindow _resizeWithEvent:]
0x0000000263328ae4  0x00000008  __TEXT,__text  func  -[PUNSWindow _shouldShowResizeCursor]
