//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PrintingPrivate.framework/Versions/A/PrintingPrivate
// arch:    arm64e
// uuid:    36E31D04-A1BE-3756-AF31-9C154E1982F2
// text:    0x0000000263409000
// count:   447 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026340a1a8  0x00000044  __TEXT,__text  func  PMPrepareAppKitPrintDialogWithThumbnailPrivate
0x000000026340a1ec  0x0000009c  __TEXT,__text  func  LoadThePrintPluginBundle
0x000000026340a288  0x0000007c  __TEXT,__text  func  -[PKBrowser init]
0x000000026340a304  0x00000008  __TEXT,__text  func  -[PKBrowser setBrowsingMask:]
0x000000026340a30c  0x00000074  __TEXT,__text  func  -[PKBrowser start]
0x000000026340a380  0x00000008  __TEXT,__text  func  -[PKBrowser browsingMask]
0x000000026340a388  0x00000058  __TEXT,__text  func  PMPaperCreatePaperSizeStringPrivate
0x000000026340a3e0  0x0000036c  __TEXT,__text  func  createPaperSizeCFString
0x000000026340a74c  0x00000004  __TEXT,__text  func  -[PKBrowser filteredDeviceList]
0x000000026340a750  0x0000000c  __TEXT,__text  func  -[PKNode name]
0x000000026340a75c  0x00000044  __TEXT,__text  func  -[PKBrowser stop]
0x000000026340a7a0  0x00000054  __TEXT,__text  func  -[PKBrowser dealloc]
0x000000026340a7f4  0x00000158  __TEXT,__text  func  PMPrepareAppKitPrintPanelPrivate
0x000000026340a94c  0x000000f8  __TEXT,__text  func  PMPrintPanelSetAppThumbnailViewPrivate
0x000000026340aa44  0x00000140  __TEXT,__text  func  PMPrepareAppKitPageSetupDialogWithPrintInfoPrivate
0x000000026340ab84  0x000000a8  __TEXT,__text  func  PMCreatePrinterInfoControllerPrivate
0x000000026340ac2c  0x000000a8  __TEXT,__text  func  PMCreatePKPrinterInfoControllerPrivate
0x000000026340acd4  0x000000a8  __TEXT,__text  func  PMCreatePrinterSupplyControllerPrivate
0x000000026340ad7c  0x00000068  __TEXT,__text  func  PMCreatePrinterSupplyViewPrivate
0x000000026340ade4  0x0000003c  __TEXT,__text  func  PMGetOrientationImage
0x000000026340ae20  0x00000130  __TEXT,__text  func  PMAddPrinterToiCloud
0x000000026340af50  0x0000008c  __TEXT,__text  func  __PMAddPrinterToiCloud_block_invoke
0x000000026340afdc  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x000000026340afec  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x000000026340aff8  0x00000168  __TEXT,__text  func  PMSetPMPrinterName
0x000000026340b160  0x00000188  __TEXT,__text  func  PMSetPMPrinterLocation
0x000000026340b2e8  0x00000164  __TEXT,__text  func  PMRemovePMPrinter
0x000000026340b44c  0x00000038  __TEXT,__text  func  LoadAndGetPrintingUIBundle
0x000000026340b484  0x00000038  __TEXT,__text  func  LoadAndGetPMPrinterInfoBundle
0x000000026340b4bc  0x000000ec  __TEXT,__text  func  PMCopyUsersDocumentFolderURLPrivate
0x000000026340b5a8  0x0000006c  __TEXT,__text  func  PMCopyUsersDesktopPathPrivate
0x000000026340b614  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000026340b630  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000026340b648  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000026340b65c  0x0000004c  __TEXT,__text  func  +[PMXPCSupport xpcSupportFor:delegate:]
0x000000026340b6a8  0x0000012c  __TEXT,__text  func  -[PMXPCSupport initXPCSupportFor:delegate:]
0x000000026340b7d4  0x00000138  __TEXT,__text  func  __43-[PMXPCSupport initXPCSupportFor:delegate:]_block_invoke
0x000000026340b90c  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
0x000000026340b91c  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32o
0x000000026340b928  0x00000058  __TEXT,__text  func  -[PMXPCSupport dealloc]
0x000000026340b980  0x00000010  __TEXT,__text  func  -[PMXPCSupport sendCommandSync:args:reply:]
0x000000026340b990  0x000002c0  __TEXT,__text  func  -[PMXPCSupport sendCommandSync:timeout:args:reply:]
0x000000026340bc50  0x00000068  __TEXT,__text  func  __51-[PMXPCSupport sendCommandSync:timeout:args:reply:]_block_invoke
0x000000026340bcb8  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32o40r48r
0x000000026340bd18  0x00000050  __TEXT,__text  func  __destroy_helper_block_e8_32o40r48r
0x000000026340bd68  0x00000058  __TEXT,__text  func  -[PMXPCSupport cancel]
0x000000026340bdc0  0x00000074  __TEXT,__text  func  -[PMXPCSupport setConnection:]
0x000000026340be34  0x000000ec  __TEXT,__text  func  -[PMXPCSupport setAuthDataForCommand:message:]
0x000000026340bf20  0x000000c0  __TEXT,__text  func  -[PMXPCSupport handleXPCEvent:]
0x000000026340bfe0  0x00000008  __TEXT,__text  func  -[PMXPCSupport delegate]
0x000000026340bfe8  0x00000008  __TEXT,__text  func  -[PMXPCSupport setDelegate:]
0x000000026340bff0  0x00000008  __TEXT,__text  func  -[PMXPCSupport connection]
0x000000026340bff8  0x00000128  __TEXT,__text  func  __printUIToolAsync_block_invoke
0x000000026340c120  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32o40b
0x000000026340c170  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32o40b
0x000000026340c1b4  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000026340c1c8  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000026340c1e4  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000026340c1f4  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x000000026340c204  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x000000026340c224  0x00000008  __TEXT,__text  func  -[PKNode attributes]
0x000000026340c22c  0x00000064  __TEXT,__text  func  -[PKBrowser addPrinter:moreComing:]
0x000000026340c290  0x00000040  __TEXT,__text  func  -[PKBrowser removePrinter:moreGoing:]
0x000000026340c2d0  0x0000000c  __TEXT,__text  func  -[PKBrowser nearybyPKPrinters]
0x000000026340c2dc  0x00000008  __TEXT,__text  func  -[PKBrowser setNearybyPKPrinters:]
0x000000026340c2e4  0x0000000c  __TEXT,__text  func  -[PKBrowser pkPrinterBrowser]
0x000000026340c2f0  0x00000008  __TEXT,__text  func  -[PKBrowser setPkPrinterBrowser:]
0x000000026340c2f8  0x000000e8  __TEXT,__text  func  -[PKQueueCreationController initWithPrinter:delegate:]
0x000000026340c3e0  0x00000098  __TEXT,__text  func  -[PKQueueCreationController dealloc]
0x000000026340c478  0x00000044  __TEXT,__text  func  -[PKQueueCreationController awakeFromNib]
0x000000026340c4bc  0x00000050  __TEXT,__text  func  -[PKQueueCreationController cancel:]
0x000000026340c50c  0x0000000c  __TEXT,__text  func  -[PKQueueCreationController cancelErrorAlert:]
0x000000026340c518  0x0000012c  __TEXT,__text  func  -[PKQueueCreationController buildAnalyticsDict]
0x000000026340c644  0x00000148  __TEXT,__text  func  -[PKQueueCreationController notifyQueueCompleted:]
0x000000026340c78c  0x000000d4  __TEXT,__text  func  -[PKQueueCreationController handleQueueCreationError:]
0x000000026340c860  0x000000dc  __TEXT,__text  func  -[PKQueueCreationController switchPanelTo:]
0x000000026340c93c  0x0000010c  __TEXT,__text  func  -[PKQueueCreationController presentErrorWithMessageText:informativeTextWithFormat:]
0x000000026340ca48  0x000001c0  __TEXT,__text  func  -[PKQueueCreationController startQueueCreation]
