//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PrivateSearchCore.framework/Versions/A/PrivateSearchCore
// arch:    arm64e
// uuid:    3543838F-DB87-3E2B-A83C-A2BA24FC6342
// text:    0x0000000263b4d000
// count:   1535 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000263b4e400  0x0000000c  __TEXT,__text  sub  sub_263b4e400
0x0000000263b4e40c  0x00000008  __TEXT,__text  sub  sub_263b4e40c
0x0000000263b4e414  0x0000000c  __TEXT,__text  sub  sub_263b4e414
0x0000000263b4e420  0x00000008  __TEXT,__text  sub  sub_263b4e420
0x0000000263b4e428  0x0000000c  __TEXT,__text  sub  sub_263b4e428
0x0000000263b4e434  0x00000008  __TEXT,__text  sub  sub_263b4e434
0x0000000263b4e43c  0x00000064  __TEXT,__text  sub  sub_263b4e43c
0x0000000263b4e4a0  0x0000004c  __TEXT,__text  sub  sub_263b4e4a0
0x0000000263b4e4ec  0x000000c0  __TEXT,__text  sub  sub_263b4e4ec
0x0000000263b4e5ac  0x00000044  __TEXT,__text  sub  sub_263b4e5ac
0x0000000263b4e5f0  0x0000014c  __TEXT,__text  sub  sub_263b4e5f0
0x0000000263b4e73c  0x0000005c  __TEXT,__text  sub  sub_263b4e73c
0x0000000263b4e798  0x00000244  __TEXT,__text  sub  sub_263b4e798
0x0000000263b4e9dc  0x00000038  __TEXT,__text  sub  sub_263b4e9dc
0x0000000263b4ea14  0x00000030  __TEXT,__text  sub  sub_263b4ea14
0x0000000263b4ea44  0x00000048  __TEXT,__text  sub  sub_263b4ea44
0x0000000263b4ea8c  0x0000000c  __TEXT,__text  sub  sub_263b4ea8c
0x0000000263b4ea98  0x0000000c  __TEXT,__text  sub  sub_263b4ea98
0x0000000263b4eaa4  0x0000000c  __TEXT,__text  sub  sub_263b4eaa4
0x0000000263b4eab0  0x0000000c  __TEXT,__text  sub  sub_263b4eab0
0x0000000263b4eabc  0x0000000c  __TEXT,__text  sub  sub_263b4eabc
0x0000000263b4eac8  0x0000000c  __TEXT,__text  sub  sub_263b4eac8
0x0000000263b4ead4  0x0000000c  __TEXT,__text  sub  sub_263b4ead4
0x0000000263b4eae0  0x0000000c  __TEXT,__text  sub  sub_263b4eae0
0x0000000263b4eaec  0x0000000c  __TEXT,__text  sub  sub_263b4eaec
0x0000000263b4eaf8  0x0000000c  __TEXT,__text  sub  sub_263b4eaf8
0x0000000263b4eb04  0x0000000c  __TEXT,__text  sub  sub_263b4eb04
0x0000000263b4eb10  0x0000000c  __TEXT,__text  sub  sub_263b4eb10
0x0000000263b4eb1c  0x0000000c  __TEXT,__text  sub  sub_263b4eb1c
0x0000000263b4eb28  0x0000000c  __TEXT,__text  sub  sub_263b4eb28
0x0000000263b4eb34  0x0000000c  __TEXT,__text  sub  sub_263b4eb34
0x0000000263b4eb40  0x00000004  __TEXT,__text  sub  sub_263b4eb40
0x0000000263b4eb44  0x0000000c  __TEXT,__text  sub  sub_263b4eb44
0x0000000263b4eb50  0x0000000c  __TEXT,__text  sub  sub_263b4eb50
0x0000000263b4eb5c  0x0000000c  __TEXT,__text  sub  sub_263b4eb5c
0x0000000263b4eb68  0x0000000c  __TEXT,__text  sub  sub_263b4eb68
0x0000000263b4eb74  0x0000000c  __TEXT,__text  sub  sub_263b4eb74
0x0000000263b4eb80  0x0000000c  __TEXT,__text  sub  sub_263b4eb80
0x0000000263b4eb8c  0x0000005c  __TEXT,__text  sub  sub_263b4eb8c
0x0000000263b4ebe8  0x0000000c  __TEXT,__text  sub  sub_263b4ebe8
0x0000000263b4ebf4  0x000001a8  __TEXT,__text  sub  sub_263b4ebf4
0x0000000263b4ed9c  0x0000000c  __TEXT,__text  sub  sub_263b4ed9c
0x0000000263b4eda8  0x0000000c  __TEXT,__text  sub  sub_263b4eda8
0x0000000263b4edb4  0x0000000c  __TEXT,__text  sub  sub_263b4edb4
0x0000000263b4edc0  0x0000000c  __TEXT,__text  sub  sub_263b4edc0
0x0000000263b4edcc  0x0000000c  __TEXT,__text  sub  sub_263b4edcc
0x0000000263b4edd8  0x0000000c  __TEXT,__text  sub  sub_263b4edd8
0x0000000263b4ede4  0x00000008  __TEXT,__text  sub  sub_263b4ede4
0x0000000263b4edec  0x00000018  __TEXT,__text  sub  sub_263b4edec
0x0000000263b4ee04  0x00000018  __TEXT,__text  sub  sub_263b4ee04
0x0000000263b4ee1c  0x0000006c  __TEXT,__text  sub  sub_263b4ee1c
0x0000000263b4ee88  0x00000014  __TEXT,__text  sub  sub_263b4ee88
0x0000000263b4ee9c  0x00000094  __TEXT,__text  sub  sub_263b4ee9c
0x0000000263b4ef30  0x000000c0  __TEXT,__text  sub  sub_263b4ef30
0x0000000263b4eff0  0x000000ac  __TEXT,__text  sub  sub_263b4eff0
0x0000000263b4f09c  0x00000078  __TEXT,__text  sub  sub_263b4f09c
0x0000000263b4f114  0x00000068  __TEXT,__text  sub  sub_263b4f114
0x0000000263b4f17c  0x000000b8  __TEXT,__text  sub  sub_263b4f17c
0x0000000263b4f234  0x00000098  __TEXT,__text  sub  sub_263b4f234
0x0000000263b4f2cc  0x00000054  __TEXT,__text  sub  sub_263b4f2cc
0x0000000263b4f320  0x0000004c  __TEXT,__text  sub  sub_263b4f320
0x0000000263b4f36c  0x00000024  __TEXT,__text  sub  sub_263b4f36c
0x0000000263b4f390  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
