//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/ProactiveHarvesting.framework/Versions/A/ProactiveHarvesting
// arch:    arm64e
// uuid:    8483CA63-4FE9-3E1F-8264-C97AD81E13D1
// text:    0x0000000263d51000
// count:   3573 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000263d52cb8  0x00000050  __TEXT,__text  func  -[HVSpotlightDeletionRequest .cxx_destruct]
0x0000000263d52d08  0x00000238  __TEXT,__text  func  -[HVSpotlightDeletionRequest copyWithBundleIdentifier:]
0x0000000263d52f40  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000263d52f50  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000263d52f58  0x00000058  __TEXT,__text  func  __55-[HVSpotlightDeletionRequest copyWithBundleIdentifier:]_block_invoke
0x0000000263d52fb0  0x0000007c  __TEXT,__text  func  __55-[HVSpotlightDeletionRequest copyWithBundleIdentifier:]_block_invoke.72
0x0000000263d5302c  0x0000007c  __TEXT,__text  func  __55-[HVSpotlightDeletionRequest copyWithBundleIdentifier:]_block_invoke.75
0x0000000263d530a8  0x0000007c  __TEXT,__text  func  __55-[HVSpotlightDeletionRequest copyWithBundleIdentifier:]_block_invoke.78
0x0000000263d53124  0x00000040  __TEXT,__text  func  __destroy_helper_block_e8_32s40r
0x0000000263d53164  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40r
0x0000000263d531ac  0x000001e4  __TEXT,__text  func  -[HVSpotlightDeletionRequest initWithCoder:]
0x0000000263d53390  0x000000b8  __TEXT,__text  func  -[HVSpotlightDeletionRequest encodeWithCoder:]
0x0000000263d53448  0x00000028  __TEXT,__text  func  -[HVSpotlightDeletionRequest copyWithZone:]
0x0000000263d53470  0x00000208  __TEXT,__text  func  -[HVSpotlightDeletionRequest description]
0x0000000263d53678  0x00000088  __TEXT,__text  func  __41-[HVSpotlightDeletionRequest description]_block_invoke
0x0000000263d53700  0x0000009c  __TEXT,__text  func  __41-[HVSpotlightDeletionRequest description]_block_invoke_2
0x0000000263d5379c  0x0000009c  __TEXT,__text  func  __41-[HVSpotlightDeletionRequest description]_block_invoke.45
0x0000000263d53838  0x0000009c  __TEXT,__text  func  __41-[HVSpotlightDeletionRequest description]_block_invoke.51
0x0000000263d538d4  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x0000000263d538e0  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x0000000263d538f0  0x00000058  __TEXT,__text  func  -[HVSpotlightDeletionRequest hash]
0x0000000263d53948  0x00000150  __TEXT,__text  func  -[HVSpotlightDeletionRequest isEqual:]
0x0000000263d53a98  0x00000248  __TEXT,__text  func  -[HVSpotlightDeletionRequest matchesBloomFilter:]
0x0000000263d53ce0  0x0000015c  __TEXT,__text  func  +[HVSpotlightDeletionRequest _hashArrayForBundleIdentifier:xIdentifier:typeOfX:inBloomFilter:hashArrayForReuse:]
0x0000000263d53e3c  0x00000014  __TEXT,__text  func  __49-[HVSpotlightDeletionRequest matchesBloomFilter:]_block_invoke
0x0000000263d53e50  0x00000190  __TEXT,__text  func  __49-[HVSpotlightDeletionRequest matchesBloomFilter:]_block_invoke.28
0x0000000263d53fe0  0x00000198  __TEXT,__text  func  __49-[HVSpotlightDeletionRequest matchesBloomFilter:]_block_invoke.30
0x0000000263d54178  0x00000048  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48r
0x0000000263d541c0  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32s40s48r
0x0000000263d54210  0x0000003c  __TEXT,__text  func  -[HVSpotlightDeletionRequest bundleIdentifier]
0x0000000263d5424c  0x000000fc  __TEXT,__text  func  -[HVSpotlightDeletionRequest accessCriteriaUsingBundleIdentifierBlock:domainSelectionBlock:incontrovertiblyDeletedUniqueIdentifiersBlock:purgedUniqueIdentifiersBlock:]
0x0000000263d54348  0x00000008  __TEXT,__text  func  -[HVSpotlightDeletionRequest accessCriteriaUsingBundleIdentifierBlock:domainSelectionBlock:uniqueIdentifiersBlock:]
0x0000000263d54350  0x00000024  __TEXT,__text  func  -[HVSpotlightDeletionRequest initWithBundleIdentifier:purgedUniqueIdentifiers:]
0x0000000263d54374  0x000000d0  __TEXT,__text  func  -[HVSpotlightDeletionRequest initWithBundleIdentifier:uniqueIdentifiers:]
0x0000000263d54444  0x000000d0  __TEXT,__text  func  -[HVSpotlightDeletionRequest initWithBundleIdentifier:domainSelection:]
0x0000000263d54514  0x000000ec  __TEXT,__text  func  -[HVSpotlightDeletionRequest initWithBundleIdentifier:]
0x0000000263d54600  0x00000008  __TEXT,__text  func  +[HVSpotlightDeletionRequest supportsSecureCoding]
0x0000000263d54608  0x000001dc  __TEXT,__text  func  +[HVSpotlightDeletionRequest addDeletableContentWithBundleIdentifier:domainIdentifier:uniqueIdentifier:toBloomFilter:]
0x0000000263d547e4  0x00000028  __TEXT,__text  func  HVBatteryMonitoringStart
0x0000000263d5480c  0x000000a0  __TEXT,__text  func  __initBatteryMonitoring_block_invoke
0x0000000263d548ac  0x0000005c  __TEXT,__text  func  __initBatteryMonitoring_block_invoke_2
0x0000000263d54908  0x000000cc  __TEXT,__text  func  updatePowerConnectionState
0x0000000263d549d4  0x00000080  __TEXT,__text  func  HVIsConnectedToPower
0x0000000263d54a54  0x00000040  __TEXT,__text  func  HVBatteryMonitoringOverrideIsConnectedToPowerForTesting
0x0000000263d54a94  0x00000054  __TEXT,__text  func  -[HVPBContentStateEntry .cxx_destruct]
0x0000000263d54ae8  0x00000054  __TEXT,__text  func  -[HVPBContentStateEntry setUniqueIds:]
0x0000000263d54b3c  0x00000010  __TEXT,__text  func  -[HVPBContentStateEntry uniqueIds]
0x0000000263d54b4c  0x00000054  __TEXT,__text  func  -[HVPBContentStateEntry setState:]
0x0000000263d54ba0  0x00000010  __TEXT,__text  func  -[HVPBContentStateEntry state]
