//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/ProfileValidatedAppIdentity.framework/Versions/A/ProfileValidatedAppIdentity
// arch:    arm64e
// uuid:    1F3A3B04-2283-37D7-BC72-4A19A5E8A5B1
// text:    0x000000026424c000
// count:   53 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026424cd80  0x00000008  __TEXT,__text  func  +[PVAppIdentityDigest supportsSecureCoding]
0x000000026424cd88  0x0000018c  __TEXT,__text  func  -[PVAppIdentityDigest initWithVersion:data0:data1:data2:data3:data4:data5:]
0x000000026424cf14  0x00000108  __TEXT,__text  func  -[PVAppIdentityDigest initWithError:version:]
0x000000026424d01c  0x00000080  __TEXT,__text  func  +[PVAppIdentityDigest digestWithErrorCode:]
0x000000026424d09c  0x00000010  __TEXT,__text  func  +[PVAppIdentityDigest digestWithTimeoutError]
0x000000026424d0ac  0x000000ec  __TEXT,__text  func  -[PVAppIdentityDigest encodeWithCoder:]
0x000000026424d198  0x00000214  __TEXT,__text  func  -[PVAppIdentityDigest initWithCoder:]
0x000000026424d3ac  0x00000240  __TEXT,__text  func  -[PVAppIdentityDigest asDictionary]
0x000000026424d5ec  0x0000003c  __TEXT,__text  func  -[PVAppIdentityDigest getError]
0x000000026424d628  0x0000008c  __TEXT,__text  func  -[PVAppIdentityDigest .cxx_destruct]
0x000000026424d6b4  0x00000250  __TEXT,__text  func  PVAppIdentity_GenerateDigestWithCompletion
0x000000026424d904  0x00000120  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke
0x000000026424da24  0x00000048  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke.6
0x000000026424da6c  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32s40s48b
0x000000026424dabc  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s
0x000000026424db00  0x000000dc  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke.11
0x000000026424dbdc  0x00000048  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke_2
0x000000026424dc24  0x00000058  __TEXT,__text  func  _PVAppIdentityLogSystem
0x000000026424dc7c  0x00000048  __TEXT,__text  func  ___PVAppIdentityLogSystem_block_invoke
0x000000026424dcc4  0x00000008  __TEXT,__text  func  +[NSError(ProfileValidatedAppIdentity) pvai_errorWithCode:]
0x000000026424dccc  0x0000001c  __TEXT,__text  func  +[NSError(ProfileValidatedAppIdentity) pvai_errorWithCode:userInfo:]
0x000000026424dce8  0x000000f4  __TEXT,__text  func  +[NSError(ProfileValidatedAppIdentity) pvai_wrappedError:error:]
0x000000026424dddc  0x00000104  __TEXT,__text  func  _PVAppIdentityLogSystem.cold.1
0x000000026424dee0  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_ProfileValidatedAppIdentity
0x000000026424df10  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_PVAppIdentityDigest
0x000000026424df40  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_PVAppIdentityDigest
0x000000026424dfa0  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
0x000000026424dfb8  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
0x000000026424dfd8  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_PVAppIdentityServiceProtocol
0x000000026424dff0  0x00000040  __TEXT,__const  func  ProfileValidatedAppIdentityVersionString
0x000000026424e030  0x000005f0  __TEXT,__const  func  ProfileValidatedAppIdentityVersionNumber
0x000000026424e620  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$base64EncodedStringWithOptions:
0x000000026424e640  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$code
0x000000026424e660  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$decodeObjectOfClass:forKey:
0x000000026424e680  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithObjects:forKeys:count:
0x000000026424e6a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$digestWithErrorCode:
0x000000026424e6c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$domain
0x000000026424e6e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$encodeObject:forKey:
0x000000026424e700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$errorWithDomain:code:userInfo:
0x000000026424e720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$generateDigest:ppqAppId:withReply:
0x000000026424e740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithError:version:
0x000000026424e760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithServiceName:
0x000000026424e780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$interfaceWithProtocol:
0x000000026424e7a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$invalidate
0x000000026424e7c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isEqualToString:
0x000000026424e7e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$numberWithInteger:
0x000000026424e800  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_errorWithCode:
0x000000026424e820  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_errorWithCode:userInfo:
0x000000026424e840  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_wrappedError:error:
0x000000026424e860  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyWithErrorHandler:
0x000000026424e880  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$resume
0x000000026424e8a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setObject:forKeyedSubscript:
0x000000026424e8c0  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$setRemoteObjectInterface:
