//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/ProofReader.framework/Versions/A/ProofReader
// arch:    arm64e
// uuid:    FC1CFF7E-F15F-3E1D-8A2D-08666FF0D7C0
// text:    0x00000001d7a10000
// count:   2734 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001d7a11b98  0x0000002c  __TEXT,__text  sub  sub_1d7a11b98
0x00000001d7a11bc4  0x00000034  __TEXT,__text  sub  sub_1d7a11bc4
0x00000001d7a11bf8  0x00000028  __TEXT,__text  sub  sub_1d7a11bf8
0x00000001d7a11c20  0x00000028  __TEXT,__text  sub  sub_1d7a11c20
0x00000001d7a11c48  0x0000027c  __TEXT,__text  sub  sub_1d7a11c48
0x00000001d7a11ec4  0x00000068  __TEXT,__text  sub  sub_1d7a11ec4
0x00000001d7a11f2c  0x00000178  __TEXT,__text  sub  sub_1d7a11f2c
0x00000001d7a120a4  0x00000028  __TEXT,__text  sub  sub_1d7a120a4
0x00000001d7a120cc  0x000000fc  __TEXT,__text  sub  sub_1d7a120cc
0x00000001d7a121c8  0x00000058  __TEXT,__text  sub  sub_1d7a121c8
0x00000001d7a12220  0x0000002c  __TEXT,__text  sub  sub_1d7a12220
0x00000001d7a1224c  0x00000058  __TEXT,__text  sub  sub_1d7a1224c
0x00000001d7a122a4  0x0000002c  __TEXT,__text  sub  sub_1d7a122a4
0x00000001d7a122d0  0x00000004  __TEXT,__text  sub  sub_1d7a122d0
0x00000001d7a122d4  0x00000038  __TEXT,__text  sub  sub_1d7a122d4
0x00000001d7a1230c  0x00000004  __TEXT,__text  sub  sub_1d7a1230c
0x00000001d7a12310  0x00000004  __TEXT,__text  sub  sub_1d7a12310
0x00000001d7a12314  0x00000038  __TEXT,__text  sub  sub_1d7a12314
0x00000001d7a1234c  0x00000004  __TEXT,__text  sub  sub_1d7a1234c
0x00000001d7a12350  0x00000004  __TEXT,__text  sub  sub_1d7a12350
0x00000001d7a12354  0x00000004  __TEXT,__text  sub  sub_1d7a12354
0x00000001d7a12358  0x00000004  __TEXT,__text  sub  sub_1d7a12358
0x00000001d7a1235c  0x00000004  __TEXT,__text  sub  sub_1d7a1235c
0x00000001d7a12360  0x00000004  __TEXT,__text  sub  sub_1d7a12360
0x00000001d7a12364  0x00000004  __TEXT,__text  sub  sub_1d7a12364
0x00000001d7a12368  0x00000004  __TEXT,__text  sub  sub_1d7a12368
0x00000001d7a1236c  0x00000004  __TEXT,__text  sub  sub_1d7a1236c
0x00000001d7a12370  0x00000004  __TEXT,__text  sub  sub_1d7a12370
0x00000001d7a12374  0x00000528  __TEXT,__text  func  an_init
0x00000001d7a1289c  0x0000009c  __TEXT,__text  func  stem_suffix_check_hun
0x00000001d7a12938  0x000000b0  __TEXT,__text  func  prefix_stem_suffix_check_hun
0x00000001d7a129e8  0x00000014  __TEXT,__text  func  is_hun_prefix
0x00000001d7a129fc  0x00000010  __TEXT,__text  func  is_hun_antiword
0x00000001d7a12a0c  0x00000010  __TEXT,__text  func  is_hun_unsuff_word
0x00000001d7a12a1c  0x000000c8  __TEXT,__text  func  stem_suffix_check_pol
0x00000001d7a12ae4  0x0000015c  __TEXT,__text  func  prefix_stem_suffix_check_pol
0x00000001d7a12c40  0x00000014  __TEXT,__text  func  is_pol_prefix
0x00000001d7a12c54  0x00000014  __TEXT,__text  func  is_pol_antiword
0x00000001d7a12c68  0x00000014  __TEXT,__text  func  is_pol_unsuff_word
0x00000001d7a12c7c  0x000000c8  __TEXT,__text  func  an_finish
0x00000001d7a12d44  0x00000b68  __TEXT,__text  func  an_analyze
0x00000001d7a138ac  0x000000f0  __TEXT,__text  func  stem_check
0x00000001d7a1399c  0x0000019c  __TEXT,__text  func  process_result
0x00000001d7a13b38  0x00000648  __TEXT,__text  func  scan
0x00000001d7a14180  0x00000094  __TEXT,__text  func  supl_stem_suffix_check_hun
0x00000001d7a14214  0x000000a0  __TEXT,__text  func  supl_prefix_stem_suffix_check_hun
0x00000001d7a142b4  0x0000003c  __TEXT,__text  func  match_stem_null
0x00000001d7a142f0  0x00000208  __TEXT,__text  func  stem_prefix_stem_suffix_check_hun
0x00000001d7a144f8  0x00000948  __TEXT,__text  func  stem_stem_suffix_check_hun
0x00000001d7a14e40  0x00000008  __TEXT,__text  func  an_get_status
0x00000001d7a14e48  0x0000005c  __TEXT,__text  func  is_nominal_result
0x00000001d7a14ea4  0x00000010  __TEXT,__text  func  is_special_result_hun
0x00000001d7a14eb4  0x00000050  __TEXT,__text  func  fill_term
0x00000001d7a14f04  0x0000005c  __TEXT,__text  func  match_stem_nont
0x00000001d7a14f60  0x0000006c  __TEXT,__text  func  is_cwi_vowel_hun
0x00000001d7a14fcc  0x00000020  __TEXT,__text  func  cdict_init
0x00000001d7a14fec  0x00000070  __TEXT,__text  func  cdict_finish
0x00000001d7a1505c  0x00000008  __TEXT,__text  func  cdict_size
0x00000001d7a15064  0x00000094  __TEXT,__text  func  cdict_access
0x00000001d7a150f8  0x00000168  __TEXT,__text  func  cdict_find_first
0x00000001d7a15260  0x00000208  __TEXT,__text  func  cdict_locate_first
0x00000001d7a15468  0x00000054  __TEXT,__text  func  _strcommon
0x00000001d7a154bc  0x000000f0  __TEXT,__text  func  cdict_delete
0x00000001d7a155ac  0x000004e4  __TEXT,__text  func  cdict_add
0x00000001d7a15a90  0x00000064  __TEXT,__text  func  letter_stat
0x00000001d7a15af4  0x00000008  __TEXT,__text  func  dlk_prev
0x00000001d7a15afc  0x00000008  __TEXT,__text  func  dlk_next
0x00000001d7a15b04  0x00000038  __TEXT,__text  func  dlk_link
0x00000001d7a15b3c  0x00000038  __TEXT,__text  func  dlk_unlink
0x00000001d7a15b74  0x00000014  __TEXT,__text  func  stpcopy
0x00000001d7a15b88  0x00000020  __TEXT,__text  func  stpncopy
0x00000001d7a15ba8  0x00000050  __TEXT,__text  func  stricomp
0x00000001d7a15bf8  0x0000006c  __TEXT,__text  func  strnicomp
0x00000001d7a15c64  0x00000038  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) sentenceTerminatorCharacterSet]  // -[AppleSpell ?]
0x00000001d7a15c9c  0x00000034  __TEXT,__text  func  __62-[AppleSpell(LanguageModeling) sentenceTerminatorCharacterSet]_block_invoke
0x00000001d7a15cd0  0x000001dc  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _standardizedLanguageModelStringForString:]  // -[AppleSpell ?]
0x00000001d7a15eac  0x00000168  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _tokenIDForString:languageModel:languageObject:createIfAbsent:terminatorTokenID:]  // -[AppleSpell ?]
0x00000001d7a16014  0x0000002c  __TEXT,__text  func  __112-[AppleSpell(LanguageModeling) _tokenIDForString:languageModel:languageObject:createIfAbsent:terminatorTokenID:]_block_invoke
0x00000001d7a16040  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
0x00000001d7a16050  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32o
0x00000001d7a1605c  0x0000000c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _tokenIDForString:languageModel:languageObject:terminatorTokenID:]  // -[AppleSpell A]
0x00000001d7a16068  0x00000344  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _stringForTokenIDs:tokenCount:entryString:languageModel:languageObject:connection:sender:prefix:capitalized:]  // -[AppleSpell ?]
0x00000001d7a163ac  0x00000220  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _stringForCompletion:languageModel:languageObject:connection:sender:prefix:capitalized:]  // -[AppleSpell ?]
0x00000001d7a165cc  0x00000108  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) shouldBlockWord:languageObject:]  // -[AppleSpell ?]
0x00000001d7a166d4  0x00000038  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) backgroundMaintenanceQueue]  // -[AppleSpell ?]
0x00000001d7a1670c  0x0000003c  __TEXT,__text  func  __58-[AppleSpell(LanguageModeling) backgroundMaintenanceQueue]_block_invoke
0x00000001d7a16748  0x0000049c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _contextLengthForRange:languageObject:tagger:languageModel:maxContextLength:context:cleanOffset:cleanContextRange:lastTokenRange:lastTokenID:]  // -[AppleSpell ?]
0x00000001d7a16be4  0x0000015c  __TEXT,__text  func  __173-[AppleSpell(LanguageModeling) _contextLengthForRange:languageObject:tagger:languageModel:maxContextLength:context:cleanOffset:cleanContextRange:lastTokenRange:lastTokenID:]_block_invoke
0x00000001d7a16d40  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32o40r
0x00000001d7a16d90  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32o40r
0x00000001d7a16dd4  0x0000000c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) languageModelLocalizationForLanguage:]  // -[AppleSpell ?]
0x00000001d7a16de0  0x00000270  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _readLanguageModelParametersFromDefaults]  // -[AppleSpell ?]
0x00000001d7a17050  0x0000038c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _readLanguageModelParametersFromDictionary:]  // -[AppleSpell ?]
0x00000001d7a173dc  0x000001f0  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _loadWordLanguageModelForLanguage:localization:appIdentifier:onQueue:]  // -[AppleSpell ?]
0x00000001d7a175cc  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x00000001d7a175dc  0x0000000c  __TEXT,__text  func  __Block_byref_object_dispose_
0x00000001d7a175e8  0x00000068  __TEXT,__text  func  __101-[AppleSpell(LanguageModeling) _loadWordLanguageModelForLanguage:localization:appIdentifier:onQueue:]_block_invoke
0x00000001d7a17650  0x00000070  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56r
0x00000001d7a176c0  0x0000005c  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56r
0x00000001d7a1771c  0x00000040  __TEXT,__text  func  __101-[AppleSpell(LanguageModeling) _loadWordLanguageModelForLanguage:localization:appIdentifier:onQueue:]_block_invoke.119
0x00000001d7a1775c  0x00000028  __TEXT,__text  func  __101-[AppleSpell(LanguageModeling) _loadWordLanguageModelForLanguage:localization:appIdentifier:onQueue:]_block_invoke_2
0x00000001d7a17784  0x000000b0  __TEXT,__text  func  _setLanguageModel
0x00000001d7a17834  0x00000090  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) modelCreationQueue]  // -[AppleSpell "B]
0x00000001d7a178c4  0x0000005c  __TEXT,__text  func  __50-[AppleSpell(LanguageModeling) modelCreationQueue]_block_invoke
0x00000001d7a17920  0x0000020c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) wordLanguageModelForLanguage:appIdentifier:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a17b2c  0x000000a4  __TEXT,__text  func  __89-[AppleSpell(LanguageModeling) wordLanguageModelForLanguage:appIdentifier:waitForResult:]_block_invoke
0x00000001d7a17bd0  0x0000004c  __TEXT,__text  func  __89-[AppleSpell(LanguageModeling) wordLanguageModelForLanguage:appIdentifier:waitForResult:]_block_invoke_2
0x00000001d7a17c1c  0x00000080  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56o64o
0x00000001d7a17c9c  0x00000068  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56o64o
0x00000001d7a17d04  0x00000058  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) wordLanguageModelForLanguageObject:appIdentifier:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a17d5c  0x00000068  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) useWordLanguageModelForLanguageObject:tagger:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a17dc4  0x00000058  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) useCharacterLanguageModelForLanguageObject:tagger:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a17e1c  0x0000006c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) useTransformerLanguageModelForLanguageObject:tagger:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a17e88  0x0000006c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) useSentencePieceLanguageModelForLanguageObject:tagger:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a17ef4  0x0000000c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) loadWordLanguageModelForLanguageObject:]  // -[AppleSpell ?]
0x00000001d7a17f00  0x00000008  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) useUnigramProbabilityForLanguageObject:]  // -[AppleSpell ]
0x00000001d7a17f08  0x00000224  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _loadNLPLanguageModelWithType:forLanguageObject:onQueue:]  // -[AppleSpell ?]
0x00000001d7a1812c  0x00000038  __TEXT,__text  func  __88-[AppleSpell(LanguageModeling) _loadNLPLanguageModelWithType:forLanguageObject:onQueue:]_block_invoke
0x00000001d7a18164  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32o40o48r
0x00000001d7a181c4  0x00000050  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48r
0x00000001d7a18214  0x00000040  __TEXT,__text  func  __88-[AppleSpell(LanguageModeling) _loadNLPLanguageModelWithType:forLanguageObject:onQueue:]_block_invoke.122
0x00000001d7a18254  0x0000005c  __TEXT,__text  func  __88-[AppleSpell(LanguageModeling) _loadNLPLanguageModelWithType:forLanguageObject:onQueue:]_block_invoke.126
0x00000001d7a182b0  0x00000234  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _NLPLanguageModelWithType:forLanguageObject:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a184e4  0x00000088  __TEXT,__text  func  __90-[AppleSpell(LanguageModeling) _NLPLanguageModelWithType:forLanguageObject:waitForResult:]_block_invoke
0x00000001d7a1856c  0x00000048  __TEXT,__text  func  __90-[AppleSpell(LanguageModeling) _NLPLanguageModelWithType:forLanguageObject:waitForResult:]_block_invoke_2
0x00000001d7a185b4  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o
0x00000001d7a18614  0x00000050  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o
0x00000001d7a18664  0x00000010  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) characterLanguageModelForLanguageObject:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a18674  0x00000010  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) transformerLanguageModelForLanguageObject:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a18684  0x00000010  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) sentencePieceLanguageModelForLanguageObject:waitForResult:]  // -[AppleSpell ]
0x00000001d7a18694  0x00000078  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) transformerOrSiriLanguageModelForLanguageObject:appIdentifier:waitForResult:]  // -[AppleSpell ?]
0x00000001d7a1870c  0x000000b8  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _resetLanguageModels]  // -[AppleSpell ?]
0x00000001d7a187c4  0x00000214  __TEXT,__text  func  __52-[AppleSpell(LanguageModeling) _resetLanguageModels]_block_invoke
0x00000001d7a189d8  0x00000080  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _releaseLanguageModels]  // -[AppleSpell ?]
0x00000001d7a18a58  0x00000074  __TEXT,__text  func  __54-[AppleSpell(LanguageModeling) _releaseLanguageModels]_block_invoke
0x00000001d7a18acc  0x0000007c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) resetLanguageModels]  // -[AppleSpell ?]
0x00000001d7a18b48  0x0000007c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) releaseLanguageModels]  // -[AppleSpell ?]
0x00000001d7a18bc4  0x000001e8  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPrefix:languageModel:languageObject:connection:sender:capitalized:candidates:]  // -[AppleSpell ?]
0x00000001d7a18dac  0x00000128  __TEXT,__text  func  __140-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPrefix:languageModel:languageObject:connection:sender:capitalized:candidates:]_block_invoke
0x00000001d7a18ed4  0x000000b0  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56o64o72o80r88r
0x00000001d7a18f84  0x0000008c  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56o64o72o80r88r
0x00000001d7a19010  0x00000128  __TEXT,__text  func  __140-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPrefix:languageModel:languageObject:connection:sender:capitalized:candidates:]_block_invoke.137
0x00000001d7a19138  0x00000100  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) languageModelCompletionsForPartialWord:languageObject:sender:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a19238  0x000006ec  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]  // -[AppleSpell ?]
0x00000001d7a19924  0x00000034  __TEXT,__text  func  __218-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]_block_invoke
0x00000001d7a19958  0x00000148  __TEXT,__text  func  __218-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]_block_invoke_2
0x00000001d7a19aa0  0x000000c0  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56o64o72o80o88r96r
0x00000001d7a19b60  0x00000098  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56o64o72o80o88r96r
0x00000001d7a19bf8  0x00000148  __TEXT,__text  func  __218-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]_block_invoke.155
0x00000001d7a19d40  0x000002f4  __TEXT,__text  func  __218-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]_block_invoke_2.156
0x00000001d7a1a034  0x0000009c  __TEXT,__text  func  __218-[AppleSpell(LanguageModeling) _addLanguageModelCompletionsForPartialWordRange:languageObject:connection:sender:tagger:appIdentifier:waitForLanguageModel:allowTransformer:candidates:scoreDictionary:tryTransliteration:]_block_invoke_3
0x00000001d7a1a0d0  0x000000a0  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56o64o72o80r
0x00000001d7a1a170  0x00000080  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56o64o72o80r
0x00000001d7a1a1f0  0x0000008c  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _getUnigramProbabilityForString:languageModel:probability:]  // -[AppleSpell ?]
0x00000001d7a1a27c  0x00000648  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _rankedCandidatesForRange:candidates:languageObject:tagger:appIdentifier:allowTransformer:scoreDictionary:]  // -[AppleSpell ?]
0x00000001d7a1a8c4  0x00000140  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) getParameterValue:forName:languageObject:tagger:appIdentifier:parameterBundles:defaultValue:]  // -[AppleSpell ?]
0x00000001d7a1aa04  0x00000338  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _languageModelStateScoresForCandidateList:languageModel:state:language:tagger:]  // -[AppleSpell ]
0x00000001d7a1ad3c  0x00001024  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _rankedCandidatesForCandidateList:languageObject:tagger:appIdentifier:parameterBundles:]  // -[AppleSpell ?]
0x00000001d7a1bd60  0x000002cc  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) _useAlternateLanguageForRange:ofString:languageObject:tagger:alternateLanguageObject:alternateTagger:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a1c02c  0x00000060  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) dynamicScoreForWord:languageModel:languageObject:]  // -[AppleSpell ?]
0x00000001d7a1c08c  0x00000060  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) dynamicScoreForWord:languageObject:appIdentifier:]  // -[AppleSpell ?]
0x00000001d7a1c0ec  0x000000dc  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) assetDataBundleURLsForLanguageObject:]  // -[AppleSpell ?]
0x00000001d7a1c1c8  0x0000005c  __TEXT,__text  func  __69-[AppleSpell(LanguageModeling) assetDataBundleURLsForLanguageObject:]_block_invoke
0x00000001d7a1c224  0x000001ac  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) getConditionalProbabilityForWord:context:language:probability:]  // -[AppleSpell ?]
0x00000001d7a1c3d0  0x00000084  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) getCharacterModelConditionalProbabilityForString:context:language:probability:]  // -[AppleSpell ?]
0x00000001d7a1c454  0x00000084  __TEXT,__text  objc  -[AppleSpell(LanguageModeling) getTransformerModelConditionalProbabilityForString:context:language:probability:]  // -[AppleSpell ?]
0x00000001d7a1c4d8  0x000001d0  __TEXT,__text  objc  -[PRWordLanguageModel initWithLocalization:appIdentifier:lexicon:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c6a8  0x00000054  __TEXT,__text  objc  +[PRWordLanguageModel languageModelWithLocalization:appIdentifier:lexicon:]  // +[PRWordLanguageModel ?]
0x00000001d7a1c6fc  0x0000000c  __TEXT,__text  objc  +[PRWordLanguageModel performMaintenance]  // +[PRWordLanguageModel ]
0x00000001d7a1c708  0x0000000c  __TEXT,__text  objc  +[PRWordLanguageModel setLogLevel:]  // +[PRWordLanguageModel ?]
0x00000001d7a1c714  0x00000074  __TEXT,__text  objc  -[PRWordLanguageModel dealloc]  // -[PRWordLanguageModel ?]
0x00000001d7a1c788  0x000000d0  __TEXT,__text  objc  -[PRWordLanguageModel description]  // -[PRWordLanguageModel ?]
0x00000001d7a1c858  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel localization]  // -[PRWordLanguageModel ]
0x00000001d7a1c860  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel appIdentifier]  // -[PRWordLanguageModel ?]
0x00000001d7a1c868  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel tokenIDForString:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c870  0x00000018  __TEXT,__text  objc  -[PRWordLanguageModel stringForTokenID:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c888  0x0000004c  __TEXT,__text  objc  -[PRWordLanguageModel getConditionalProbabilityForTokenID:context:length:probability:]  // -[PRWordLanguageModel ]
0x00000001d7a1c8d4  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel getUnigramProbabilityForString:probability:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c8dc  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel usageCountForTokenID:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c8e4  0x000000b0  __TEXT,__text  objc  -[PRWordLanguageModel _descriptionForTokenSequence:length:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c994  0x00000028  __TEXT,__text  objc  -[PRWordLanguageModel tokenSequenceIsBlocklisted:length:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c9bc  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel enumerateCompletionsForPrefix:maxCompletions:withBlock:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c9c4  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel enumerateCompletionEntriesForPrefix:maxCompletions:withBlock:]  // -[PRWordLanguageModel ?]
0x00000001d7a1c9cc  0x000000b8  __TEXT,__text  objc  -[PRWordLanguageModel enumeratePredictionsForContext:length:maxPredictions:maxTokensPerPrediction:withBlock:]  // -[PRWordLanguageModel ]
0x00000001d7a1ca84  0x000000e0  __TEXT,__text  func  __109-[PRWordLanguageModel enumeratePredictionsForContext:length:maxPredictions:maxTokensPerPrediction:withBlock:]_block_invoke
0x00000001d7a1cb64  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32b40r
0x00000001d7a1cbb4  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32b40r
0x00000001d7a1cbf8  0x00000070  __TEXT,__text  objc  -[PRWordLanguageModel enumerateEntriesForString:withBlock:]  // -[PRWordLanguageModel ?]
0x00000001d7a1cc68  0x00000050  __TEXT,__text  func  __59-[PRWordLanguageModel enumerateEntriesForString:withBlock:]_block_invoke
0x00000001d7a1ccb8  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x00000001d7a1ccc8  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32b
0x00000001d7a1ccd4  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel addTokenForString:tokenID:]  // -[PRWordLanguageModel ?]
0x00000001d7a1ccdc  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel getFirstDynamicTokenID:lastDynamicTokenID:]  // -[PRWordLanguageModel ?]
0x00000001d7a1cce4  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel shouldAdaptToTokenSequence:length:]  // -[PRWordLanguageModel @]
0x00000001d7a1ccec  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel incrementUsageCountForTokenID:context:length:]  // -[PRWordLanguageModel ?]
0x00000001d7a1ccf4  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel recordWithDifferentialPrivacy:]  // -[PRWordLanguageModel ?]
0x00000001d7a1ccfc  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel reset]  // -[PRWordLanguageModel P]
0x00000001d7a1cd04  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel flushDynamicData]  // -[PRWordLanguageModel ?]
0x00000001d7a1cd0c  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel applyExponentialDecay]  // -[PRWordLanguageModel ?]
0x00000001d7a1cd14  0x00000008  __TEXT,__text  objc  -[PRWordLanguageModel pruneToSize:]  // -[PRWordLanguageModel ]
0x00000001d7a1cd1c  0x00000084  __TEXT,__text  objc  -[PRNLPLanguageModelState initWithLanguageModel:state:]  // -[PRNLPLanguageModelState ?]
0x00000001d7a1cda0  0x0000004c  __TEXT,__text  objc  -[PRNLPLanguageModelState getConditionalProbabilityForString:probability:]  // -[PRNLPLanguageModelState ?]
0x00000001d7a1cdec  0x000000cc  __TEXT,__text  objc  -[PRNLPLanguageModelState conditionalProbabilityDictionaryForStrings:]  // -[PRNLPLanguageModelState ]
0x00000001d7a1ceb8  0x00000210  __TEXT,__text  objc  -[PRNLPLanguageModelState enumeratePredictions:maxTokensPerPrediction:withBlock:]  // -[PRNLPLanguageModelState ?]
0x00000001d7a1d0c8  0x0000000c  __TEXT,__text  func  __81-[PRNLPLanguageModelState enumeratePredictions:maxTokensPerPrediction:withBlock:]_block_invoke
0x00000001d7a1d0d4  0x0000005c  __TEXT,__text  objc  -[PRNLPLanguageModelState dealloc]  // -[PRNLPLanguageModelState ?kA+]
0x00000001d7a1d130  0x00000008  __TEXT,__text  objc  -[PRNLPLanguageModelState languageModel]  // -[PRNLPLanguageModelState ?]
0x00000001d7a1d138  0x000001dc  __TEXT,__text  objc  -[PRNLPLanguageModel modelOptionsForLocale:type:]  // -[PRNLPLanguageModel ?]
