//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/RemindersIntentsFramework.framework/Versions/A/RemindersIntentsFramework
// arch:    arm64e
// uuid:    6FAE58CC-D52D-39D9-9177-81A2928DDEAF
// text:    0x0000000264f62000
// count:   900 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000264f63be8  0x00000040  __TEXT,__text  func  -[INDeleteTasksIntent(SPI) rem_all]
0x0000000264f63c28  0x0000000c  __TEXT,__text  func  __swift_memcpy16_8
0x0000000264f63c34  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x0000000264f63c38  0x00000020  __TEXT,__text  sub  sub_264f63c38
0x0000000264f63c58  0x00000028  __TEXT,__text  sub  sub_264f63c58
0x0000000264f63c80  0x00000014  __TEXT,__text  sub  sub_264f63c80
0x0000000264f63c94  0x000000c0  __TEXT,__text  sub  sub_264f63c94
0x0000000264f63d54  0x00000014  __TEXT,__text  sub  sub_264f63d54
0x0000000264f63d68  0x00000008  __TEXT,__text  sub  sub_264f63d68
0x0000000264f63d70  0x00000078  __TEXT,__text  sub  sub_264f63d70
0x0000000264f63de8  0x00000080  __TEXT,__text  sub  sub_264f63de8
0x0000000264f63e68  0x00000044  __TEXT,__text  sub  sub_264f63e68
0x0000000264f63eac  0x00000088  __TEXT,__text  sub  sub_264f63eac
0x0000000264f63f34  0x0000000c  __TEXT,__text  sub  sub_264f63f34
0x0000000264f63f40  0x00000010  __TEXT,__text  sub  sub_264f63f40
0x0000000264f63f50  0x00000048  __TEXT,__text  sub  sub_264f63f50
0x0000000264f63f98  0x0000002c  __TEXT,__text  sub  sub_264f63f98
0x0000000264f63fc4  0x00000098  __TEXT,__text  sub  sub_264f63fc4
0x0000000264f6405c  0x0000003c  __TEXT,__text  sub  sub_264f6405c
0x0000000264f64098  0x00000054  __TEXT,__text  sub  sub_264f64098
0x0000000264f640ec  0x00000074  __TEXT,__text  sub  sub_264f640ec
0x0000000264f64160  0x00000d7c  __TEXT,__text  sub  sub_264f64160
0x0000000264f64edc  0x00000de0  __TEXT,__text  sub  sub_264f64edc
0x0000000264f65cbc  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x0000000264f65cf4  0x00000060  __TEXT,__text  sub  sub_264f65cf4
0x0000000264f65d54  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x0000000264f65da8  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_0Tm  // aliases: __swift_destroy_boxed_opaque_existential_0
0x0000000264f65dec  0x00000064  __TEXT,__text  func  __swift_allocate_value_buffer
0x0000000264f65e50  0x00000048  __TEXT,__text  sub  sub_264f65e50
0x0000000264f65e98  0x00000014  __TEXT,__text  sub  sub_264f65e98
0x0000000264f65eac  0x00000014  __TEXT,__text  sub  sub_264f65eac
0x0000000264f65ec0  0x0000004c  __TEXT,__text  sub  sub_264f65ec0
0x0000000264f65f0c  0x00000034  __TEXT,__text  sub  sub_264f65f0c
0x0000000264f65f40  0x00000034  __TEXT,__text  sub  sub_264f65f40
0x0000000264f65f74  0x00000044  __TEXT,__text  sub  sub_264f65f74
0x0000000264f65fb8  0x00000034  __TEXT,__text  sub  sub_264f65fb8
0x0000000264f65fec  0x00000004  __TEXT,__text  sub  sub_264f65fec
0x0000000264f65ff0  0x00000004  __TEXT,__text  sub  sub_264f65ff0
0x0000000264f65ff4  0x000000c0  __TEXT,__text  sub  sub_264f65ff4
0x0000000264f660b4  0x00000be4  __TEXT,__text  sub  sub_264f660b4
0x0000000264f66c98  0x00000070  __TEXT,__text  sub  sub_264f66c98
0x0000000264f66d08  0x00000bcc  __TEXT,__text  sub  sub_264f66d08
0x0000000264f678d4  0x00000018  __TEXT,__text  sub  sub_264f678d4
0x0000000264f678ec  0x00000d24  __TEXT,__text  sub  sub_264f678ec
0x0000000264f68610  0x000004a0  __TEXT,__text  sub  sub_264f68610
0x0000000264f68ab0  0x0000022c  __TEXT,__text  sub  sub_264f68ab0
0x0000000264f68cdc  0x0000063c  __TEXT,__text  sub  sub_264f68cdc
0x0000000264f69318  0x000000b0  __TEXT,__text  sub  sub_264f69318
0x0000000264f693c8  0x00000074  __TEXT,__text  sub  sub_264f693c8
0x0000000264f6943c  0x00000018  __TEXT,__text  sub  sub_264f6943c
0x0000000264f69454  0x00000018  __TEXT,__text  sub  sub_264f69454
0x0000000264f6946c  0x000000bc  __TEXT,__text  sub  sub_264f6946c
0x0000000264f69528  0x00000314  __TEXT,__text  sub  sub_264f69528
0x0000000264f6983c  0x000002ac  __TEXT,__text  sub  sub_264f6983c
0x0000000264f69ae8  0x00000018  __TEXT,__text  sub  sub_264f69ae8
0x0000000264f69b00  0x00000018  __TEXT,__text  sub  sub_264f69b00
0x0000000264f69b18  0x00000094  __TEXT,__text  sub  sub_264f69b18
0x0000000264f69bac  0x00000018  __TEXT,__text  sub  sub_264f69bac
0x0000000264f69bc4  0x00000098  __TEXT,__text  sub  sub_264f69bc4
0x0000000264f69c5c  0x0000006c  __TEXT,__text  sub  sub_264f69c5c
0x0000000264f69cc8  0x00000270  __TEXT,__text  sub  sub_264f69cc8
0x0000000264f69f38  0x00002b2c  __TEXT,__text  sub  sub_264f69f38
0x0000000264f6ca64  0x00000018  __TEXT,__text  sub  sub_264f6ca64
0x0000000264f6ca7c  0x00000098  __TEXT,__text  sub  sub_264f6ca7c
0x0000000264f6cb14  0x000003d0  __TEXT,__text  sub  sub_264f6cb14
0x0000000264f6cee4  0x00000078  __TEXT,__text  sub  sub_264f6cee4
0x0000000264f6cf5c  0x00000140  __TEXT,__text  sub  sub_264f6cf5c
0x0000000264f6d09c  0x00000030  __TEXT,__text  sub  sub_264f6d09c
0x0000000264f6d0cc  0x00000034  __TEXT,__text  sub  sub_264f6d0cc
0x0000000264f6d100  0x00000080  __TEXT,__text  sub  sub_264f6d100
0x0000000264f6d180  0x00000024  __TEXT,__text  sub  sub_264f6d180
0x0000000264f6d1a4  0x0000000c  __TEXT,__text  sub  sub_264f6d1a4
0x0000000264f6d1b0  0x0000000c  __TEXT,__text  sub  sub_264f6d1b0
0x0000000264f6d1bc  0x0000000c  __TEXT,__text  sub  sub_264f6d1bc
0x0000000264f6d1c8  0x00000044  __TEXT,__text  func  __swift_project_boxed_opaque_existential_0  // aliases: __swift_project_boxed_opaque_existential_1
0x0000000264f6d20c  0x0000000c  __TEXT,__text  sub  sub_264f6d20c
0x0000000264f6d218  0x00000008  __TEXT,__text  sub  sub_264f6d218
0x0000000264f6d220  0x00000038  __TEXT,__text  sub  sub_264f6d220
0x0000000264f6d258  0x0000001c  __TEXT,__text  sub  sub_264f6d258
0x0000000264f6d274  0x00000038  __TEXT,__text  sub  sub_264f6d274
0x0000000264f6d2ac  0x00000034  __TEXT,__text  sub  sub_264f6d2ac
0x0000000264f6d2e0  0x00000038  __TEXT,__text  sub  sub_264f6d2e0
0x0000000264f6d318  0x00000040  __TEXT,__text  sub  sub_264f6d318
0x0000000264f6d358  0x0000000c  __TEXT,__text  sub  sub_264f6d358
0x0000000264f6d364  0x000002bc  __TEXT,__text  sub  sub_264f6d364
0x0000000264f6d620  0x00000b94  __TEXT,__text  sub  sub_264f6d620
0x0000000264f6e1b4  0x00001310  __TEXT,__text  sub  sub_264f6e1b4
0x0000000264f6f4c4  0x00000688  __TEXT,__text  sub  sub_264f6f4c4
0x0000000264f6fb4c  0x000004f0  __TEXT,__text  sub  sub_264f6fb4c
0x0000000264f7003c  0x00002f6c  __TEXT,__text  sub  sub_264f7003c
0x0000000264f72fa8  0x00000038  __TEXT,__text  sub  sub_264f72fa8
0x0000000264f72fe0  0x00000014  __TEXT,__text  sub  sub_264f72fe0
0x0000000264f72ff4  0x00000038  __TEXT,__text  sub  sub_264f72ff4
0x0000000264f7302c  0x0000001c  __TEXT,__text  sub  sub_264f7302c
0x0000000264f73048  0x00000048  __TEXT,__text  sub  sub_264f73048
0x0000000264f73090  0x00000020  __TEXT,__text  sub  sub_264f73090
0x0000000264f730b0  0x000001cc  __TEXT,__text  sub  sub_264f730b0
0x0000000264f7327c  0x00000068  __TEXT,__text  sub  sub_264f7327c
0x0000000264f732e4  0x00000134  __TEXT,__text  sub  sub_264f732e4
0x0000000264f73418  0x0000005c  __TEXT,__text  sub  sub_264f73418
0x0000000264f73474  0x00000068  __TEXT,__text  sub  sub_264f73474
0x0000000264f734dc  0x00000048  __TEXT,__text  sub  sub_264f734dc
0x0000000264f73524  0x00000060  __TEXT,__text  sub  sub_264f73524
0x0000000264f73584  0x00000058  __TEXT,__text  sub  sub_264f73584
0x0000000264f735dc  0x00000068  __TEXT,__text  sub  sub_264f735dc
0x0000000264f73644  0x0000001c  __TEXT,__text  sub  sub_264f73644
0x0000000264f73660  0x00000008  __TEXT,__text  sub  sub_264f73660
0x0000000264f73668  0x00000008  __TEXT,__text  sub  sub_264f73668
0x0000000264f73670  0x00000058  __TEXT,__text  sub  sub_264f73670
0x0000000264f736c8  0x00000010  __TEXT,__text  sub  sub_264f736c8
0x0000000264f736d8  0x00000040  __TEXT,__text  sub  sub_264f736d8
0x0000000264f73718  0x0000000c  __TEXT,__text  sub  sub_264f73718
0x0000000264f73724  0x00000064  __TEXT,__text  sub  sub_264f73724
0x0000000264f73788  0x0000005c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameAbstractV2
0x0000000264f737e4  0x00000004  __TEXT,__text  sub  sub_264f737e4
0x0000000264f737e8  0x00000004  __TEXT,__text  sub  sub_264f737e8
0x0000000264f737ec  0x00000004  __TEXT,__text  sub  sub_264f737ec
