//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Restore.framework/Versions/A/Restore
// arch:    arm64e
// uuid:    9F3CA90D-7DF1-3178-BBAE-D68F86948E21
// text:    0x00000001aa6fc000
// count:   36 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001aa6fcbe8  0x00000094  __TEXT,__text  func  RestoreOperation
0x00000001aa6fcc7c  0x00000048  __TEXT,__text  objc  -[RestoreHelper init]  // -[RestoreHelper ?]
0x00000001aa6fccc4  0x0000005c  __TEXT,__text  objc  -[RestoreHelper dealloc]  // -[RestoreHelper ?]
0x00000001aa6fcd20  0x000000a0  __TEXT,__text  objc  -[RestoreHelper doCommand:withStatusFn:completionFn:andContext:]  // -[RestoreHelper ]
0x00000001aa6fcdc0  0x00000080  __TEXT,__text  objc  -[RestoreHelper(Private) executeCompleted:]  // -[RestoreHelper ?]
0x00000001aa6fce40  0x00000010  __TEXT,__text  objc  -[RestoreHelper(Private) updateStatus:]  // -[RestoreHelper ]
0x00000001aa6fce50  0x00000178  __TEXT,__text  objc  -[RestoreHelper(Private) asrAgentConnectionCallback:]  // -[RestoreHelper ]
0x00000001aa6fcfc8  0x000001f0  __TEXT,__text  objc  -[RestoreHelper(Private) doCommand:withStatusFn:andContext:]  // -[RestoreHelper ]
0x00000001aa6fd1b8  0x0000000c  __TEXT,__text  func  __60-[RestoreHelper(Private) doCommand:withStatusFn:andContext:]_block_invoke
0x00000001aa6fd1c4  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
0x00000001aa6fd1d4  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32o
0x00000001aa6fd1e0  0x00000008  __TEXT,__text  objc  -[RestoreHelper(Private) commTimeout:]  // -[RestoreHelper ?]
0x00000001aa6fd1e8  0x0000004c  __TEXT,__text  objc  -[RestoreHelper(Private) authenticate]  // -[RestoreHelper ?]
0x00000001aa6fd234  0x00000024  __TEXT,__text  objc  -[RestoreHelper(Private) isAuthenticated]  // -[RestoreHelper ?]
0x00000001aa6fd258  0x00000110  __TEXT,__text  objc  -[RestoreHelper(Private) authWithFlags:]  // -[RestoreHelper nvas configuration tone mapping mode]
0x00000001aa6fd368  0x000001e8  __TEXT,__text  objc  -[RestoreHelper(Private) askForPassword]  // -[RestoreHelper gh Dynamic Range through canvas configuration tone mapping mode]
0x00000001aa6fd550  0x00000550  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_RestoreHelper(Private)
0x00000001aa6fdaa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$askForPassword
0x00000001aa6fdac0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$asrAgentConnectionCallback:
0x00000001aa6fdae0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$authWithFlags:
0x00000001aa6fdb00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$authenticate
0x00000001aa6fdb20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dataWithBytes:length:
0x00000001aa6fdb40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$doCommand:withStatusFn:andContext:
0x00000001aa6fdb60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$doCommand:withStatusFn:completionFn:andContext:
0x00000001aa6fdb80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$executeCompleted:
0x00000001aa6fdba0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$fileSystemRepresentation
0x00000001aa6fdbc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$init
0x00000001aa6fdbe0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$invalidate
0x00000001aa6fdc00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isAuthenticated
0x00000001aa6fdc20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$mainBundle
0x00000001aa6fdc40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$mutableCopy
0x00000001aa6fdc60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$numberWithBool:
0x00000001aa6fdc80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$preferredLocalizations
0x00000001aa6fdca0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$scheduledTimerWithTimeInterval:target:selector:userInfo:repeats:
0x00000001aa6fdcc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setObject:forKey:
0x00000001aa6fdce0  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$updateStatus:
