//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SafariSwift.framework/Versions/A/SafariSwift
// arch:    arm64e
// uuid:    66221024-A40F-3B30-B4DE-1CA2789B6C2C
// text:    0x00000002661a5000
// count:   2399 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002661a6d98  0x00000004  __TEXT,__text  sub  sub_2661a6d98
0x00000002661a6d9c  0x00000004  __TEXT,__text  sub  sub_2661a6d9c
0x00000002661a6da0  0x00000004  __TEXT,__text  sub  sub_2661a6da0
0x00000002661a6da4  0x00000004  __TEXT,__text  sub  sub_2661a6da4
0x00000002661a6da8  0x00000004  __TEXT,__text  sub  sub_2661a6da8
0x00000002661a6dac  0x00000004  __TEXT,__text  sub  sub_2661a6dac
0x00000002661a6db0  0x00000004  __TEXT,__text  sub  sub_2661a6db0
0x00000002661a6db4  0x00000004  __TEXT,__text  sub  sub_2661a6db4
0x00000002661a6db8  0x00000004  __TEXT,__text  sub  sub_2661a6db8
0x00000002661a6dbc  0x00000004  __TEXT,__text  sub  sub_2661a6dbc
0x00000002661a6dc0  0x00000004  __TEXT,__text  sub  sub_2661a6dc0
0x00000002661a6dc4  0x00000004  __TEXT,__text  sub  sub_2661a6dc4
0x00000002661a6dc8  0x00000004  __TEXT,__text  sub  sub_2661a6dc8
0x00000002661a6dcc  0x00000004  __TEXT,__text  sub  sub_2661a6dcc
0x00000002661a6dd0  0x00000004  __TEXT,__text  sub  sub_2661a6dd0
0x00000002661a6dd4  0x00000004  __TEXT,__text  sub  sub_2661a6dd4
0x00000002661a6dd8  0x00000044  __TEXT,__text  sub  sub_2661a6dd8
0x00000002661a6e1c  0x00000044  __TEXT,__text  sub  sub_2661a6e1c
0x00000002661a6e60  0x00000004  __TEXT,__text  sub  sub_2661a6e60
0x00000002661a6e64  0x00000004  __TEXT,__text  sub  sub_2661a6e64
0x00000002661a6e68  0x00000044  __TEXT,__text  sub  sub_2661a6e68
0x00000002661a6eac  0x0000002c  __TEXT,__text  sub  sub_2661a6eac
0x00000002661a6ed8  0x0000002c  __TEXT,__text  sub  sub_2661a6ed8
0x00000002661a6f04  0x00000004  __TEXT,__text  sub  sub_2661a6f04
0x00000002661a6f08  0x00000004  __TEXT,__text  sub  sub_2661a6f08
0x00000002661a6f0c  0x00000004  __TEXT,__text  sub  sub_2661a6f0c
0x00000002661a6f10  0x00000004  __TEXT,__text  sub  sub_2661a6f10
