//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Sage.framework/Versions/A/Sage
// arch:    arm64e
// uuid:    9BA92C19-2B51-3782-93DF-86CC2A22AF66
// text:    0x00000002662aa000
// count:   6855 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002662abea8  0x00000010  __TEXT,__text  sub  sub_2662abea8
0x00000002662abeb8  0x0000000c  __TEXT,__text  sub  sub_2662abeb8
0x00000002662abec4  0x00000088  __TEXT,__text  sub  sub_2662abec4
0x00000002662abf4c  0x0000007c  __TEXT,__text  sub  sub_2662abf4c
0x00000002662abfc8  0x00000014  __TEXT,__text  sub  sub_2662abfc8
0x00000002662abfdc  0x00000014  __TEXT,__text  sub  sub_2662abfdc
0x00000002662abff0  0x00000008  __TEXT,__text  sub  sub_2662abff0
0x00000002662abff8  0x00000008  __TEXT,__text  sub  sub_2662abff8
0x00000002662ac000  0x00000008  __TEXT,__text  sub  sub_2662ac000
0x00000002662ac008  0x00000024  __TEXT,__text  sub  sub_2662ac008
0x00000002662ac02c  0x00000024  __TEXT,__text  sub  sub_2662ac02c
0x00000002662ac050  0x00000008  __TEXT,__text  sub  sub_2662ac050
0x00000002662ac058  0x00000004  __TEXT,__text  sub  sub_2662ac058
0x00000002662ac05c  0x00000030  __TEXT,__text  sub  sub_2662ac05c
0x00000002662ac08c  0x00000048  __TEXT,__text  sub  sub_2662ac08c
0x00000002662ac0d4  0x00000004  __TEXT,__text  sub  sub_2662ac0d4
0x00000002662ac0d8  0x00000048  __TEXT,__text  sub  sub_2662ac0d8
0x00000002662ac120  0x00000004  __TEXT,__text  sub  sub_2662ac120
0x00000002662ac124  0x0000000c  __TEXT,__text  sub  sub_2662ac124
0x00000002662ac130  0x00000014  __TEXT,__text  sub  sub_2662ac130
0x00000002662ac144  0x00000014  __TEXT,__text  sub  sub_2662ac144
0x00000002662ac158  0x00000020  __TEXT,__text  sub  sub_2662ac158
0x00000002662ac178  0x0000001c  __TEXT,__text  sub  sub_2662ac178
0x00000002662ac194  0x00000028  __TEXT,__text  sub  sub_2662ac194
0x00000002662ac1bc  0x00000030  __TEXT,__text  sub  sub_2662ac1bc
0x00000002662ac1ec  0x00000004  __TEXT,__text  sub  sub_2662ac1ec
0x00000002662ac1f0  0x00000094  __TEXT,__text  sub  sub_2662ac1f0
0x00000002662ac284  0x00000080  __TEXT,__text  sub  sub_2662ac284
0x00000002662ac304  0x00000014  __TEXT,__text  sub  sub_2662ac304
0x00000002662ac318  0x00000014  __TEXT,__text  sub  sub_2662ac318
0x00000002662ac32c  0x00000004  __TEXT,__text  sub  sub_2662ac32c
0x00000002662ac330  0x00000004  __TEXT,__text  sub  sub_2662ac330
0x00000002662ac334  0x00000014  __TEXT,__text  sub  sub_2662ac334
0x00000002662ac348  0x00000014  __TEXT,__text  sub  sub_2662ac348
0x00000002662ac35c  0x00000004  __TEXT,__text  sub  sub_2662ac35c
0x00000002662ac360  0x000000f0  __TEXT,__text  sub  sub_2662ac360
0x00000002662ac450  0x000000ec  __TEXT,__text  sub  sub_2662ac450
0x00000002662ac53c  0x0000002c  __TEXT,__text  sub  sub_2662ac53c
0x00000002662ac568  0x00000004  __TEXT,__text  sub  sub_2662ac568
0x00000002662ac56c  0x0000002c  __TEXT,__text  sub  sub_2662ac56c
0x00000002662ac598  0x00000004  __TEXT,__text  sub  sub_2662ac598
0x00000002662ac59c  0x00000024  __TEXT,__text  sub  sub_2662ac59c
0x00000002662ac5c0  0x00000004  __TEXT,__text  sub  sub_2662ac5c0
0x00000002662ac5c4  0x00000004  __TEXT,__text  sub  sub_2662ac5c4
0x00000002662ac5c8  0x00000030  __TEXT,__text  sub  sub_2662ac5c8
0x00000002662ac5f8  0x00000038  __TEXT,__text  sub  sub_2662ac5f8
0x00000002662ac630  0x00000004  __TEXT,__text  sub  sub_2662ac630
0x00000002662ac634  0x00000004  __TEXT,__text  sub  sub_2662ac634
0x00000002662ac638  0x0000001c  __TEXT,__text  sub  sub_2662ac638
0x00000002662ac654  0x00000028  __TEXT,__text  sub  sub_2662ac654
0x00000002662ac67c  0x00000018  __TEXT,__text  sub  sub_2662ac67c
0x00000002662ac694  0x00000020  __TEXT,__text  sub  sub_2662ac694
0x00000002662ac6b4  0x00000004  __TEXT,__text  sub  sub_2662ac6b4
0x00000002662ac6b8  0x00000088  __TEXT,__text  sub  sub_2662ac6b8
0x00000002662ac740  0x00000080  __TEXT,__text  sub  sub_2662ac740
0x00000002662ac7c0  0x00000004  __TEXT,__text  sub  sub_2662ac7c0
0x00000002662ac7c4  0x00000004  __TEXT,__text  sub  sub_2662ac7c4
0x00000002662ac7c8  0x00000014  __TEXT,__text  sub  sub_2662ac7c8
0x00000002662ac7dc  0x00000014  __TEXT,__text  sub  sub_2662ac7dc
0x00000002662ac7f0  0x00000014  __TEXT,__text  sub  sub_2662ac7f0
0x00000002662ac804  0x00000014  __TEXT,__text  sub  sub_2662ac804
0x00000002662ac818  0x00000014  __TEXT,__text  sub  sub_2662ac818
0x00000002662ac82c  0x00000014  __TEXT,__text  sub  sub_2662ac82c
0x00000002662ac840  0x00000004  __TEXT,__text  sub  sub_2662ac840
0x00000002662ac844  0x00000014  __TEXT,__text  sub  sub_2662ac844
0x00000002662ac858  0x00000014  __TEXT,__text  sub  sub_2662ac858
0x00000002662ac86c  0x00000014  __TEXT,__text  sub  sub_2662ac86c
0x00000002662ac880  0x00000014  __TEXT,__text  sub  sub_2662ac880
0x00000002662ac894  0x00000004  __TEXT,__text  sub  sub_2662ac894
0x00000002662ac898  0x00000004  __TEXT,__text  sub  sub_2662ac898
0x00000002662ac89c  0x00000014  __TEXT,__text  sub  sub_2662ac89c
0x00000002662ac8b0  0x00000014  __TEXT,__text  sub  sub_2662ac8b0
0x00000002662ac8c4  0x00000014  __TEXT,__text  sub  sub_2662ac8c4
0x00000002662ac8d8  0x00000014  __TEXT,__text  sub  sub_2662ac8d8
0x00000002662ac8ec  0x00000014  __TEXT,__text  sub  sub_2662ac8ec
0x00000002662ac900  0x00000014  __TEXT,__text  sub  sub_2662ac900
0x00000002662ac914  0x00000014  __TEXT,__text  sub  sub_2662ac914
0x00000002662ac928  0x00000014  __TEXT,__text  sub  sub_2662ac928
0x00000002662ac93c  0x00000014  __TEXT,__text  sub  sub_2662ac93c
0x00000002662ac950  0x00000014  __TEXT,__text  sub  sub_2662ac950
0x00000002662ac964  0x00000020  __TEXT,__text  sub  sub_2662ac964
0x00000002662ac984  0x0000000c  __TEXT,__text  sub  sub_2662ac984
0x00000002662ac990  0x00000030  __TEXT,__text  sub  sub_2662ac990
0x00000002662ac9c0  0x0000003c  __TEXT,__text  sub  sub_2662ac9c0
0x00000002662ac9fc  0x00000004  __TEXT,__text  sub  sub_2662ac9fc
0x00000002662aca00  0x00000004  __TEXT,__text  sub  sub_2662aca00
0x00000002662aca04  0x00000008  __TEXT,__text  sub  sub_2662aca04
0x00000002662aca0c  0x00000004  __TEXT,__text  sub  sub_2662aca0c
0x00000002662aca10  0x00000004  __TEXT,__text  sub  sub_2662aca10
0x00000002662aca14  0x00000014  __TEXT,__text  sub  sub_2662aca14
0x00000002662aca28  0x00000014  __TEXT,__text  sub  sub_2662aca28
0x00000002662aca3c  0x00000054  __TEXT,__text  sub  sub_2662aca3c
0x00000002662aca90  0x00000008  __TEXT,__text  sub  sub_2662aca90
0x00000002662aca98  0x00000028  __TEXT,__text  sub  sub_2662aca98
0x00000002662acac0  0x00000024  __TEXT,__text  sub  sub_2662acac0
0x00000002662acae4  0x00000024  __TEXT,__text  sub  sub_2662acae4
0x00000002662acb08  0x00000024  __TEXT,__text  sub  sub_2662acb08
0x00000002662acb2c  0x00000024  __TEXT,__text  sub  sub_2662acb2c
0x00000002662acb50  0x00000010  __TEXT,__text  sub  sub_2662acb50
0x00000002662acb60  0x00000004  __TEXT,__text  sub  sub_2662acb60
0x00000002662acb64  0x00000024  __TEXT,__text  sub  sub_2662acb64
0x00000002662acb88  0x00000004  __TEXT,__text  sub  sub_2662acb88
0x00000002662acb8c  0x00000088  __TEXT,__text  sub  sub_2662acb8c
0x00000002662acc14  0x00000080  __TEXT,__text  sub  sub_2662acc14
0x00000002662acc94  0x00000004  __TEXT,__text  sub  sub_2662acc94
0x00000002662acc98  0x00000004  __TEXT,__text  sub  sub_2662acc98
0x00000002662acc9c  0x00000004  __TEXT,__text  sub  sub_2662acc9c
0x00000002662acca0  0x00000004  __TEXT,__text  sub  sub_2662acca0
0x00000002662acca4  0x00000014  __TEXT,__text  sub  sub_2662acca4
0x00000002662accb8  0x00000014  __TEXT,__text  sub  sub_2662accb8
0x00000002662acccc  0x00000004  __TEXT,__text  sub  sub_2662acccc
0x00000002662accd0  0x00000004  __TEXT,__text  sub  sub_2662accd0
0x00000002662accd4  0x00000014  __TEXT,__text  sub  sub_2662accd4
0x00000002662acce8  0x00000014  __TEXT,__text  sub  sub_2662acce8
0x00000002662accfc  0x00000014  __TEXT,__text  sub  sub_2662accfc
0x00000002662acd10  0x00000014  __TEXT,__text  sub  sub_2662acd10
0x00000002662acd24  0x00000004  __TEXT,__text  sub  sub_2662acd24
0x00000002662acd28  0x00000004  __TEXT,__text  sub  sub_2662acd28
0x00000002662acd2c  0x00000014  __TEXT,__text  sub  sub_2662acd2c
0x00000002662acd40  0x00000014  __TEXT,__text  sub  sub_2662acd40
0x00000002662acd54  0x00000014  __TEXT,__text  sub  sub_2662acd54
0x00000002662acd68  0x00000014  __TEXT,__text  sub  sub_2662acd68
0x00000002662acd7c  0x00000058  __TEXT,__text  sub  sub_2662acd7c
0x00000002662acdd4  0x00000008  __TEXT,__text  sub  sub_2662acdd4
0x00000002662acddc  0x00000028  __TEXT,__text  sub  sub_2662acddc
0x00000002662ace04  0x0000000c  __TEXT,__text  sub  sub_2662ace04
0x00000002662ace10  0x0000000c  __TEXT,__text  sub  sub_2662ace10
0x00000002662ace1c  0x00000034  __TEXT,__text  sub  sub_2662ace1c
0x00000002662ace50  0x00000088  __TEXT,__text  sub  sub_2662ace50
0x00000002662aced8  0x00000080  __TEXT,__text  sub  sub_2662aced8
0x00000002662acf58  0x00000014  __TEXT,__text  sub  sub_2662acf58
0x00000002662acf6c  0x00000014  __TEXT,__text  sub  sub_2662acf6c
0x00000002662acf80  0x00000014  __TEXT,__text  sub  sub_2662acf80
0x00000002662acf94  0x00000014  __TEXT,__text  sub  sub_2662acf94
0x00000002662acfa8  0x00000004  __TEXT,__text  sub  sub_2662acfa8
0x00000002662acfac  0x00000014  __TEXT,__text  sub  sub_2662acfac
0x00000002662acfc0  0x00000014  __TEXT,__text  sub  sub_2662acfc0
0x00000002662acfd4  0x000000b8  __TEXT,__text  sub  sub_2662acfd4
0x00000002662ad08c  0x000000ac  __TEXT,__text  sub  sub_2662ad08c
0x00000002662ad138  0x00000014  __TEXT,__text  sub  sub_2662ad138
0x00000002662ad14c  0x00000014  __TEXT,__text  sub  sub_2662ad14c
0x00000002662ad160  0x00000018  __TEXT,__text  sub  sub_2662ad160
0x00000002662ad178  0x00000004  __TEXT,__text  sub  sub_2662ad178
0x00000002662ad17c  0x00000028  __TEXT,__text  sub  sub_2662ad17c
0x00000002662ad1a4  0x00000010  __TEXT,__text  sub  sub_2662ad1a4
0x00000002662ad1b4  0x00000014  __TEXT,__text  sub  sub_2662ad1b4
0x00000002662ad1c8  0x00000014  __TEXT,__text  sub  sub_2662ad1c8
0x00000002662ad1dc  0x00000014  __TEXT,__text  sub  sub_2662ad1dc
0x00000002662ad1f0  0x00000014  __TEXT,__text  sub  sub_2662ad1f0
0x00000002662ad204  0x00000004  __TEXT,__text  sub  sub_2662ad204
0x00000002662ad208  0x00000014  __TEXT,__text  sub  sub_2662ad208
0x00000002662ad21c  0x00000014  __TEXT,__text  sub  sub_2662ad21c
0x00000002662ad230  0x00000004  __TEXT,__text  sub  sub_2662ad230
0x00000002662ad234  0x00000014  __TEXT,__text  sub  sub_2662ad234
0x00000002662ad248  0x00000014  __TEXT,__text  sub  sub_2662ad248
0x00000002662ad25c  0x00000020  __TEXT,__text  sub  sub_2662ad25c
0x00000002662ad27c  0x000000d0  __TEXT,__text  sub  sub_2662ad27c
0x00000002662ad34c  0x000000cc  __TEXT,__text  sub  sub_2662ad34c
0x00000002662ad418  0x00000014  __TEXT,__text  sub  sub_2662ad418
0x00000002662ad42c  0x00000014  __TEXT,__text  sub  sub_2662ad42c
0x00000002662ad440  0x00000014  __TEXT,__text  sub  sub_2662ad440
0x00000002662ad454  0x00000014  __TEXT,__text  sub  sub_2662ad454
0x00000002662ad468  0x00000014  __TEXT,__text  sub  sub_2662ad468
0x00000002662ad47c  0x00000014  __TEXT,__text  sub  sub_2662ad47c
0x00000002662ad490  0x0000001c  __TEXT,__text  sub  sub_2662ad490
0x00000002662ad4ac  0x00000020  __TEXT,__text  sub  sub_2662ad4ac
0x00000002662ad4cc  0x00000008  __TEXT,__text  sub  sub_2662ad4cc
0x00000002662ad4d4  0x00000028  __TEXT,__text  sub  sub_2662ad4d4
0x00000002662ad4fc  0x00000020  __TEXT,__text  sub  sub_2662ad4fc
0x00000002662ad51c  0x00000020  __TEXT,__text  sub  sub_2662ad51c
0x00000002662ad53c  0x00000020  __TEXT,__text  sub  sub_2662ad53c
0x00000002662ad55c  0x00000024  __TEXT,__text  sub  sub_2662ad55c
0x00000002662ad580  0x00000004  __TEXT,__text  sub  sub_2662ad580
