//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriAppLaunchUIFramework.framework/Versions/A/SiriAppLaunchUIFramework
// arch:    arm64e
// uuid:    060E31CC-9E79-3850-8942-F205F1EF330E
// text:    0x0000000268498000
// count:   522 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000268499c68  0x00000060  __TEXT,__text  sub  sub_268499c68
0x0000000268499cc8  0x00000088  __TEXT,__text  sub  sub_268499cc8
0x0000000268499d50  0x00000004  __TEXT,__text  sub  sub_268499d50
0x0000000268499d54  0x00000064  __TEXT,__text  func  __swift_allocate_value_buffer
0x0000000268499db8  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x0000000268499df0  0x00000044  __TEXT,__text  sub  sub_268499df0
0x0000000268499e34  0x00000008  __TEXT,__text  sub  sub_268499e34
0x0000000268499e3c  0x00000004  __TEXT,__text  sub  sub_268499e3c
0x0000000268499e40  0x00000004  __TEXT,__text  sub  sub_268499e40
0x0000000268499e44  0x00000078  __TEXT,__text  sub  sub_268499e44
0x0000000268499ebc  0x00000004  __TEXT,__text  sub  sub_268499ebc
0x0000000268499ec0  0x00000080  __TEXT,__text  sub  sub_268499ec0
0x0000000268499f40  0x00000028  __TEXT,__text  sub  sub_268499f40
0x0000000268499f68  0x00000038  __TEXT,__text  sub  sub_268499f68
0x0000000268499fa0  0x0000000c  __TEXT,__text  sub  sub_268499fa0
0x0000000268499fac  0x00000048  __TEXT,__text  sub  sub_268499fac
0x0000000268499ff4  0x0000002c  __TEXT,__text  sub  sub_268499ff4
0x000000026849a020  0x0000000c  __TEXT,__text  func  __swift_memcpy16_8
0x000000026849a02c  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x000000026849a030  0x00000020  __TEXT,__text  sub  sub_26849a030
0x000000026849a050  0x00000028  __TEXT,__text  sub  sub_26849a050
0x000000026849a078  0x00000014  __TEXT,__text  sub  sub_26849a078
0x000000026849a08c  0x00000014  __TEXT,__text  sub  sub_26849a08c
