//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriGlobalConfiguration.framework/Versions/A/SiriGlobalConfiguration
// arch:    arm64e
// uuid:    195EE00E-B97B-3360-992E-126A2E6590D2
// text:    0x00000002690fd000
// count:   188 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002690fe1a8  0x0000001c  __TEXT,__text  sub  sub_2690fe1a8
0x00000002690fe1c4  0x00000010  __TEXT,__text  sub  sub_2690fe1c4
0x00000002690fe1d4  0x00000004  __TEXT,__text  sub  sub_2690fe1d4
0x00000002690fe1d8  0x00000070  __TEXT,__text  sub  sub_2690fe1d8
0x00000002690fe248  0x0000006c  __TEXT,__text  sub  sub_2690fe248
0x00000002690fe2b4  0x0000004c  __TEXT,__text  sub  sub_2690fe2b4
0x00000002690fe300  0x00000080  __TEXT,__text  sub  sub_2690fe300
0x00000002690fe380  0x00000018  __TEXT,__text  sub  sub_2690fe380
0x00000002690fe398  0x0000006c  __TEXT,__text  sub  sub_2690fe398
0x00000002690fe404  0x0000001c  __TEXT,__text  sub  sub_2690fe404
0x00000002690fe420  0x000000f8  __TEXT,__text  sub  sub_2690fe420
0x00000002690fe518  0x00000030  __TEXT,__text  sub  sub_2690fe518
0x00000002690fe548  0x00000014  __TEXT,__text  sub  sub_2690fe548
0x00000002690fe55c  0x00000014  __TEXT,__text  sub  sub_2690fe55c
0x00000002690fe570  0x00000050  __TEXT,__text  sub  sub_2690fe570
0x00000002690fe5c0  0x00000054  __TEXT,__text  sub  sub_2690fe5c0
0x00000002690fe614  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_1
0x00000002690fe658  0x00000008  __TEXT,__text  sub  sub_2690fe658
0x00000002690fe660  0x00000028  __TEXT,__text  sub  sub_2690fe660
0x00000002690fe688  0x00000044  __TEXT,__text  sub  sub_2690fe688
0x00000002690fe6cc  0x00000040  __TEXT,__text  sub  sub_2690fe6cc
0x00000002690fe70c  0x00000004  __TEXT,__text  sub  sub_2690fe70c
0x00000002690fe710  0x00000054  __TEXT,__text  sub  sub_2690fe710
0x00000002690fe764  0x00000004  __TEXT,__text  func  __swift_memcpy0_1
0x00000002690fe768  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x00000002690fe76c  0x00000050  __TEXT,__text  sub  sub_2690fe76c
0x00000002690fe7bc  0x0000007c  __TEXT,__text  sub  sub_2690fe7bc
0x00000002690fe838  0x00000008  __TEXT,__text  sub  sub_2690fe838
0x00000002690fe840  0x00000010  __TEXT,__text  sub  sub_2690fe840
0x00000002690fe850  0x0000000c  __TEXT,__text  sub  sub_2690fe850
0x00000002690fe85c  0x00000018  __TEXT,__text  sub  sub_2690fe85c
0x00000002690fe874  0x0000000c  __TEXT,__text  sub  sub_2690fe874
0x00000002690fe880  0x0000000c  __TEXT,__text  sub  sub_2690fe880
0x00000002690fe88c  0x00000004  __TEXT,__text  sub  sub_2690fe88c
0x00000002690fe890  0x00000008  __TEXT,__text  sub  sub_2690fe890
0x00000002690fe898  0x00000010  __TEXT,__text  sub  sub_2690fe898
0x00000002690fe8a8  0x00000010  __TEXT,__text  sub  sub_2690fe8a8
0x00000002690fe8b8  0x00001508  __TEXT,__text  sub  sub_2690fe8b8
0x00000002690ffdc0  0x00000024  __TEXT,__text  sub  sub_2690ffdc0
0x00000002690ffde4  0x00000058  __TEXT,__text  sub  sub_2690ffde4
0x00000002690ffe3c  0x0000000c  __TEXT,__text  sub  sub_2690ffe3c
0x00000002690ffe48  0x0000001c  __TEXT,__text  sub  sub_2690ffe48
0x00000002690ffe64  0x00000018  __TEXT,__text  sub  sub_2690ffe64
0x00000002690ffe7c  0x00000024  __TEXT,__text  sub  sub_2690ffe7c
0x00000002690ffea0  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x00000002690ffed8  0x00000024  __TEXT,__text  sub  sub_2690ffed8
0x00000002690ffefc  0x00000018  __TEXT,__text  sub  sub_2690ffefc
0x00000002690fff14  0x00000074  __TEXT,__text  sub  sub_2690fff14
0x00000002690fff88  0x00000024  __TEXT,__text  sub  sub_2690fff88
0x00000002690fffac  0x00000054  __TEXT,__text  sub  sub_2690fffac
0x0000000269100000  0x00000024  __TEXT,__text  sub  sub_269100000
0x0000000269100024  0x00000090  __TEXT,__text  sub  sub_269100024
0x00000002691000b4  0x00000010  __TEXT,__text  sub  sub_2691000b4
0x00000002691000c4  0x00000064  __TEXT,__text  func  __swift_allocate_value_buffer
0x0000000269100128  0x00000008  __TEXT,__text  sub  sub_269100128
0x0000000269100130  0x0000000c  __TEXT,__text  sub  sub_269100130
0x000000026910013c  0x00000028  __TEXT,__text  sub  sub_26910013c
0x0000000269100164  0x00000044  __TEXT,__text  sub  sub_269100164
0x00000002691001a8  0x00000010  __TEXT,__text  sub  sub_2691001a8
0x00000002691001b8  0x00000024  __TEXT,__text  sub  sub_2691001b8
0x00000002691001dc  0x00000050  __TEXT,__text  sub  sub_2691001dc
0x000000026910022c  0x00000050  __TEXT,__text  sub  sub_26910022c
0x000000026910027c  0x000000c8  __TEXT,__text  sub  sub_26910027c
0x0000000269100344  0x00000154  __TEXT,__text  sub  sub_269100344
0x0000000269100498  0x00000004  __TEXT,__text  sub  sub_269100498
0x000000026910049c  0x00000054  __TEXT,__text  sub  sub_26910049c
0x00000002691004f0  0x00000004  __TEXT,__text  sub  sub_2691004f0
0x00000002691004f4  0x00000064  __TEXT,__text  sub  sub_2691004f4
0x0000000269100558  0x0000005c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameAbstractV2
0x00000002691005b4  0x00000010  __TEXT,__text  sub  sub_2691005b4
0x00000002691005c4  0x00000014  __TEXT,__text  sub  sub_2691005c4
0x00000002691005d8  0x00000014  __TEXT,__text  sub  sub_2691005d8
0x00000002691005ec  0x00000014  __TEXT,__text  sub  sub_2691005ec
0x0000000269100600  0x00000018  __TEXT,__text  sub  sub_269100600
0x0000000269100618  0x00000024  __TEXT,__text  sub  sub_269100618
0x000000026910063c  0x00000018  __TEXT,__text  sub  sub_26910063c
0x0000000269100654  0x00000024  __TEXT,__text  sub  sub_269100654
0x0000000269100678  0x00000018  __TEXT,__text  sub  sub_269100678
0x0000000269100690  0x00000024  __TEXT,__text  sub  sub_269100690
0x00000002691006b4  0x00000018  __TEXT,__text  sub  sub_2691006b4
0x00000002691006cc  0x00000024  __TEXT,__text  sub  sub_2691006cc
0x00000002691006f0  0x00000018  __TEXT,__text  sub  sub_2691006f0
0x0000000269100708  0x00000024  __TEXT,__text  sub  sub_269100708
0x000000026910072c  0x00000018  __TEXT,__text  sub  sub_26910072c
0x0000000269100744  0x00000024  __TEXT,__text  sub  sub_269100744
0x0000000269100768  0x00000018  __TEXT,__text  sub  sub_269100768
0x0000000269100780  0x00000024  __TEXT,__text  sub  sub_269100780
0x00000002691007a4  0x00000018  __TEXT,__text  sub  sub_2691007a4
0x00000002691007bc  0x00000024  __TEXT,__text  sub  sub_2691007bc
0x00000002691007e0  0x00000018  __TEXT,__text  sub  sub_2691007e0
0x00000002691007f8  0x00000024  __TEXT,__text  sub  sub_2691007f8
0x000000026910081c  0x00000018  __TEXT,__text  sub  sub_26910081c
0x0000000269100834  0x00000024  __TEXT,__text  sub  sub_269100834
0x0000000269100858  0x00000018  __TEXT,__text  sub  sub_269100858
