//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriInferenceIntents.framework/Versions/A/SiriInferenceIntents
// arch:    arm64e
// uuid:    9E7A80F6-C83A-369F-BD8D-77DF386C2267
// text:    0x00000002691d8000
// count:   467 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002691d9290  0x00000004  __TEXT,__text  sub  sub_2691d9290
0x00000002691d9294  0x00000004  __TEXT,__text  sub  sub_2691d9294
0x00000002691d9298  0x00000058  __TEXT,__text  sub  sub_2691d9298
0x00000002691d92f0  0x00000054  __TEXT,__text  sub  sub_2691d92f0
0x00000002691d9344  0x00000034  __TEXT,__text  sub  sub_2691d9344
0x00000002691d9378  0x0000000c  __TEXT,__text  sub  sub_2691d9378
0x00000002691d9384  0x00000058  __TEXT,__text  sub  sub_2691d9384
0x00000002691d93dc  0x00000054  __TEXT,__text  sub  sub_2691d93dc
0x00000002691d9430  0x00000004  __TEXT,__text  sub  sub_2691d9430
0x00000002691d9434  0x00000004  __TEXT,__text  sub  sub_2691d9434
0x00000002691d9438  0x00000004  __TEXT,__text  sub  sub_2691d9438
0x00000002691d943c  0x00000004  __TEXT,__text  sub  sub_2691d943c
0x00000002691d9440  0x00000004  __TEXT,__text  sub  sub_2691d9440
0x00000002691d9444  0x00000004  __TEXT,__text  sub  sub_2691d9444
0x00000002691d9448  0x00000004  __TEXT,__text  sub  sub_2691d9448
0x00000002691d944c  0x00000004  __TEXT,__text  sub  sub_2691d944c
0x00000002691d9450  0x00000004  __TEXT,__text  sub  sub_2691d9450
0x00000002691d9454  0x00000004  __TEXT,__text  sub  sub_2691d9454
0x00000002691d9458  0x00000004  __TEXT,__text  sub  sub_2691d9458
0x00000002691d945c  0x00000004  __TEXT,__text  sub  sub_2691d945c
0x00000002691d9460  0x00000004  __TEXT,__text  sub  sub_2691d9460
0x00000002691d9464  0x00000004  __TEXT,__text  sub  sub_2691d9464
0x00000002691d9468  0x00000058  __TEXT,__text  sub  sub_2691d9468
0x00000002691d94c0  0x00000054  __TEXT,__text  sub  sub_2691d94c0
0x00000002691d9514  0x00000004  __TEXT,__text  sub  sub_2691d9514
0x00000002691d9518  0x00000004  __TEXT,__text  sub  sub_2691d9518
0x00000002691d951c  0x00000004  __TEXT,__text  sub  sub_2691d951c
0x00000002691d9520  0x00000004  __TEXT,__text  sub  sub_2691d9520
