//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriInformationTypes.framework/Versions/A/SiriInformationTypes
// arch:    arm64e
// uuid:    46D91A3D-975F-3561-B88C-23227AA4DA76
// text:    0x000000026947c000
// count:   2633 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026947dd28  0x0000005c  __TEXT,__text  sub  sub_26947dd28
0x000000026947dd84  0x00000004  __TEXT,__text  sub  sub_26947dd84
0x000000026947dd88  0x00000060  __TEXT,__text  sub  sub_26947dd88
0x000000026947dde8  0x00000058  __TEXT,__text  sub  sub_26947dde8
0x000000026947de40  0x00000060  __TEXT,__text  sub  sub_26947de40
0x000000026947dea0  0x00000054  __TEXT,__text  sub  sub_26947dea0
0x000000026947def4  0x0000005c  __TEXT,__text  sub  sub_26947def4
0x000000026947df50  0x0000006c  __TEXT,__text  sub  sub_26947df50
0x000000026947dfbc  0x000001b4  __TEXT,__text  sub  sub_26947dfbc
0x000000026947e170  0x000001a4  __TEXT,__text  sub  sub_26947e170
0x000000026947e314  0x000000b4  __TEXT,__text  sub  sub_26947e314
0x000000026947e3c8  0x000000a8  __TEXT,__text  sub  sub_26947e3c8
0x000000026947e470  0x00000028  __TEXT,__text  sub  sub_26947e470
0x000000026947e498  0x00000028  __TEXT,__text  sub  sub_26947e498
0x000000026947e4c0  0x00000028  __TEXT,__text  sub  sub_26947e4c0
0x000000026947e4e8  0x00000028  __TEXT,__text  sub  sub_26947e4e8
0x000000026947e510  0x00000028  __TEXT,__text  sub  sub_26947e510
0x000000026947e538  0x00000004  __TEXT,__text  sub  sub_26947e538
0x000000026947e53c  0x0000002c  __TEXT,__text  swift  $s20SiriInformationTypes15WarmupComponentOSHAASH4hash4intoys6HasherVz_tFTW  // protocol witness for Swift.Hashable.hash(into: inout Swift.Hasher) -> () in conformance SiriInformationTypes.WarmupComponent : Swift.Hashable in SiriInformationTypes
0x000000026947e568  0x00000004  __TEXT,__text  sub  sub_26947e568
0x000000026947e56c  0x00000004  __TEXT,__text  sub  sub_26947e56c
0x000000026947e570  0x00000028  __TEXT,__text  swift  $s21SiriInformationSearch13PommesContextV6SourceO25PegasusResponseCodingKeys33_362761E44F4A82E600A827D16A10D6B3LLOSHAASH4hash4intoys6HasherVz_tFTW  // protocol witness for Swift.Hashable.hash(into: inout Swift.Hasher) -> () in conformance SiriInformationSearch.PommesContext.Source.(PegasusResponseCodingKeys in _362761E44F4A82E600A827D16A10D6B3) : Swift.Hashable in SiriInformationSearch
0x000000026947e598  0x00000004  __TEXT,__text  sub  sub_26947e598
0x000000026947e59c  0x0000000c  __TEXT,__text  sub  sub_26947e59c
0x000000026947e5a8  0x0000004c  __TEXT,__text  sub  sub_26947e5a8
0x000000026947e5f4  0x00000048  __TEXT,__text  sub  sub_26947e5f4
0x000000026947e63c  0x0000005c  __TEXT,__text  sub  sub_26947e63c
0x000000026947e698  0x00000004  __TEXT,__text  sub  sub_26947e698
0x000000026947e69c  0x0000005c  __TEXT,__text  sub  sub_26947e69c
0x000000026947e6f8  0x0000006c  __TEXT,__text  sub  sub_26947e6f8
0x000000026947e764  0x0000005c  __TEXT,__text  sub  sub_26947e764
0x000000026947e7c0  0x0000006c  __TEXT,__text  sub  sub_26947e7c0
0x000000026947e82c  0x0000005c  __TEXT,__text  sub  sub_26947e82c
0x000000026947e888  0x0000006c  __TEXT,__text  sub  sub_26947e888
0x000000026947e8f4  0x0000005c  __TEXT,__text  sub  sub_26947e8f4
0x000000026947e950  0x00000084  __TEXT,__text  sub  sub_26947e950
0x000000026947e9d4  0x0000005c  __TEXT,__text  sub  sub_26947e9d4
0x000000026947ea30  0x0000006c  __TEXT,__text  sub  sub_26947ea30
0x000000026947ea9c  0x0000005c  __TEXT,__text  sub  sub_26947ea9c
0x000000026947eaf8  0x00000084  __TEXT,__text  sub  sub_26947eaf8
0x000000026947eb7c  0x0000005c  __TEXT,__text  sub  sub_26947eb7c
0x000000026947ebd8  0x0000006c  __TEXT,__text  sub  sub_26947ebd8
