//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriIntentEvents.framework/Versions/A/SiriIntentEvents
// arch:    arm64e
// uuid:    88D5AFCF-675A-3673-8022-519F6868E631
// text:    0x00000001b31ed000
// count:   996 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001b31ee818  0x00000008  __TEXT,__text  sub  sub_1b31ee818
0x00000001b31ee820  0x00000028  __TEXT,__text  sub  sub_1b31ee820
0x00000001b31ee848  0x00000044  __TEXT,__text  sub  sub_1b31ee848
0x00000001b31ee88c  0x00000008  __TEXT,__text  sub  sub_1b31ee88c
0x00000001b31ee894  0x00000018  __TEXT,__text  sub  sub_1b31ee894
0x00000001b31ee8ac  0x00000018  __TEXT,__text  sub  sub_1b31ee8ac
0x00000001b31ee8c4  0x00000040  __TEXT,__text  sub  sub_1b31ee8c4
0x00000001b31ee904  0x00000004  __TEXT,__text  sub  sub_1b31ee904
0x00000001b31ee908  0x00000004  __TEXT,__text  sub  sub_1b31ee908
0x00000001b31ee90c  0x00000004  __TEXT,__text  sub  sub_1b31ee90c
0x00000001b31ee910  0x00000004  __TEXT,__text  sub  sub_1b31ee910
0x00000001b31ee914  0x00000040  __TEXT,__text  sub  sub_1b31ee914
0x00000001b31ee954  0x0000001c  __TEXT,__text  objc  +[SiriIntentEvents.AppSelectionSignal ?]
0x00000001b31ee970  0x00000048  __TEXT,__text  sub  sub_1b31ee970
0x00000001b31ee9b8  0x0000001c  __TEXT,__text  objc  +[SiriIntentEvents.AppSelectionSignal ?]
0x00000001b31ee9d4  0x00000058  __TEXT,__text  sub  sub_1b31ee9d4
0x00000001b31eea2c  0x00000004  __TEXT,__text  sub  sub_1b31eea2c
0x00000001b31eea30  0x0000004c  __TEXT,__text  sub  sub_1b31eea30
0x00000001b31eea7c  0x00000048  __TEXT,__text  sub  sub_1b31eea7c
0x00000001b31eeac4  0x00000038  __TEXT,__text  sub  sub_1b31eeac4
0x00000001b31eeafc  0x00000010  __TEXT,__text  sub  sub_1b31eeafc
0x00000001b31eeb0c  0x0000001c  __TEXT,__text  sub  sub_1b31eeb0c
0x00000001b31eeb28  0x0000002c  __TEXT,__text  sub  sub_1b31eeb28
0x00000001b31eeb54  0x0000002c  __TEXT,__text  sub  sub_1b31eeb54
0x00000001b31eeb80  0x00000044  __TEXT,__text  sub  sub_1b31eeb80
0x00000001b31eebc4  0x0000004c  __TEXT,__text  sub  sub_1b31eebc4
0x00000001b31eec10  0x00000054  __TEXT,__text  sub  sub_1b31eec10
0x00000001b31eec64  0x0000008c  __TEXT,__text  sub  sub_1b31eec64
0x00000001b31eecf0  0x00000078  __TEXT,__text  sub  sub_1b31eecf0
0x00000001b31eed68  0x00000024  __TEXT,__text  sub  sub_1b31eed68
0x00000001b31eed8c  0x00000590  __TEXT,__text  sub  sub_1b31eed8c
0x00000001b31ef31c  0x00000080  __TEXT,__text  sub  sub_1b31ef31c
0x00000001b31ef39c  0x000004ac  __TEXT,__text  sub  sub_1b31ef39c
0x00000001b31ef848  0x00000280  __TEXT,__text  sub  sub_1b31ef848
0x00000001b31efac8  0x00000064  __TEXT,__text  objc  -[SiriIntentEvents.AppSelectionSignal ?]
0x00000001b31efb2c  0x00000030  __TEXT,__text  sub  sub_1b31efb2c
0x00000001b31efb5c  0x000003cc  __TEXT,__text  sub  sub_1b31efb5c
0x00000001b31eff28  0x0000002c  __TEXT,__text  objc  -[SiriIntentEvents.AppSelectionSignal tedOrChanged]
0x00000001b31eff54  0x0000002c  __TEXT,__text  sub  sub_1b31eff54
0x00000001b31eff80  0x00000010  __TEXT,__text  objc  -[SiriIntentEvents.AppSelectionSignal P]
0x00000001b31eff90  0x00000034  __TEXT,__text  sub  sub_1b31eff90
0x00000001b31effc4  0x00000064  __TEXT,__text  objc  -[SiriIntentEvents.AppSelectionSignal ?]
0x00000001b31f0028  0x0000004c  __TEXT,__text  sub  sub_1b31f0028
0x00000001b31f0074  0x00000040  __TEXT,__text  sub  sub_1b31f0074
0x00000001b31f00b4  0x00000038  __TEXT,__text  sub  sub_1b31f00b4
0x00000001b31f00ec  0x000002a8  __TEXT,__text  sub  sub_1b31f00ec
0x00000001b31f0394  0x00000230  __TEXT,__text  sub  sub_1b31f0394
0x00000001b31f05c4  0x0000029c  __TEXT,__text  sub  sub_1b31f05c4
0x00000001b31f0860  0x000002bc  __TEXT,__text  sub  sub_1b31f0860
0x00000001b31f0b1c  0x00000078  __TEXT,__text  sub  sub_1b31f0b1c
0x00000001b31f0b94  0x000000ac  __TEXT,__text  sub  sub_1b31f0b94
0x00000001b31f0c40  0x0000001c  __TEXT,__text  sub  sub_1b31f0c40
0x00000001b31f0c5c  0x00000020  __TEXT,__text  sub  sub_1b31f0c5c
0x00000001b31f0c7c  0x00000130  __TEXT,__text  sub  sub_1b31f0c7c
0x00000001b31f0dac  0x0000013c  __TEXT,__text  sub  sub_1b31f0dac
0x00000001b31f0ee8  0x00000048  __TEXT,__text  sub  sub_1b31f0ee8
0x00000001b31f0f30  0x00000044  __TEXT,__text  sub  sub_1b31f0f30
0x00000001b31f0f74  0x0000003c  __TEXT,__text  sub  sub_1b31f0f74
0x00000001b31f0fb0  0x0000013c  __TEXT,__text  sub  sub_1b31f0fb0
0x00000001b31f10ec  0x00000054  __TEXT,__text  sub  sub_1b31f10ec
0x00000001b31f1140  0x00000008  __TEXT,__text  sub  sub_1b31f1140
0x00000001b31f1148  0x00000010  __TEXT,__text  sub  sub_1b31f1148
0x00000001b31f1158  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_0Tm  // aliases: __swift_destroy_boxed_opaque_existential_1Tm, __swift_destroy_boxed_opaque_existential_1, __swift_destroy_boxed_opaque_existential_0
0x00000001b31f119c  0x0000004c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x00000001b31f11e8  0x00000054  __TEXT,__text  sub  sub_1b31f11e8
0x00000001b31f123c  0x00000040  __TEXT,__text  sub  sub_1b31f123c
0x00000001b31f127c  0x00000058  __TEXT,__text  sub  sub_1b31f127c
0x00000001b31f12d4  0x00000004  __TEXT,__text  sub  sub_1b31f12d4
0x00000001b31f12d8  0x00000054  __TEXT,__text  sub  sub_1b31f12d8
0x00000001b31f132c  0x00000018  __TEXT,__text  sub  sub_1b31f132c
0x00000001b31f1344  0x0000002c  __TEXT,__text  sub  sub_1b31f1344
