//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriLocalization.framework/Versions/A/SiriLocalization
// arch:    arm64e
// uuid:    BDCBCD2E-7D83-370B-9777-99350AF01DD9
// text:    0x000000026a7f0000
// count:   60 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026a7f0cc0  0x00000068  __TEXT,__text  func  +[SLPreferences allSupportedLocales]
0x000000026a7f0d28  0x00000090  __TEXT,__text  func  __36+[SLPreferences allSupportedLocales]_block_invoke
0x000000026a7f0db8  0x00000068  __TEXT,__text  func  +[SLPreferences builtInLocales]
0x000000026a7f0e20  0x000002f8  __TEXT,__text  func  __31+[SLPreferences builtInLocales]_block_invoke
0x000000026a7f1118  0x0000038c  __TEXT,__text  func  +[SLPreferences internalLocales]
0x000000026a7f14a4  0x00000064  __TEXT,__text  func  -[NSLocale(SWAI) isMontaraEnabled]
0x000000026a7f1508  0x00000088  __TEXT,__text  func  __34-[NSLocale(SWAI) isMontaraEnabled]_block_invoke
0x000000026a7f1590  0x00000028  __TEXT,__text  func  +[SLLoader initLogger]
0x000000026a7f15b8  0x00000048  __TEXT,__text  func  __22+[SLLoader initLogger]_block_invoke
0x000000026a7f1600  0x00000004  __TEXT,__text  func  +[SLLoader initialize]
0x000000026a7f1604  0x0000000c  __TEXT,__text  func  SLInitLogger
0x000000026a7f1610  0x00000220  __TEXT,__text  func  +[SLPreferences(Internal) builtIniOSLanguages]
0x000000026a7f1830  0x00000080  __TEXT,__text  func  +[SLPreferences(Internal) builtInVisionLanguages]
0x000000026a7f18b0  0x00000204  __TEXT,__text  func  +[SLPreferences(Internal) builtInHorsemanLanguages]
0x000000026a7f1ab4  0x00000204  __TEXT,__text  func  +[SLPreferences(Internal) builtInZeusLanguages]
0x000000026a7f1cb8  0x00000204  __TEXT,__text  func  +[SLPreferences(Internal) builtInMultiUserLanguages]
0x000000026a7f1ebc  0x00000014  __TEXT,__text  func  +[SLPreferences(Internal) backedUpPreferencesValueForKey:]
0x000000026a7f1ed0  0x00000030  __TEXT,__text  func  +[SLPreferences(Internal) valueForKeyWithContext:withDomain:]
0x000000026a7f1f00  0x000000f0  __TEXT,__text  func  +[SLPreferences(Internal) configValueForKey:]
0x000000026a7f1ff0  0x00000008  __TEXT,__text  func  +[SFPlatform(Device) isVision]
0x000000026a7f1ff8  0x00000008  __TEXT,__text  func  +[SFPlatform(Device) isAppleTV]
0x000000026a7f2000  0x00000048  __TEXT,__text  func  +[SFPlatform(Device) isHorseman]
0x000000026a7f2048  0x00000028  __TEXT,__text  func  __32+[SFPlatform(Device) isHorseman]_block_invoke
0x000000026a7f2070  0x00000110  __TEXT,__text  func  +[SFPlatform systemRootDirectory]
0x000000026a7f2180  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_NSLocale_$_SWAI
0x000000026a7f2198  0x00000038  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SFPlatform(Device)
0x000000026a7f21d0  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SLLoader
0x000000026a7f21f0  0x00000098  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SLPreferences(Internal)
0x000000026a7f2288  0x00000038  __TEXT,__const  func  SiriLocalizationVersionString
0x000000026a7f22c0  0x00000660  __TEXT,__const  func  SiriLocalizationVersionNumber
0x000000026a7f2920  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addObject:
0x000000026a7f2940  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$arrayWithObjects:count:
0x000000026a7f2960  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$backedUpPreferencesValueForKey:
0x000000026a7f2980  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$builtInHorsemanLanguages
0x000000026a7f29a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$builtInLocales
0x000000026a7f29c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$builtInVisionLanguages
0x000000026a7f29e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$builtInZeusLanguages
0x000000026a7f2a00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$builtIniOSLanguages
0x000000026a7f2a20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$configValueForKey:
0x000000026a7f2a40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$containsObject:
0x000000026a7f2a60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$count
0x000000026a7f2a80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$countByEnumeratingWithState:objects:count:
0x000000026a7f2aa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithContentsOfURL:
0x000000026a7f2ac0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$fileURLWithPath:
0x000000026a7f2ae0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initLogger
0x000000026a7f2b00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithLocaleIdentifier:
0x000000026a7f2b20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$internalLocales
0x000000026a7f2b40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isAppleTV
0x000000026a7f2b60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isHorseman
0x000000026a7f2b80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isVision
0x000000026a7f2ba0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$languageCode
0x000000026a7f2bc0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localeWithLocaleIdentifier:
0x000000026a7f2be0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$objectForKey:
0x000000026a7f2c00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$set
0x000000026a7f2c20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setByAddingObjectsFromSet:
0x000000026a7f2c40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setWithObjects:
0x000000026a7f2c60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setWithSet:
