//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriMailUI.framework/Versions/A/SiriMailUI
// arch:    arm64e
// uuid:    9815C527-284C-3965-8457-B8F78225B0DA
// text:    0x000000026acb7000
// count:   2464 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026acb9450  0x0000003c  __TEXT,__text  sub  sub_26acb9450
0x000000026acb948c  0x00000034  __TEXT,__text  sub  sub_26acb948c
0x000000026acb94c0  0x00000040  __TEXT,__text  sub  sub_26acb94c0
0x000000026acb9500  0x00000030  __TEXT,__text  sub  sub_26acb9500
0x000000026acb9530  0x0000000c  __TEXT,__text  sub  sub_26acb9530
0x000000026acb953c  0x000000a8  __TEXT,__text  sub  sub_26acb953c
0x000000026acb95e4  0x0000068c  __TEXT,__text  sub  sub_26acb95e4
0x000000026acb9c70  0x00000028  __TEXT,__text  sub  sub_26acb9c70
0x000000026acb9c98  0x00000034  __TEXT,__text  sub  sub_26acb9c98
0x000000026acb9ccc  0x00000008  __TEXT,__text  sub  sub_26acb9ccc
0x000000026acb9cd4  0x00000024  __TEXT,__text  sub  sub_26acb9cd4
0x000000026acb9cf8  0x000000b4  __TEXT,__text  sub  sub_26acb9cf8
0x000000026acb9dac  0x00000004  __TEXT,__text  sub  sub_26acb9dac
0x000000026acb9db0  0x00000074  __TEXT,__text  sub  sub_26acb9db0
0x000000026acb9e24  0x00000004  __TEXT,__text  sub  sub_26acb9e24
0x000000026acb9e28  0x00000004  __TEXT,__text  sub  sub_26acb9e28
0x000000026acb9e2c  0x00000060  __TEXT,__text  sub  sub_26acb9e2c
0x000000026acb9e8c  0x00000004  __TEXT,__text  sub  sub_26acb9e8c
0x000000026acb9e90  0x00000004  __TEXT,__text  sub  sub_26acb9e90
0x000000026acb9e94  0x0000000c  __TEXT,__text  sub  sub_26acb9e94
0x000000026acb9ea0  0x00000004  __TEXT,__text  sub  sub_26acb9ea0
0x000000026acb9ea4  0x00000004  __TEXT,__text  sub  sub_26acb9ea4
0x000000026acb9ea8  0x00000004  __TEXT,__text  sub  sub_26acb9ea8
0x000000026acb9eac  0x00000004  __TEXT,__text  sub  sub_26acb9eac
