//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/SiriNotebook.framework/Versions/A/SiriNotebook
// arch:    arm64e
// uuid:    6374C338-BF8B-35C1-B13D-E330A754016D
// text:    0x000000026bd6d000
// count:   28880 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026bd6fcc8  0x0000000c  __TEXT,__text  sub  sub_26bd6fcc8
0x000000026bd6fcd4  0x00000030  __TEXT,__text  sub  sub_26bd6fcd4
0x000000026bd6fd04  0x00000008  __TEXT,__text  sub  sub_26bd6fd04
0x000000026bd6fd0c  0x0000000c  __TEXT,__text  sub  sub_26bd6fd0c
0x000000026bd6fd18  0x00000034  __TEXT,__text  sub  sub_26bd6fd18
0x000000026bd6fd4c  0x00000008  __TEXT,__text  sub  sub_26bd6fd4c
0x000000026bd6fd54  0x000000d4  __TEXT,__text  sub  sub_26bd6fd54
0x000000026bd6fe28  0x000000d0  __TEXT,__text  sub  sub_26bd6fe28
0x000000026bd6fef8  0x00000004  __TEXT,__text  sub  sub_26bd6fef8
0x000000026bd6fefc  0x00000004  __TEXT,__text  sub  sub_26bd6fefc
0x000000026bd6ff00  0x00000014  __TEXT,__text  sub  sub_26bd6ff00
0x000000026bd6ff14  0x00000014  __TEXT,__text  sub  sub_26bd6ff14
0x000000026bd6ff28  0x0000000c  __TEXT,__text  sub  sub_26bd6ff28
0x000000026bd6ff34  0x000000ac  __TEXT,__text  sub  sub_26bd6ff34
0x000000026bd6ffe0  0x000000a8  __TEXT,__text  sub  sub_26bd6ffe0
0x000000026bd70088  0x00000014  __TEXT,__text  sub  sub_26bd70088
0x000000026bd7009c  0x00000014  __TEXT,__text  sub  sub_26bd7009c
0x000000026bd700b0  0x00000014  __TEXT,__text  sub  sub_26bd700b0
0x000000026bd700c4  0x00000004  __TEXT,__text  sub  sub_26bd700c4
0x000000026bd700c8  0x00000004  __TEXT,__text  sub  sub_26bd700c8
0x000000026bd700cc  0x00000004  __TEXT,__text  sub  sub_26bd700cc
0x000000026bd700d0  0x000000b0  __TEXT,__text  sub  sub_26bd700d0
0x000000026bd70180  0x000000ac  __TEXT,__text  sub  sub_26bd70180
0x000000026bd7022c  0x00000010  __TEXT,__text  sub  sub_26bd7022c
0x000000026bd7023c  0x0000000c  __TEXT,__text  sub  sub_26bd7023c
0x000000026bd70248  0x0000001c  __TEXT,__text  sub  sub_26bd70248
0x000000026bd70264  0x0000001c  __TEXT,__text  sub  sub_26bd70264
0x000000026bd70280  0x00000014  __TEXT,__text  sub  sub_26bd70280
