//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriReferenceResolution.framework/Versions/A/SiriReferenceResolution
// arch:    arm64e
// uuid:    8E20F5F8-6A88-3336-A465-4E672FCB3056
// text:    0x000000026ca56000
// count:   5526 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026ca58888  0x00000038  __TEXT,__text  sub  sub_26ca58888
0x000000026ca588c0  0x000000d4  __TEXT,__text  sub  sub_26ca588c0
0x000000026ca58994  0x00000040  __TEXT,__text  sub  sub_26ca58994
0x000000026ca589d4  0x00000018  __TEXT,__text  sub  sub_26ca589d4
0x000000026ca589ec  0x00000004  __TEXT,__text  sub  sub_26ca589ec
0x000000026ca589f0  0x00000038  __TEXT,__text  sub  sub_26ca589f0
0x000000026ca58a28  0x000000c8  __TEXT,__text  sub  sub_26ca58a28
0x000000026ca58af0  0x00000004  __TEXT,__text  sub  sub_26ca58af0
0x000000026ca58af4  0x00000048  __TEXT,__text  sub  sub_26ca58af4
0x000000026ca58b3c  0x00000004  __TEXT,__text  sub  sub_26ca58b3c
0x000000026ca58b40  0x0000002c  __TEXT,__text  sub  sub_26ca58b40
0x000000026ca58b6c  0x00000004  __TEXT,__text  sub  sub_26ca58b6c
0x000000026ca58b70  0x00000018  __TEXT,__text  sub  sub_26ca58b70
0x000000026ca58b88  0x0000002c  __TEXT,__text  sub  sub_26ca58b88
0x000000026ca58bb4  0x00000004  __TEXT,__text  sub  sub_26ca58bb4
0x000000026ca58bb8  0x00000024  __TEXT,__text  sub  sub_26ca58bb8
0x000000026ca58bdc  0x00000004  __TEXT,__text  sub  sub_26ca58bdc
0x000000026ca58be0  0x0000002c  __TEXT,__text  sub  sub_26ca58be0
0x000000026ca58c0c  0x00000004  __TEXT,__text  sub  sub_26ca58c0c
0x000000026ca58c10  0x00000034  __TEXT,__text  sub  sub_26ca58c10
0x000000026ca58c44  0x00000034  __TEXT,__text  sub  sub_26ca58c44
0x000000026ca58c78  0x00000040  __TEXT,__text  sub  sub_26ca58c78
0x000000026ca58cb8  0x00000048  __TEXT,__text  sub  sub_26ca58cb8
0x000000026ca58d00  0x000000e0  __TEXT,__text  sub  sub_26ca58d00
0x000000026ca58de0  0x00000040  __TEXT,__text  sub  sub_26ca58de0
0x000000026ca58e20  0x00000004  __TEXT,__text  sub  sub_26ca58e20
0x000000026ca58e24  0x00000004  __TEXT,__text  sub  sub_26ca58e24
0x000000026ca58e28  0x00000004  __TEXT,__text  sub  sub_26ca58e28
0x000000026ca58e2c  0x00000004  __TEXT,__text  sub  sub_26ca58e2c
0x000000026ca58e30  0x00000038  __TEXT,__text  sub  sub_26ca58e30
0x000000026ca58e68  0x00000048  __TEXT,__text  sub  sub_26ca58e68
0x000000026ca58eb0  0x000000b4  __TEXT,__text  sub  sub_26ca58eb0
0x000000026ca58f64  0x00000010  __TEXT,__text  sub  sub_26ca58f64
0x000000026ca58f74  0x00000010  __TEXT,__text  sub  sub_26ca58f74
0x000000026ca58f84  0x00000004  __TEXT,__text  sub  sub_26ca58f84
0x000000026ca58f88  0x00000004  __TEXT,__text  sub  sub_26ca58f88
0x000000026ca58f8c  0x00000014  __TEXT,__text  sub  sub_26ca58f8c
0x000000026ca58fa0  0x00000014  __TEXT,__text  sub  sub_26ca58fa0
0x000000026ca58fb4  0x00000004  __TEXT,__text  sub  sub_26ca58fb4
0x000000026ca58fb8  0x0000002c  __TEXT,__text  sub  sub_26ca58fb8
0x000000026ca58fe4  0x00000004  __TEXT,__text  sub  sub_26ca58fe4
0x000000026ca58fe8  0x00000038  __TEXT,__text  sub  sub_26ca58fe8
0x000000026ca59020  0x00000038  __TEXT,__text  sub  sub_26ca59020
0x000000026ca59058  0x00000004  __TEXT,__text  sub  sub_26ca59058
0x000000026ca5905c  0x00000004  __TEXT,__text  sub  sub_26ca5905c
0x000000026ca59060  0x00000004  __TEXT,__text  sub  sub_26ca59060
0x000000026ca59064  0x00000040  __TEXT,__text  sub  sub_26ca59064
0x000000026ca590a4  0x00000014  __TEXT,__text  sub  sub_26ca590a4
0x000000026ca590b8  0x00000014  __TEXT,__text  sub  sub_26ca590b8
