//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriSuggestionsIntelligence.framework/Versions/A/SiriSuggestionsIntelligence
// arch:    arm64e
// uuid:    12D8B72D-0CDF-3BD8-8B62-807924CEC37D
// text:    0x000000026d957000
// count:   5033 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026d959378  0x0000000c  __TEXT,__text  sub  sub_26d959378
0x000000026d959384  0x0000000c  __TEXT,__text  sub  sub_26d959384
0x000000026d959390  0x0000001c  __TEXT,__text  sub  sub_26d959390
0x000000026d9593ac  0x0000001c  __TEXT,__text  sub  sub_26d9593ac
0x000000026d9593c8  0x00000008  __TEXT,__text  sub  sub_26d9593c8
0x000000026d9593d0  0x00000004  __TEXT,__text  sub  sub_26d9593d0
0x000000026d9593d4  0x00000018  __TEXT,__text  sub  sub_26d9593d4
0x000000026d9593ec  0x0000001c  __TEXT,__text  sub  sub_26d9593ec
0x000000026d959408  0x00000028  __TEXT,__text  sub  sub_26d959408
0x000000026d959430  0x0000000c  __TEXT,__text  sub  sub_26d959430
0x000000026d95943c  0x0000000c  __TEXT,__text  sub  sub_26d95943c
0x000000026d959448  0x00000024  __TEXT,__text  sub  sub_26d959448
0x000000026d95946c  0x00000030  __TEXT,__text  sub  sub_26d95946c
0x000000026d95949c  0x00000008  __TEXT,__text  sub  sub_26d95949c
0x000000026d9594a4  0x0000000c  __TEXT,__text  sub  sub_26d9594a4
0x000000026d9594b0  0x00000004  __TEXT,__text  sub  sub_26d9594b0
0x000000026d9594b4  0x00000004  __TEXT,__text  sub  sub_26d9594b4
0x000000026d9594b8  0x00000050  __TEXT,__text  sub  sub_26d9594b8
0x000000026d959508  0x00000014  __TEXT,__text  sub  sub_26d959508
0x000000026d95951c  0x00000014  __TEXT,__text  sub  sub_26d95951c
0x000000026d959530  0x00000038  __TEXT,__text  sub  sub_26d959530
0x000000026d959568  0x00000004  __TEXT,__text  sub  sub_26d959568
0x000000026d95956c  0x00000028  __TEXT,__text  sub  sub_26d95956c
0x000000026d959594  0x00000014  __TEXT,__text  sub  sub_26d959594
0x000000026d9595a8  0x00000014  __TEXT,__text  sub  sub_26d9595a8
0x000000026d9595bc  0x00000130  __TEXT,__text  sub  sub_26d9595bc
0x000000026d9596ec  0x00000038  __TEXT,__text  sub  sub_26d9596ec
0x000000026d959724  0x00000084  __TEXT,__text  sub  sub_26d959724
0x000000026d9597a8  0x0000020c  __TEXT,__text  sub  sub_26d9597a8
0x000000026d9599b4  0x00000004  __TEXT,__text  sub  sub_26d9599b4
0x000000026d9599b8  0x00000014  __TEXT,__text  sub  sub_26d9599b8
0x000000026d9599cc  0x00000014  __TEXT,__text  sub  sub_26d9599cc
0x000000026d9599e0  0x000000fc  __TEXT,__text  sub  sub_26d9599e0
0x000000026d959adc  0x000000f8  __TEXT,__text  sub  sub_26d959adc
0x000000026d959bd4  0x00000004  __TEXT,__text  sub  sub_26d959bd4
0x000000026d959bd8  0x00000004  __TEXT,__text  sub  sub_26d959bd8
0x000000026d959bdc  0x00000014  __TEXT,__text  sub  sub_26d959bdc
0x000000026d959bf0  0x00000014  __TEXT,__text  sub  sub_26d959bf0
0x000000026d959c04  0x00000014  __TEXT,__text  sub  sub_26d959c04
0x000000026d959c18  0x00000040  __TEXT,__text  sub  sub_26d959c18
0x000000026d959c58  0x00000090  __TEXT,__text  sub  sub_26d959c58
0x000000026d959ce8  0x00000038  __TEXT,__text  sub  sub_26d959ce8
0x000000026d959d20  0x00000038  __TEXT,__text  sub  sub_26d959d20
0x000000026d959d58  0x00000010  __TEXT,__text  sub  sub_26d959d58
0x000000026d959d68  0x00000088  __TEXT,__text  sub  sub_26d959d68
0x000000026d959df0  0x00000080  __TEXT,__text  sub  sub_26d959df0
0x000000026d959e70  0x00000014  __TEXT,__text  sub  sub_26d959e70
0x000000026d959e84  0x00000014  __TEXT,__text  sub  sub_26d959e84
0x000000026d959e98  0x00000004  __TEXT,__text  sub  sub_26d959e98
0x000000026d959e9c  0x00000014  __TEXT,__text  sub  sub_26d959e9c
0x000000026d959eb0  0x00000014  __TEXT,__text  sub  sub_26d959eb0
0x000000026d959ec4  0x00000014  __TEXT,__text  sub  sub_26d959ec4
0x000000026d959ed8  0x00000014  __TEXT,__text  sub  sub_26d959ed8
0x000000026d959eec  0x00000014  __TEXT,__text  sub  sub_26d959eec
0x000000026d959f00  0x00000014  __TEXT,__text  sub  sub_26d959f00
0x000000026d959f14  0x00000014  __TEXT,__text  sub  sub_26d959f14
0x000000026d959f28  0x00000014  __TEXT,__text  sub  sub_26d959f28
0x000000026d959f3c  0x00000014  __TEXT,__text  sub  sub_26d959f3c
0x000000026d959f50  0x00000004  __TEXT,__text  sub  sub_26d959f50
0x000000026d959f54  0x00000030  __TEXT,__text  sub  sub_26d959f54
0x000000026d959f84  0x00000018  __TEXT,__text  sub  sub_26d959f84
0x000000026d959f9c  0x00000010  __TEXT,__text  sub  sub_26d959f9c
0x000000026d959fac  0x00000010  __TEXT,__text  sub  sub_26d959fac
0x000000026d959fbc  0x0000004c  __TEXT,__text  sub  sub_26d959fbc
0x000000026d95a008  0x00000058  __TEXT,__text  sub  sub_26d95a008
0x000000026d95a060  0x00000014  __TEXT,__text  sub  sub_26d95a060
0x000000026d95a074  0x00000014  __TEXT,__text  sub  sub_26d95a074
0x000000026d95a088  0x00000004  __TEXT,__text  sub  sub_26d95a088
0x000000026d95a08c  0x00000014  __TEXT,__text  sub  sub_26d95a08c
0x000000026d95a0a0  0x00000018  __TEXT,__text  sub  sub_26d95a0a0
0x000000026d95a0b8  0x00000018  __TEXT,__text  sub  sub_26d95a0b8
0x000000026d95a0d0  0x00000018  __TEXT,__text  sub  sub_26d95a0d0
0x000000026d95a0e8  0x00000004  __TEXT,__text  sub  sub_26d95a0e8
0x000000026d95a0ec  0x00000028  __TEXT,__text  sub  sub_26d95a0ec
0x000000026d95a114  0x00000018  __TEXT,__text  sub  sub_26d95a114
0x000000026d95a12c  0x00000018  __TEXT,__text  sub  sub_26d95a12c
