//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriTranslationUI.framework/Versions/A/SiriTranslationUI
// arch:    arm64e
// uuid:    FAB57B63-4217-39BA-875D-FEE78F7A5624
// text:    0x000000026ebac000
// count:   759 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026ebad840  0x0000000c  __TEXT,__text  sub  sub_26ebad840
0x000000026ebad84c  0x0000002c  __TEXT,__text  sub  sub_26ebad84c
0x000000026ebad878  0x00000010  __TEXT,__text  sub  sub_26ebad878
0x000000026ebad888  0x00000008  __TEXT,__text  sub  sub_26ebad888
0x000000026ebad890  0x00000380  __TEXT,__text  sub  sub_26ebad890
0x000000026ebadc10  0x00000058  __TEXT,__text  sub  sub_26ebadc10
0x000000026ebadc68  0x00000058  __TEXT,__text  sub  sub_26ebadc68
0x000000026ebadcc0  0x00000050  __TEXT,__text  sub  sub_26ebadcc0
0x000000026ebadd10  0x00000008  __TEXT,__text  sub  sub_26ebadd10
0x000000026ebadd18  0x00000010  __TEXT,__text  sub  sub_26ebadd18
0x000000026ebadd28  0x00000048  __TEXT,__text  sub  sub_26ebadd28
0x000000026ebadd70  0x00000048  __TEXT,__text  sub  sub_26ebadd70
0x000000026ebaddb8  0x00000028  __TEXT,__text  sub  sub_26ebaddb8
0x000000026ebadde0  0x00000018  __TEXT,__text  sub  sub_26ebadde0
0x000000026ebaddf8  0x00000024  __TEXT,__text  sub  sub_26ebaddf8
0x000000026ebade1c  0x00000018  __TEXT,__text  sub  sub_26ebade1c
0x000000026ebade34  0x00000014  __TEXT,__text  sub  sub_26ebade34
0x000000026ebade48  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_7  // aliases: OUTLINED_FUNCTION_0
0x000000026ebade58  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_10  // aliases: OUTLINED_FUNCTION_6, OUTLINED_FUNCTION_1
0x000000026ebade68  0x00000018  __TEXT,__text  sub  sub_26ebade68
0x000000026ebade80  0x00000020  __TEXT,__text  sub  sub_26ebade80
0x000000026ebadea0  0x0000004c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x000000026ebadeec  0x00000040  __TEXT,__text  sub  sub_26ebadeec
0x000000026ebadf2c  0x00000020  __TEXT,__text  sub  sub_26ebadf2c
0x000000026ebadf4c  0x00000040  __TEXT,__text  sub  sub_26ebadf4c
0x000000026ebadf8c  0x0000001c  __TEXT,__text  sub  sub_26ebadf8c
0x000000026ebadfa8  0x00000004  __TEXT,__text  sub  sub_26ebadfa8
0x000000026ebadfac  0x00000040  __TEXT,__text  sub  sub_26ebadfac
0x000000026ebadfec  0x00000004  __TEXT,__text  sub  sub_26ebadfec
0x000000026ebadff0  0x0000005c  __TEXT,__text  sub  sub_26ebadff0
0x000000026ebae04c  0x00000040  __TEXT,__text  sub  sub_26ebae04c
0x000000026ebae08c  0x00000020  __TEXT,__text  sub  sub_26ebae08c
0x000000026ebae0ac  0x0000003c  __TEXT,__text  sub  sub_26ebae0ac
0x000000026ebae0e8  0x00000064  __TEXT,__text  sub  sub_26ebae0e8
0x000000026ebae14c  0x00000040  __TEXT,__text  sub  sub_26ebae14c
0x000000026ebae18c  0x0000003c  __TEXT,__text  sub  sub_26ebae18c
0x000000026ebae1c8  0x00000064  __TEXT,__text  sub  sub_26ebae1c8
0x000000026ebae22c  0x00000004  __TEXT,__text  sub  sub_26ebae22c
0x000000026ebae230  0x00000040  __TEXT,__text  sub  sub_26ebae230
0x000000026ebae270  0x00000040  __TEXT,__text  sub  sub_26ebae270
0x000000026ebae2b0  0x0000003c  __TEXT,__text  sub  sub_26ebae2b0
0x000000026ebae2ec  0x00000064  __TEXT,__text  sub  sub_26ebae2ec
0x000000026ebae350  0x00000040  __TEXT,__text  sub  sub_26ebae350
0x000000026ebae390  0x00000048  __TEXT,__text  sub  sub_26ebae390
0x000000026ebae3d8  0x0000003c  __TEXT,__text  sub  sub_26ebae3d8
0x000000026ebae414  0x00000064  __TEXT,__text  sub  sub_26ebae414
0x000000026ebae478  0x000000c0  __TEXT,__text  sub  sub_26ebae478
0x000000026ebae538  0x000001a4  __TEXT,__text  sub  sub_26ebae538
0x000000026ebae6dc  0x00000008  __TEXT,__text  sub  sub_26ebae6dc
0x000000026ebae6e4  0x00000010  __TEXT,__text  sub  sub_26ebae6e4
0x000000026ebae6f4  0x00000028  __TEXT,__text  sub  sub_26ebae6f4
0x000000026ebae71c  0x0000000c  __TEXT,__text  sub  sub_26ebae71c
0x000000026ebae728  0x00000094  __TEXT,__text  sub  sub_26ebae728
0x000000026ebae7bc  0x00000014  __TEXT,__text  sub  sub_26ebae7bc
0x000000026ebae7d0  0x0000000c  __TEXT,__text  sub  sub_26ebae7d0
0x000000026ebae7dc  0x0000001c  __TEXT,__text  sub  sub_26ebae7dc
0x000000026ebae7f8  0x00000008  __TEXT,__text  sub  sub_26ebae7f8
0x000000026ebae800  0x00000004  __TEXT,__text  sub  sub_26ebae800
0x000000026ebae804  0x00000008  __TEXT,__text  sub  sub_26ebae804
0x000000026ebae80c  0x00000028  __TEXT,__text  sub  sub_26ebae80c
0x000000026ebae834  0x00000008  __TEXT,__text  sub  sub_26ebae834
0x000000026ebae83c  0x00000028  __TEXT,__text  sub  sub_26ebae83c
0x000000026ebae864  0x0000003c  __TEXT,__text  sub  sub_26ebae864
0x000000026ebae8a0  0x0000003c  __TEXT,__text  sub  sub_26ebae8a0
0x000000026ebae8dc  0x000001f8  __TEXT,__text  sub  sub_26ebae8dc
0x000000026ebaead4  0x00000044  __TEXT,__text  func  __swift_project_boxed_opaque_existential_1
0x000000026ebaeb18  0x00000054  __TEXT,__text  sub  sub_26ebaeb18
0x000000026ebaeb6c  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameAbstractV2
0x000000026ebaebc0  0x0000005c  __TEXT,__text  sub  sub_26ebaebc0
0x000000026ebaec1c  0x000005f0  __TEXT,__text  sub  sub_26ebaec1c
0x000000026ebaf20c  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_0  // aliases: __swift_destroy_boxed_opaque_existential_1
0x000000026ebaf250  0x00000060  __TEXT,__text  sub  sub_26ebaf250
0x000000026ebaf2b0  0x000000a0  __TEXT,__text  sub  sub_26ebaf2b0
0x000000026ebaf350  0x00000018  __TEXT,__text  sub  sub_26ebaf350
0x000000026ebaf368  0x00000018  __TEXT,__text  sub  sub_26ebaf368
0x000000026ebaf380  0x00000028  __TEXT,__text  sub  sub_26ebaf380
0x000000026ebaf3a8  0x00000004  __TEXT,__text  sub  sub_26ebaf3a8
0x000000026ebaf3ac  0x00000018  __TEXT,__text  sub  sub_26ebaf3ac
0x000000026ebaf3c4  0x0000002c  __TEXT,__text  sub  sub_26ebaf3c4
0x000000026ebaf3f0  0x00000014  __TEXT,__text  sub  sub_26ebaf3f0
0x000000026ebaf404  0x0000005c  __TEXT,__text  sub  sub_26ebaf404
0x000000026ebaf460  0x00000018  __TEXT,__text  sub  sub_26ebaf460
0x000000026ebaf478  0x00000048  __TEXT,__text  sub  sub_26ebaf478
0x000000026ebaf4c0  0x00000040  __TEXT,__text  sub  sub_26ebaf4c0
0x000000026ebaf500  0x00000018  __TEXT,__text  sub  sub_26ebaf500
0x000000026ebaf518  0x00000064  __TEXT,__text  sub  sub_26ebaf518
0x000000026ebaf57c  0x00000018  __TEXT,__text  sub  sub_26ebaf57c
0x000000026ebaf594  0x00000040  __TEXT,__text  sub  sub_26ebaf594
0x000000026ebaf5d4  0x00000018  __TEXT,__text  sub  sub_26ebaf5d4
0x000000026ebaf5ec  0x00000064  __TEXT,__text  sub  sub_26ebaf5ec
0x000000026ebaf650  0x00000048  __TEXT,__text  sub  sub_26ebaf650
0x000000026ebaf698  0x0000004c  __TEXT,__text  sub  sub_26ebaf698
0x000000026ebaf6e4  0x00000064  __TEXT,__text  sub  sub_26ebaf6e4
0x000000026ebaf748  0x00000040  __TEXT,__text  sub  sub_26ebaf748
0x000000026ebaf788  0x0000003c  __TEXT,__text  sub  sub_26ebaf788
0x000000026ebaf7c4  0x00000064  __TEXT,__text  sub  sub_26ebaf7c4
0x000000026ebaf828  0x00000040  __TEXT,__text  sub  sub_26ebaf828
0x000000026ebaf868  0x0000003c  __TEXT,__text  sub  sub_26ebaf868
0x000000026ebaf8a4  0x00000064  __TEXT,__text  sub  sub_26ebaf8a4
0x000000026ebaf908  0x00000040  __TEXT,__text  sub  sub_26ebaf908
0x000000026ebaf948  0x00000040  __TEXT,__text  sub  sub_26ebaf948
0x000000026ebaf988  0x0000003c  __TEXT,__text  sub  sub_26ebaf988
0x000000026ebaf9c4  0x00000064  __TEXT,__text  sub  sub_26ebaf9c4
0x000000026ebafa28  0x00000040  __TEXT,__text  sub  sub_26ebafa28
0x000000026ebafa68  0x00000040  __TEXT,__text  sub  sub_26ebafa68
0x000000026ebafaa8  0x0000003c  __TEXT,__text  sub  sub_26ebafaa8
0x000000026ebafae4  0x00000064  __TEXT,__text  sub  sub_26ebafae4
0x000000026ebafb48  0x00000040  __TEXT,__text  sub  sub_26ebafb48
0x000000026ebafb88  0x00000040  __TEXT,__text  sub  sub_26ebafb88
0x000000026ebafbc8  0x0000003c  __TEXT,__text  sub  sub_26ebafbc8
0x000000026ebafc04  0x00000064  __TEXT,__text  sub  sub_26ebafc04
0x000000026ebafc68  0x000002c8  __TEXT,__text  sub  sub_26ebafc68
0x000000026ebaff30  0x00000008  __TEXT,__text  sub  sub_26ebaff30
0x000000026ebaff38  0x00000100  __TEXT,__text  sub  sub_26ebaff38
0x000000026ebb0038  0x00000024  __TEXT,__text  sub  sub_26ebb0038
0x000000026ebb005c  0x00000008  __TEXT,__text  sub  sub_26ebb005c
0x000000026ebb0064  0x00000028  __TEXT,__text  sub  sub_26ebb0064
0x000000026ebb008c  0x00000028  __TEXT,__text  sub  sub_26ebb008c
0x000000026ebb00b4  0x0000003c  __TEXT,__text  sub  sub_26ebb00b4
0x000000026ebb00f0  0x0000003c  __TEXT,__text  sub  sub_26ebb00f0
0x000000026ebb012c  0x00000264  __TEXT,__text  sub  sub_26ebb012c
0x000000026ebb0390  0x00000054  __TEXT,__text  sub  sub_26ebb0390
0x000000026ebb03e4  0x00000094  __TEXT,__text  sub  sub_26ebb03e4
0x000000026ebb0478  0x00000044  __TEXT,__text  sub  sub_26ebb0478
0x000000026ebb04bc  0x00000060  __TEXT,__text  sub  sub_26ebb04bc
0x000000026ebb051c  0x0000095c  __TEXT,__text  sub  sub_26ebb051c
0x000000026ebb0e78  0x000000c8  __TEXT,__text  sub  sub_26ebb0e78
0x000000026ebb0f40  0x00000058  __TEXT,__text  sub  sub_26ebb0f40
0x000000026ebb0f98  0x00000050  __TEXT,__text  sub  sub_26ebb0f98
0x000000026ebb0fe8  0x00000018  __TEXT,__text  sub  sub_26ebb0fe8
0x000000026ebb1000  0x00000018  __TEXT,__text  sub  sub_26ebb1000
0x000000026ebb1018  0x00000030  __TEXT,__text  sub  sub_26ebb1018
0x000000026ebb1048  0x00000028  __TEXT,__text  sub  sub_26ebb1048
0x000000026ebb1070  0x00000034  __TEXT,__text  sub  sub_26ebb1070
0x000000026ebb10a4  0x0000005c  __TEXT,__text  sub  sub_26ebb10a4
0x000000026ebb1100  0x00000040  __TEXT,__text  sub  sub_26ebb1100
0x000000026ebb1140  0x00000018  __TEXT,__text  sub  sub_26ebb1140
0x000000026ebb1158  0x00000040  __TEXT,__text  sub  sub_26ebb1158
0x000000026ebb1198  0x00000064  __TEXT,__text  sub  sub_26ebb1198
0x000000026ebb11fc  0x00000068  __TEXT,__text  sub  sub_26ebb11fc
0x000000026ebb1264  0x000000d0  __TEXT,__text  sub  sub_26ebb1264
0x000000026ebb1334  0x00000008  __TEXT,__text  sub  sub_26ebb1334
0x000000026ebb133c  0x00000040  __TEXT,__text  sub  sub_26ebb133c
0x000000026ebb137c  0x00000008  __TEXT,__text  sub  sub_26ebb137c
0x000000026ebb1384  0x00000028  __TEXT,__text  sub  sub_26ebb1384
0x000000026ebb13ac  0x00000028  __TEXT,__text  sub  sub_26ebb13ac
0x000000026ebb13d4  0x0000003c  __TEXT,__text  sub  sub_26ebb13d4
0x000000026ebb1410  0x0000003c  __TEXT,__text  sub  sub_26ebb1410
0x000000026ebb144c  0x00000154  __TEXT,__text  sub  sub_26ebb144c
0x000000026ebb15a0  0x00000054  __TEXT,__text  sub  sub_26ebb15a0
0x000000026ebb15f4  0x0000006c  __TEXT,__text  sub  sub_26ebb15f4
0x000000026ebb1660  0x0000007c  __TEXT,__text  sub  sub_26ebb1660
0x000000026ebb16dc  0x00000084  __TEXT,__text  sub  sub_26ebb16dc
0x000000026ebb1760  0x00000310  __TEXT,__text  sub  sub_26ebb1760
0x000000026ebb1a70  0x00000018  __TEXT,__text  sub  sub_26ebb1a70
0x000000026ebb1a88  0x00000018  __TEXT,__text  sub  sub_26ebb1a88
0x000000026ebb1aa0  0x00000004  __TEXT,__text  sub  sub_26ebb1aa0
0x000000026ebb1aa4  0x00000004  __TEXT,__text  sub  sub_26ebb1aa4
0x000000026ebb1aa8  0x00000088  __TEXT,__text  sub  sub_26ebb1aa8
0x000000026ebb1b30  0x00000004  __TEXT,__text  sub  sub_26ebb1b30
0x000000026ebb1b34  0x00000018  __TEXT,__text  sub  sub_26ebb1b34
0x000000026ebb1b4c  0x0000002c  __TEXT,__text  sub  sub_26ebb1b4c
0x000000026ebb1b78  0x0000002c  __TEXT,__text  sub  sub_26ebb1b78
