//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SiriVideoIntents.framework/Versions/A/SiriVideoIntents
// arch:    arm64e
// uuid:    5A3DF536-64EB-32CA-94F0-A995095BE95A
// text:    0x000000026ef38000
// count:   11687 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026ef3b038  0x00000138  __TEXT,__text  func  -[ArchiveExtractor createReadArchive]
0x000000026ef3b170  0x00000058  __TEXT,__text  func  TRILogCategory
0x000000026ef3b1c8  0x0000010c  __TEXT,__text  func  -[ArchiveExtractor createWriteDiskArchive]
0x000000026ef3b2d4  0x000000d4  __TEXT,__text  func  -[ArchiveExtractor copyDataFromReadArchive:toWriteDiskArchive:]
0x000000026ef3b3a8  0x00000614  __TEXT,__text  func  -[ArchiveExtractor performExtractionForArchive:toDestinationDirectory:]
0x000000026ef3b9bc  0x000001b0  __TEXT,__text  func  -[ArchiveExtractor unarchiveData:toDestinationDirectory:]
0x000000026ef3bb6c  0x00000148  __TEXT,__text  func  -[ArchiveExtractor extractArchiveAtURL:toDestinationDirectoryURL:]
0x000000026ef3bcb4  0x00000048  __TEXT,__text  func  __TRILogCategory_block_invoke
0x000000026ef3bcfc  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000026ef3bd14  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_7  // aliases: OUTLINED_FUNCTION_62, OUTLINED_FUNCTION_35, OUTLINED_FUNCTION_1
0x000000026ef3bd28  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000026ef3bd3c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x000000026ef3bd50  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_6  // aliases: OUTLINED_FUNCTION_5, OUTLINED_FUNCTION_28, OUTLINED_FUNCTION_58, OUTLINED_FUNCTION_4
0x000000026ef3bd60  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x000000026ef3bd80  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_6
