//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Sleep.framework/Versions/A/Sleep
// arch:    arm64e
// uuid:    D325EAFE-E856-30AE-A196-18738691F43A
// text:    0x000000026f1bb000
// count:   4393 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026f1bc348  0x000001fc  __TEXT,__text  func  HKSPSleepScheduleDayOccurrenceProperties
0x000000026f1bc544  0x00000150  __TEXT,__text  func  HKSPSleepScheduleDayOccurrencePropertiesForEquivalency
0x000000026f1bc694  0x00000050  __TEXT,__text  func  __HKSPSleepScheduleDayOccurrencePropertiesForEquivalency_block_invoke
0x000000026f1bc6e4  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x000000026f1bc6ec  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x000000026f1bc6f4  0x00000004  __TEXT,__text  func  HKSPSleepScheduleDayOccurrencePropertiesForSignificance
0x000000026f1bc6f8  0x0000005c  __TEXT,__text  func  -[HKSPSleepSettings(HKSPFeatureSettings) isEqualToFeatureSettingsModel:]
0x000000026f1bc754  0x00000048  __TEXT,__text  func  -[HKSPSleepSettings(HKSPFeatureSettings) sleepTrackingFeatureEnabled]
0x000000026f1bc79c  0x00000020  __TEXT,__text  func  NSStringFromHKSPSleepWidgetState
0x000000026f1bc7bc  0x00000010  __TEXT,__text  func  HKSPWidgetStateShowsSleepData
0x000000026f1bc7cc  0x000000c4  __TEXT,__text  func  -[NSCalendar(HKSPSleep) hksp_orderedSleepDays]
0x000000026f1bc890  0x0000005c  __TEXT,__text  func  __46-[NSCalendar(HKSPSleep) hksp_orderedSleepDays]_block_invoke
0x000000026f1bc8ec  0x000000d4  __TEXT,__text  func  -[NSCalendar(HKSPSleep) hksp_orderedSleepWeekdaysForWeekdays:]
0x000000026f1bc9c0  0x00000068  __TEXT,__text  func  __62-[NSCalendar(HKSPSleep) hksp_orderedSleepWeekdaysForWeekdays:]_block_invoke
0x000000026f1bca28  0x00000088  __TEXT,__text  func  -[NSCalendar(HKSPSleep) hksp_localizedGroupingStringForWeekdays:]
0x000000026f1bcab0  0x00000008  __TEXT,__text  func  -[NSCalendar(HKSPSleep) hksp_dayPeriodForDate:locale:]
