//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SnippetUI_Proto.framework/Versions/A/SnippetUI_Proto
// arch:    arm64e
// uuid:    CB02BB69-88B6-36CA-9C11-D79AB0879E01
// text:    0x000000026fcf2000
// count:   251 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000026fcf36d8  0x00000068  __TEXT,__text  func  -[VRXProtoVisualResponseProvider init]
0x000000026fcf3740  0x0000000c  __TEXT,__text  func  +[VRXProtoVisualResponseProvider preWarm:]
0x000000026fcf374c  0x00000088  __TEXT,__text  func  -[VRXProtoVisualResponseProvider viewControllerForModel:mode:]
0x000000026fcf37d4  0x0000008c  __TEXT,__text  func  -[VRXProtoVisualResponseProvider viewControllerForModel:mode:completion:]
0x000000026fcf3860  0x0000008c  __TEXT,__text  func  -[VRXProtoVisualResponseProvider viewForModel:mode:]
0x000000026fcf38ec  0x00000044  __TEXT,__text  func  -[VRXProtoVisualResponseProvider reset]
0x000000026fcf3930  0x0000000c  __TEXT,__text  func  +[VRXProtoVisualResponseProvider transformModel:mode:currentIdiom:]
0x000000026fcf393c  0x0000000c  __TEXT,__text  func  +[VRXProtoVisualResponseProvider setPatternId:forViewId:]
0x000000026fcf3948  0x0000000c  __TEXT,__text  func  -[VRXProtoVisualResponseProvider provider]
0x000000026fcf3954  0x0000000c  __TEXT,__text  func  -[VRXProtoVisualResponseProvider .cxx_destruct]
0x000000026fcf3960  0x0000003c  __TEXT,__text  sub  sub_26fcf3960
0x000000026fcf399c  0x000000d0  __TEXT,__text  sub  sub_26fcf399c
0x000000026fcf3a6c  0x00000074  __TEXT,__text  sub  sub_26fcf3a6c
0x000000026fcf3ae0  0x00000418  __TEXT,__text  sub  sub_26fcf3ae0
0x000000026fcf3ef8  0x000005c4  __TEXT,__text  sub  sub_26fcf3ef8
0x000000026fcf44bc  0x00000124  __TEXT,__text  sub  sub_26fcf44bc
0x000000026fcf45e0  0x0000002c  __TEXT,__text  sub  sub_26fcf45e0
0x000000026fcf460c  0x00000220  __TEXT,__text  sub  sub_26fcf460c
0x000000026fcf482c  0x00000004  __TEXT,__text  sub  sub_26fcf482c
0x000000026fcf4830  0x00000044  __TEXT,__text  sub  sub_26fcf4830
0x000000026fcf4874  0x00000040  __TEXT,__text  sub  sub_26fcf4874
0x000000026fcf48b4  0x00000220  __TEXT,__text  sub  sub_26fcf48b4
0x000000026fcf4ad4  0x00000534  __TEXT,__text  sub  sub_26fcf4ad4
0x000000026fcf5008  0x000000a8  __TEXT,__text  sub  sub_26fcf5008
0x000000026fcf50b0  0x000000a8  __TEXT,__text  sub  sub_26fcf50b0
0x000000026fcf5158  0x00000018  __TEXT,__text  sub  sub_26fcf5158
0x000000026fcf5170  0x00000188  __TEXT,__text  sub  sub_26fcf5170
0x000000026fcf52f8  0x000001e8  __TEXT,__text  sub  sub_26fcf52f8
0x000000026fcf54e0  0x0000036c  __TEXT,__text  sub  sub_26fcf54e0
0x000000026fcf584c  0x000002e0  __TEXT,__text  sub  sub_26fcf584c
0x000000026fcf5b2c  0x000000ec  __TEXT,__text  sub  sub_26fcf5b2c
0x000000026fcf5c18  0x00000464  __TEXT,__text  sub  sub_26fcf5c18
0x000000026fcf607c  0x00000628  __TEXT,__text  sub  sub_26fcf607c
0x000000026fcf66a4  0x00000338  __TEXT,__text  sub  sub_26fcf66a4
0x000000026fcf69dc  0x00000188  __TEXT,__text  sub  sub_26fcf69dc
0x000000026fcf6b64  0x00000114  __TEXT,__text  sub  sub_26fcf6b64
0x000000026fcf6c78  0x000000cc  __TEXT,__text  sub  sub_26fcf6c78
0x000000026fcf6d44  0x00000048  __TEXT,__text  sub  sub_26fcf6d44
0x000000026fcf6d8c  0x0000003c  __TEXT,__text  sub  sub_26fcf6d8c
0x000000026fcf6dc8  0x00000064  __TEXT,__text  sub  sub_26fcf6dc8
0x000000026fcf6e2c  0x000007d0  __TEXT,__text  sub  sub_26fcf6e2c
0x000000026fcf75fc  0x000000e4  __TEXT,__text  sub  sub_26fcf75fc
0x000000026fcf76e0  0x00000084  __TEXT,__text  sub  sub_26fcf76e0
0x000000026fcf7764  0x00000038  __TEXT,__text  sub  sub_26fcf7764
0x000000026fcf779c  0x00000024  __TEXT,__text  sub  sub_26fcf779c
0x000000026fcf77c0  0x00000038  __TEXT,__text  sub  sub_26fcf77c0
