//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SpotlightKnowledgeDaemon.framework/Versions/A/SpotlightKnowledgeDaemon
// arch:    arm64e
// uuid:    A0A34DA2-B954-33A0-9A1C-2707F105DE6F
// text:    0x00000002704d6000
// count:   16509 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002704d8d38  0x0000002c  __TEXT,__text  sub  sub_2704d8d38
0x00000002704d8d64  0x00000074  __TEXT,__text  sub  sub_2704d8d64
0x00000002704d8dd8  0x00000008  __TEXT,__text  sub  sub_2704d8dd8
0x00000002704d8de0  0x00000004  __TEXT,__text  sub  sub_2704d8de0
0x00000002704d8de4  0x00000004  __TEXT,__text  sub  sub_2704d8de4
0x00000002704d8de8  0x00000004  __TEXT,__text  sub  sub_2704d8de8
0x00000002704d8dec  0x00000004  __TEXT,__text  sub  sub_2704d8dec
0x00000002704d8df0  0x00000004  __TEXT,__text  sub  sub_2704d8df0
0x00000002704d8df4  0x00000004  __TEXT,__text  sub  sub_2704d8df4
0x00000002704d8df8  0x00000004  __TEXT,__text  sub  sub_2704d8df8
0x00000002704d8dfc  0x00000014  __TEXT,__text  sub  sub_2704d8dfc
0x00000002704d8e10  0x00000010  __TEXT,__text  sub  sub_2704d8e10
0x00000002704d8e20  0x0000000c  __TEXT,__text  sub  sub_2704d8e20
0x00000002704d8e2c  0x00000004  __TEXT,__text  sub  sub_2704d8e2c
0x00000002704d8e30  0x0000002c  __TEXT,__text  sub  sub_2704d8e30
0x00000002704d8e5c  0x00000010  __TEXT,__text  sub  sub_2704d8e5c
0x00000002704d8e6c  0x00000038  __TEXT,__text  sub  sub_2704d8e6c
0x00000002704d8ea4  0x00000018  __TEXT,__text  sub  sub_2704d8ea4
0x00000002704d8ebc  0x00000030  __TEXT,__text  sub  sub_2704d8ebc
0x00000002704d8eec  0x00000030  __TEXT,__text  sub  sub_2704d8eec
0x00000002704d8f1c  0x00000004  __TEXT,__text  sub  sub_2704d8f1c
0x00000002704d8f20  0x00000004  __TEXT,__text  sub  sub_2704d8f20
