//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/StoreJavaScript.framework/Versions/A/StoreJavaScript
// arch:    arm64e
// uuid:    D003257E-3741-3D18-BAA6-E8D4661C9E35
// text:    0x0000000271098000
// count:   355 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000271099060  0x00000050  __TEXT,__text  func  +[FRJSFunction functionForIdentifier:]
0x00000002710990b0  0x00000184  __TEXT,__text  func  +[FRJSFunction functionForJSFunction:inContext:]
0x0000000271099234  0x0000011c  __TEXT,__text  func  +[FRJSFunction addFunctionToGlobalCache:]
0x0000000271099350  0x000000d0  __TEXT,__text  func  -[FRJSFunction initWithJavaScriptFunction:inContext:]
0x0000000271099420  0x0000015c  __TEXT,__text  func  -[FRJSFunction dealloc]
0x000000027109957c  0x00000094  __TEXT,__text  func  -[FRJSFunction protect]
0x0000000271099610  0x00000058  __TEXT,__text  func  -[FRJSFunction unprotect]
0x0000000271099668  0x00000094  __TEXT,__text  func  -[FRJSFunction setCapture:]
0x00000002710996fc  0x00000080  __TEXT,__text  func  -[FRJSFunction jsObjectInContext:]
0x000000027109977c  0x000000cc  __TEXT,__text  func  -[FRJSFunction doAction:]
0x0000000271099848  0x0000025c  __TEXT,__text  func  -[FRJSFunction callWithArguments:]
0x0000000271099aa4  0x000000a8  __TEXT,__text  func  -[FRJSFunction description]
0x0000000271099b4c  0x00000008  __TEXT,__text  func  +[FRJSFunction supportsSecureCoding]
0x0000000271099b54  0x00000104  __TEXT,__text  func  -[FRJSFunction initWithCoder:]
0x0000000271099c58  0x00000070  __TEXT,__text  func  -[FRJSFunction encodeWithCoder:]
0x0000000271099cc8  0x00000008  __TEXT,__text  func  -[FRJSFunction jsFunction]
0x0000000271099cd0  0x00000008  __TEXT,__text  func  -[FRJSFunction jsContext]
0x0000000271099cd8  0x00000008  __TEXT,__text  func  -[FRJSFunction functionID]
0x0000000271099ce0  0x00000008  __TEXT,__text  func  -[FRJSFunction capture]
0x0000000271099ce8  0x0000002c  __TEXT,__text  func  -[FRJSFunction messagingDelegate]
0x0000000271099d14  0x0000000c  __TEXT,__text  func  -[FRJSFunction setMessagingDelegate:]
0x0000000271099d20  0x00000040  __TEXT,__text  func  -[FRJSFunction .cxx_destruct]
0x0000000271099d60  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x0000000271099d74  0x000000f8  __TEXT,__text  func  JSLogEnabled
0x0000000271099e6c  0x00000010  __TEXT,__text  func  JSInvalidateJSLogEnabledCache
0x0000000271099e7c  0x000000d4  __TEXT,__text  func  -[SSLogManager(JavaScript) JSLogLevel:inFunction:inFile:atLine:withFormat:]
0x0000000271099f50  0x00000008  __TEXT,__text  func  +[FRWKBundleMessage supportsSecureCoding]
0x0000000271099f58  0x000000a8  __TEXT,__text  func  -[FRWKBundleMessage initWithMessage:body:]
0x000000027109a000  0x000000d0  __TEXT,__text  func  -[FRWKBundleMessage initWithCoder:]
0x000000027109a0d0  0x000000c4  __TEXT,__text  func  -[FRWKBundleMessage encodeWithCoder:]
0x000000027109a194  0x000000fc  __TEXT,__text  func  -[FRWKBundleMessage description]
0x000000027109a290  0x00000008  __TEXT,__text  func  -[FRWKBundleMessage message]
0x000000027109a298  0x00000008  __TEXT,__text  func  -[FRWKBundleMessage body]
0x000000027109a2a0  0x00000044  __TEXT,__text  func  -[FRWKBundleMessage .cxx_destruct]
0x000000027109a2e4  0x000000f8  __TEXT,__text  func  +[FRBundleInterface allowedMessageClasses]
0x000000027109a3dc  0x00000430  __TEXT,__text  func  -[FRBundleInterface initWithBundle:userData:]
0x000000027109a80c  0x00000200  __TEXT,__text  func  didCreatePage
0x000000027109aa0c  0x00000100  __TEXT,__text  func  willDestroyPage
0x000000027109ab0c  0x000002d0  __TEXT,__text  func  didReceiveMessage
0x000000027109addc  0x00000050  __TEXT,__text  func  -[FRBundleInterface dealloc]
0x000000027109ae2c  0x0000011c  __TEXT,__text  func  -[FRBundleInterface sendMessage:messageBody:]
0x000000027109af48  0x00000164  __TEXT,__text  func  -[FRBundleInterface sendSynchronousMessage:messageBody:]
0x000000027109b0ac  0x00000044  __TEXT,__text  func  __56-[FRBundleInterface sendSynchronousMessage:messageBody:]_block_invoke
0x000000027109b0f0  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000027109b100  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000027109b108  0x00000338  __TEXT,__text  func  __56-[FRBundleInterface sendSynchronousMessage:messageBody:]_block_invoke.103
0x000000027109b440  0x00000058  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s56r
0x000000027109b498  0x00000050  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s56r
0x000000027109b4e8  0x00000288  __TEXT,__text  func  -[FRBundleInterface didReceiveMessage:messageBody:]
0x000000027109b770  0x0000005c  __TEXT,__text  func  -[FRBundleInterface _getJavaScriptProperty:inContext:thisObject:]
0x000000027109b7cc  0x00000070  __TEXT,__text  func  -[FRBundleInterface _callJavaScriptFunction:inContext:thisObject:argumentCount:arguments:]
0x000000027109b83c  0x000001f0  __TEXT,__text  func  -[FRBundleInterface dispatchEvent:withEventObject:]
0x000000027109ba2c  0x0000030c  __TEXT,__text  func  -[FRBundleInterface dispatchGlobalEvent:withEventObject:]
0x000000027109bd38  0x00000068  __TEXT,__text  func  -[FRBundleInterface hasProperty:forObject:]
0x000000027109bda0  0x0000024c  __TEXT,__text  func  -[FRBundleInterface object:getProperty:]
0x000000027109bfec  0x00000068  __TEXT,__text  func  -[FRBundleInterface hasFunction:forObject:]
0x000000027109c054  0x000005ac  __TEXT,__text  func  -[FRBundleInterface object:callFunction:withArguments:]
0x000000027109c600  0x00000234  __TEXT,__text  func  -[FRBundleInterface unarchiver:cannotDecodeObjectOfClassName:originalClasses:]
0x000000027109c834  0x00000288  __TEXT,__text  func  globalObjectIsAvailableForFrame
