//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SyncServicesUI.framework/Versions/A/SyncServicesUI
// arch:    arm64e
// uuid:    A46D5CD0-DEA9-335F-B1B8-BCA887A25F62
// text:    0x0000000271cf4000
// count:   425 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000271cf4ea0  0x00000054  __TEXT,__text  func  -[ISyncAnimatedDataMoveView initWithFrame:]
0x0000000271cf4ef4  0x00000138  __TEXT,__text  func  -[ISyncAnimatedDataMoveView _commonInit]
0x0000000271cf502c  0x0000001c  __TEXT,__text  func  -[ISyncAnimatedDataMoveView setAnimationSpeed:]
0x0000000271cf5048  0x0000006c  __TEXT,__text  func  -[ISyncAnimatedDataMoveView setAnimationDirection:]
0x0000000271cf50b4  0x00000018  __TEXT,__text  func  -[ISyncAnimatedDataMoveView awakeFromNib]
0x0000000271cf50cc  0x00000038  __TEXT,__text  func  +[ISyncUIHelperProxy sharedProxy]
0x0000000271cf5104  0x00000064  __TEXT,__text  func  +[ISyncUIHelperProxy allocWithZone:]
0x0000000271cf5168  0x000000a0  __TEXT,__text  func  -[ISyncConcreteUIHelperProxy init]
0x0000000271cf5208  0x00000038  __TEXT,__text  func  +[DefaultUIHelper sharedInstance]
0x0000000271cf5240  0x00000094  __TEXT,__text  func  -[ISyncConcreteUIHelperProxy attributedStringForRecordNode:withComparisonNodes:]
0x0000000271cf52d4  0x00000144  __TEXT,__text  func  -[ISyncConcreteUIHelperProxy uiHelperForEntityName:]
0x0000000271cf5418  0x000001d4  __TEXT,__text  func  -[ISyncConcreteUIHelperProxy uiHelperForClassName:]
0x0000000271cf55ec  0x0000019c  __TEXT,__text  func  -[ISyncConcreteUIHelperProxy bundleCallWrapper:context:]
0x0000000271cf5788  0x00000014  __TEXT,__text  func  _attributedStringForRecordNodeWrapper
0x0000000271cf579c  0x000001cc  __TEXT,__text  func  -[DefaultUIHelper attributedString:forRecordNode:withComparisonNodes:]
