//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/Current/Frameworks/eng.dylib
// arch:    arm64e
// uuid:    1ED4F3F2-4375-3815-9ADB-5A4D55CFCDF7
// text:    0x0000000272e2f000
// count:   7503 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000272e2f8f8  0x00000020  __TEXT,__text  func  fence
0x0000000272e2f918  0x000000e0  __TEXT,__text  func  tok_dict
0x0000000272e2f9f8  0x00000100  __TEXT,__text  func  find_enclitic_to_left
0x0000000272e2faf8  0x000000e0  __TEXT,__text  func  find_enclitic_to_right
0x0000000272e2fbd8  0x000000e0  __TEXT,__text  func  char_name
0x0000000272e2fcb8  0x00000108  __TEXT,__text  func  abbr
0x0000000272e2fdc0  0x00000090  __TEXT,__text  func  normalize_letters
0x0000000272e2fe50  0x000000e0  __TEXT,__text  func  convert_phone_number
0x0000000272e2ff30  0x000000e8  __TEXT,__text  func  monetary_exp
0x0000000272e30018  0x000000e0  __TEXT,__text  func  acrotest
0x0000000272e300f8  0x00000090  __TEXT,__text  func  convert_lang_digits_to_words
0x0000000272e30188  0x000000a0  __TEXT,__text  func  insert_lang_large_number
0x0000000272e30228  0x00000090  __TEXT,__text  func  convert_single_digit
0x0000000272e302b8  0x00000090  __TEXT,__text  func  convert_double
0x0000000272e30348  0x00000090  __TEXT,__text  func  convert_hundreds
0x0000000272e303d8  0x0000017c  __TEXT,__text  func  convert_monetary_exp
0x0000000272e30554  0x00000090  __TEXT,__text  func  add_point_digits
0x0000000272e305e4  0x000000a0  __TEXT,__text  func  lang_hyphen_between_nums
0x0000000272e30684  0x000000e0  __TEXT,__text  func  insert_spr_phone
0x0000000272e30764  0x00000088  __TEXT,__text  func  breakup_spr_phones
0x0000000272e307ec  0x000000e0  __TEXT,__text  func  lang_specific_SPR
0x0000000272e308cc  0x000000d8  __TEXT,__text  func  strip_clitics
0x0000000272e309a4  0x000000f4  __TEXT,__text  func  gramm_cat_dict_lookup
0x0000000272e30a98  0x000000f0  __TEXT,__text  func  mark_function_word
0x0000000272e30b88  0x000000a0  __TEXT,__text  func  mark_content_word
0x0000000272e30c28  0x00000090  __TEXT,__text  func  disambiguate_functword
0x0000000272e30cb8  0x000000b4  __TEXT,__text  func  disambiguate_content_word
0x0000000272e30d6c  0x000000b4  __TEXT,__text  func  mark_subcategory
0x0000000272e30e20  0x000000a0  __TEXT,__text  func  lang_non_phrasal_comma
0x0000000272e30ec0  0x00000120  __TEXT,__text  func  find_lang_obligatory_phrase
0x0000000272e30fe0  0x00000114  __TEXT,__text  func  find_lang_potential_phrase
0x0000000272e310f4  0x000000e0  __TEXT,__text  func  apply_lang_comma_rules
0x0000000272e311d4  0x000000e4  __TEXT,__text  func  isitWH
0x0000000272e312b8  0x000000e0  __TEXT,__text  func  isitAlt
0x0000000272e31398  0x000000a8  __TEXT,__text  func  adjust_lg_specific_accents
0x0000000272e31440  0x000000d4  __TEXT,__text  func  estimate_lang_nsylls
0x0000000272e31514  0x00000090  __TEXT,__text  func  lang_phrase_level_rules
0x0000000272e315a4  0x0000008c  __TEXT,__text  func  get_nuc_AV
0x0000000272e31630  0x0000007c  __TEXT,__text  func  con_vals
0x0000000272e316ac  0x0000008c  __TEXT,__text  func  nucleus_vals
0x0000000272e31738  0x000000a0  __TEXT,__text  func  do_h_amps
0x0000000272e317d8  0x0000007c  __TEXT,__text  func  find_nucleus
0x0000000272e31854  0x00000090  __TEXT,__text  func  assign_cons_durs
0x0000000272e318e4  0x0000007c  __TEXT,__text  func  assign_nuc_durs
0x0000000272e31960  0x000000b4  __TEXT,__text  func  get_trans_dur
0x0000000272e31a14  0x000000d4  __TEXT,__text  func  prenucl_f0
0x0000000272e31ae8  0x00000010  __TEXT,__text  sub  sub_272e31ae8
0x0000000272e31af8  0x000000d4  __TEXT,__text  func  high_tone
0x0000000272e31bcc  0x00000010  __TEXT,__text  sub  sub_272e31bcc
0x0000000272e31bdc  0x000000d4  __TEXT,__text  func  low_tone
0x0000000272e31cb0  0x00000010  __TEXT,__text  sub  sub_272e31cb0
0x0000000272e31cc0  0x000000d4  __TEXT,__text  func  low_high_star_tone
0x0000000272e31d94  0x00000010  __TEXT,__text  sub  sub_272e31d94
0x0000000272e31da4  0x000000d4  __TEXT,__text  func  low_star_high_tone
0x0000000272e31e78  0x00000010  __TEXT,__text  sub  sub_272e31e78
0x0000000272e31e88  0x000000d4  __TEXT,__text  func  high_low_star_tone
0x0000000272e31f5c  0x00000010  __TEXT,__text  sub  sub_272e31f5c
0x0000000272e31f6c  0x000000d4  __TEXT,__text  func  high_star_low_tone
0x0000000272e32040  0x00000010  __TEXT,__text  sub  sub_272e32040
0x0000000272e32050  0x0000011c  __TEXT,__text  func  postnucl_f0
0x0000000272e3216c  0x00000014  __TEXT,__text  sub  sub_272e3216c
0x0000000272e32180  0x000000d4  __TEXT,__text  func  phr_initial_F0
0x0000000272e32254  0x00000010  __TEXT,__text  sub  sub_272e32254
0x0000000272e32264  0x000000d4  __TEXT,__text  func  position_t_ptrs
0x0000000272e32338  0x00000010  __TEXT,__text  sub  sub_272e32338
0x0000000272e32348  0x000000d4  __TEXT,__text  func  nucl_high_tone
0x0000000272e3241c  0x00000010  __TEXT,__text  sub  sub_272e3241c
0x0000000272e3242c  0x000000d4  __TEXT,__text  func  nucl_low_tone
0x0000000272e32500  0x00000010  __TEXT,__text  sub  sub_272e32500
0x0000000272e32510  0x000000d4  __TEXT,__text  func  nucl_low_high_star_tone
0x0000000272e325e4  0x00000010  __TEXT,__text  sub  sub_272e325e4
