//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/Current/Frameworks/esp.dylib
// arch:    arm64e
// uuid:    7D000384-7039-3BAF-B2B9-64170073EEEE
// text:    0x00000002731e4000
// count:   5250 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002731e48f8  0x00000020  __TEXT,__text  func  fence
0x00000002731e4918  0x000000e0  __TEXT,__text  func  tok_dict
0x00000002731e49f8  0x000000e0  __TEXT,__text  func  char_name
0x00000002731e4ad8  0x00000120  __TEXT,__text  func  abbr
0x00000002731e4bf8  0x00000090  __TEXT,__text  func  normalize_letters
0x00000002731e4c88  0x000000e8  __TEXT,__text  func  monetary_exp
0x00000002731e4d70  0x000000e0  __TEXT,__text  func  acrotest
0x00000002731e4e50  0x00000090  __TEXT,__text  func  convert_lang_digits_to_words
0x00000002731e4ee0  0x00000090  __TEXT,__text  func  convert_single_digit
0x00000002731e4f70  0x00000090  __TEXT,__text  func  convert_double
0x00000002731e5000  0x00000090  __TEXT,__text  func  convert_hundreds
0x00000002731e5090  0x00000090  __TEXT,__text  func  convert_thousands
0x00000002731e5120  0x00000090  __TEXT,__text  func  convert_millions
0x00000002731e51b0  0x00000180  __TEXT,__text  func  convert_monetary_exp
0x00000002731e5330  0x000000e0  __TEXT,__text  func  convert_roman_num
0x00000002731e5410  0x000000cc  __TEXT,__text  func  lang_hyphen_between_nums
0x00000002731e54dc  0x00000090  __TEXT,__text  func  assign_gender_to_number
0x00000002731e556c  0x000000a0  __TEXT,__text  func  adjust_num_in_ordinal
0x00000002731e560c  0x000000e0  __TEXT,__text  func  insert_spr_phone
0x00000002731e56ec  0x00000088  __TEXT,__text  func  breakup_spr_phones
0x00000002731e5774  0x000000e0  __TEXT,__text  func  lang_specific_SPR
0x00000002731e5854  0x000000b4  __TEXT,__text  func  gramm_cat_dict_lookup
0x00000002731e5908  0x00000110  __TEXT,__text  func  mark_function_word
0x00000002731e5a18  0x000000c0  __TEXT,__text  func  mark_content_word
0x00000002731e5ad8  0x00000090  __TEXT,__text  func  disambiguate_functword
0x00000002731e5b68  0x000000b4  __TEXT,__text  func  disambiguate_content_word
0x00000002731e5c1c  0x000000b4  __TEXT,__text  func  mark_subcategory
0x00000002731e5cd0  0x000000a0  __TEXT,__text  func  lang_non_phrasal_comma
0x00000002731e5d70  0x00000120  __TEXT,__text  func  find_lang_obligatory_phrase
0x00000002731e5e90  0x000000e0  __TEXT,__text  func  find_lang_potential_phrase
0x00000002731e5f70  0x000000e0  __TEXT,__text  func  apply_lang_comma_rules
0x00000002731e6050  0x000000e4  __TEXT,__text  func  isitWH
0x00000002731e6134  0x000000e0  __TEXT,__text  func  isitAlt
0x00000002731e6214  0x000000c4  __TEXT,__text  func  adjust_lg_specific_accents
0x00000002731e62d8  0x000000e4  __TEXT,__text  func  estimate_lang_nsylls
0x00000002731e63bc  0x0000007c  __TEXT,__text  func  symbolic_rules
0x00000002731e6438  0x00000090  __TEXT,__text  func  lang_phrase_level_rules
0x00000002731e64c8  0x0000007c  __TEXT,__text  func  get_nuc_AV
0x00000002731e6544  0x0000007c  __TEXT,__text  func  con_vals
0x00000002731e65c0  0x0000007c  __TEXT,__text  func  nucleus_vals
0x00000002731e663c  0x0000007c  __TEXT,__text  func  find_nucleus
0x00000002731e66b8  0x00000090  __TEXT,__text  func  assign_cons_durs
0x00000002731e6748  0x0000007c  __TEXT,__text  func  assign_nuc_durs
0x00000002731e67c4  0x000000b0  __TEXT,__text  func  get_trans_dur
0x00000002731e6874  0x0000007c  __TEXT,__text  func  which_get_non_vowels
0x00000002731e68f0  0x0000007c  __TEXT,__text  func  prenucl_f0
0x00000002731e696c  0x0000007c  __TEXT,__text  func  high_tone
