//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Tightbeam.framework/Versions/A/Tightbeam
// arch:    arm64e
// uuid:    AC90942B-457E-3814-959B-85EFAACBCA58
// text:    0x000000027474d000
// count:   1940 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000027474e3d0  0x00000014  __TEXT,__text  sub  sub_27474e3d0
0x000000027474e3e4  0x0000000c  __TEXT,__text  sub  sub_27474e3e4
0x000000027474e3f0  0x00000014  __TEXT,__text  sub  sub_27474e3f0
0x000000027474e404  0x00000004  __TEXT,__text  sub  sub_27474e404
0x000000027474e408  0x0000002c  __TEXT,__text  sub  sub_27474e408
0x000000027474e434  0x00000004  __TEXT,__text  sub  sub_27474e434
0x000000027474e438  0x00000004  __TEXT,__text  sub  sub_27474e438
0x000000027474e43c  0x00000004  __TEXT,__text  sub  sub_27474e43c
0x000000027474e440  0x00000004  __TEXT,__text  sub  sub_27474e440
0x000000027474e444  0x00000004  __TEXT,__text  sub  sub_27474e444
0x000000027474e448  0x00000004  __TEXT,__text  sub  sub_27474e448
0x000000027474e44c  0x00000004  __TEXT,__text  sub  sub_27474e44c
0x000000027474e450  0x00000020  __TEXT,__text  sub  sub_27474e450
0x000000027474e470  0x0000002c  __TEXT,__text  sub  sub_27474e470
0x000000027474e49c  0x00000004  __TEXT,__text  sub  sub_27474e49c
0x000000027474e4a0  0x00000004  __TEXT,__text  sub  sub_27474e4a0
0x000000027474e4a4  0x00000008  __TEXT,__text  sub  sub_27474e4a4
0x000000027474e4ac  0x00000008  __TEXT,__text  sub  sub_27474e4ac
0x000000027474e4b4  0x00000038  __TEXT,__text  sub  sub_27474e4b4
0x000000027474e4ec  0x00000028  __TEXT,__text  sub  sub_27474e4ec
0x000000027474e514  0x00000038  __TEXT,__text  sub  sub_27474e514
0x000000027474e54c  0x00000038  __TEXT,__text  sub  sub_27474e54c
0x000000027474e584  0x00000004  __TEXT,__text  sub  sub_27474e584
0x000000027474e588  0x00000004  __TEXT,__text  sub  sub_27474e588
0x000000027474e58c  0x00000004  __TEXT,__text  sub  sub_27474e58c
0x000000027474e590  0x00000004  __TEXT,__text  sub  sub_27474e590
0x000000027474e594  0x00000050  __TEXT,__text  sub  sub_27474e594
0x000000027474e5e4  0x00000058  __TEXT,__text  sub  sub_27474e5e4
0x000000027474e63c  0x00000004  __TEXT,__text  sub  sub_27474e63c
0x000000027474e640  0x00000044  __TEXT,__text  sub  sub_27474e640
0x000000027474e684  0x00000028  __TEXT,__text  sub  sub_27474e684
0x000000027474e6ac  0x00000010  __TEXT,__text  sub  sub_27474e6ac
0x000000027474e6bc  0x00000004  __TEXT,__text  sub  sub_27474e6bc
0x000000027474e6c0  0x00000028  __TEXT,__text  sub  sub_27474e6c0
0x000000027474e6e8  0x00000010  __TEXT,__text  sub  sub_27474e6e8
0x000000027474e6f8  0x00000004  __TEXT,__text  sub  sub_27474e6f8
0x000000027474e6fc  0x00000030  __TEXT,__text  sub  sub_27474e6fc
0x000000027474e72c  0x00000030  __TEXT,__text  sub  sub_27474e72c
0x000000027474e75c  0x00000010  __TEXT,__text  sub  sub_27474e75c
0x000000027474e76c  0x00000010  __TEXT,__text  sub  sub_27474e76c
0x000000027474e77c  0x00000004  __TEXT,__text  sub  sub_27474e77c
0x000000027474e780  0x00000004  __TEXT,__text  sub  sub_27474e780
0x000000027474e784  0x00000004  __TEXT,__text  sub  sub_27474e784
0x000000027474e788  0x00000004  __TEXT,__text  sub  sub_27474e788
0x000000027474e78c  0x00000004  __TEXT,__text  sub  sub_27474e78c
0x000000027474e790  0x00000030  __TEXT,__text  sub  sub_27474e790
0x000000027474e7c0  0x00000004  __TEXT,__text  sub  sub_27474e7c0
0x000000027474e7c4  0x00000004  __TEXT,__text  sub  sub_27474e7c4
0x000000027474e7c8  0x00000004  __TEXT,__text  sub  sub_27474e7c8
0x000000027474e7cc  0x00000020  __TEXT,__text  sub  sub_27474e7cc
0x000000027474e7ec  0x00000028  __TEXT,__text  sub  sub_27474e7ec
0x000000027474e814  0x00000010  __TEXT,__text  sub  sub_27474e814
0x000000027474e824  0x000002dc  __TEXT,__text  func  tb_separation_monitor_transport_create_static
0x000000027474eb00  0x0000018c  __TEXT,__text  func  _tb_separation_monitor_transport_send_message
0x000000027474ec8c  0x00000008  __TEXT,__text  func  _tb_separation_monitor_client_transport_activate
