//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/TipKitServices.framework/Versions/A/TipKitServices
// arch:    arm64e
// uuid:    424EFD60-8E09-38AA-B67F-27F5CEBED7A1
// text:    0x00000002749a6000
// count:   199 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002749a7208  0x00000014  __TEXT,__text  sub  sub_2749a7208
0x00000002749a721c  0x00000014  __TEXT,__text  sub  sub_2749a721c
0x00000002749a7230  0x00000028  __TEXT,__text  sub  sub_2749a7230
0x00000002749a7258  0x00000004  __TEXT,__text  sub  sub_2749a7258
0x00000002749a725c  0x00000014  __TEXT,__text  sub  sub_2749a725c
0x00000002749a7270  0x00000014  __TEXT,__text  sub  sub_2749a7270
0x00000002749a7284  0x00000048  __TEXT,__text  sub  sub_2749a7284
0x00000002749a72cc  0x00000004  __TEXT,__text  sub  sub_2749a72cc
0x00000002749a72d0  0x00000038  __TEXT,__text  sub  sub_2749a72d0
0x00000002749a7308  0x00000004  __TEXT,__text  sub  sub_2749a7308
0x00000002749a730c  0x00000004  __TEXT,__text  sub  sub_2749a730c
0x00000002749a7310  0x00000014  __TEXT,__text  sub  sub_2749a7310
0x00000002749a7324  0x00000014  __TEXT,__text  sub  sub_2749a7324
0x00000002749a7338  0x00000024  __TEXT,__text  sub  sub_2749a7338
0x00000002749a735c  0x0000000c  __TEXT,__text  func  +[TipEventProxy donateWithEventIdentifier:bundleIdentifier:completionHandler:]
0x00000002749a7368  0x000000a8  __TEXT,__text  sub  sub_2749a7368
0x00000002749a7410  0x000000f4  __TEXT,__text  sub  sub_2749a7410
0x00000002749a7504  0x00000020  __TEXT,__text  sub  sub_2749a7504
0x00000002749a7524  0x000000ac  __TEXT,__text  sub  sub_2749a7524
0x00000002749a75d0  0x00000004  __TEXT,__text  func  __swift_memcpy0_1
0x00000002749a75d4  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x00000002749a75d8  0x00000050  __TEXT,__text  sub  sub_2749a75d8
0x00000002749a7628  0x0000009c  __TEXT,__text  sub  sub_2749a7628
0x00000002749a76c4  0x00000010  __TEXT,__text  sub  sub_2749a76c4
0x00000002749a76d4  0x00000028  __TEXT,__text  sub  sub_2749a76d4
0x00000002749a76fc  0x000000d0  __TEXT,__text  sub  sub_2749a76fc
0x00000002749a77cc  0x00000040  __TEXT,__text  sub  sub_2749a77cc
0x00000002749a780c  0x0000006c  __TEXT,__text  sub  sub_2749a780c
0x00000002749a7878  0x000000e4  __TEXT,__text  sub  sub_2749a7878
0x00000002749a795c  0x000000c4  __TEXT,__text  sub  sub_2749a795c
0x00000002749a7a20  0x0000009c  __TEXT,__text  sub  sub_2749a7a20
0x00000002749a7abc  0x00000008  __TEXT,__text  sub  sub_2749a7abc
0x00000002749a7ac4  0x00000004  __TEXT,__text  sub  sub_2749a7ac4
0x00000002749a7ac8  0x00000010  __TEXT,__text  sub  sub_2749a7ac8
0x00000002749a7ad8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
