//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/TranslationUI.framework/Versions/A/TranslationUI
// arch:    arm64e
// uuid:    0C1EE385-37E9-364B-842F-D7C7F76A7CEE
// text:    0x0000000275a82000
// count:   4837 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000275a842f8  0x000000c8  __TEXT,__text  sub  sub_275a842f8
0x0000000275a843c0  0x000000c4  __TEXT,__text  sub  sub_275a843c0
0x0000000275a84484  0x00000020  __TEXT,__text  sub  sub_275a84484
0x0000000275a844a4  0x00000028  __TEXT,__text  sub  sub_275a844a4
0x0000000275a844cc  0x00000014  __TEXT,__text  sub  sub_275a844cc
0x0000000275a844e0  0x00000028  __TEXT,__text  sub  sub_275a844e0
0x0000000275a84508  0x00000028  __TEXT,__text  sub  sub_275a84508
0x0000000275a84530  0x0000002c  __TEXT,__text  sub  sub_275a84530
0x0000000275a8455c  0x0000004c  __TEXT,__text  sub  sub_275a8455c
0x0000000275a845a8  0x00000028  __TEXT,__text  sub  sub_275a845a8
0x0000000275a845d0  0x00000028  __TEXT,__text  sub  sub_275a845d0
0x0000000275a845f8  0x00000004  __TEXT,__text  sub  sub_275a845f8
0x0000000275a845fc  0x00000004  __TEXT,__text  sub  sub_275a845fc
0x0000000275a84600  0x00000460  __TEXT,__text  sub  sub_275a84600
0x0000000275a84a60  0x000000b4  __TEXT,__text  sub  sub_275a84a60
0x0000000275a84b14  0x000000a8  __TEXT,__text  sub  sub_275a84b14
0x0000000275a84bbc  0x00000004  __TEXT,__text  sub  sub_275a84bbc
0x0000000275a84bc0  0x00000030  __TEXT,__text  sub  sub_275a84bc0
0x0000000275a84bf0  0x00000028  __TEXT,__text  sub  sub_275a84bf0
0x0000000275a84c18  0x00000010  __TEXT,__text  sub  sub_275a84c18
0x0000000275a84c28  0x00000044  __TEXT,__text  sub  sub_275a84c28
0x0000000275a84c6c  0x00000004  __TEXT,__text  sub  sub_275a84c6c
0x0000000275a84c70  0x00000004  __TEXT,__text  sub  sub_275a84c70
0x0000000275a84c74  0x00000064  __TEXT,__text  sub  sub_275a84c74
0x0000000275a84cd8  0x00000014  __TEXT,__text  sub  sub_275a84cd8
0x0000000275a84cec  0x00000004  __TEXT,__text  sub  sub_275a84cec
0x0000000275a84cf0  0x00000004  __TEXT,__text  sub  sub_275a84cf0
0x0000000275a84cf4  0x00000008  __TEXT,__text  sub  sub_275a84cf4
0x0000000275a84cfc  0x00000008  __TEXT,__text  sub  sub_275a84cfc
0x0000000275a84d04  0x00000038  __TEXT,__text  sub  sub_275a84d04
0x0000000275a84d3c  0x00000038  __TEXT,__text  sub  sub_275a84d3c
0x0000000275a84d74  0x00000004  __TEXT,__text  sub  sub_275a84d74
0x0000000275a84d78  0x0000002c  __TEXT,__text  sub  sub_275a84d78
0x0000000275a84da4  0x00000004  __TEXT,__text  sub  sub_275a84da4
0x0000000275a84da8  0x00000004  __TEXT,__text  sub  sub_275a84da8
0x0000000275a84dac  0x00000004  __TEXT,__text  sub  sub_275a84dac
0x0000000275a84db0  0x00000004  __TEXT,__text  sub  sub_275a84db0
0x0000000275a84db4  0x00000004  __TEXT,__text  sub  sub_275a84db4
0x0000000275a84db8  0x00000010  __TEXT,__text  sub  sub_275a84db8
0x0000000275a84dc8  0x00000010  __TEXT,__text  sub  sub_275a84dc8
0x0000000275a84dd8  0x0000005c  __TEXT,__text  sub  sub_275a84dd8
0x0000000275a84e34  0x00000004  __TEXT,__text  sub  sub_275a84e34
0x0000000275a84e38  0x00000058  __TEXT,__text  sub  sub_275a84e38
0x0000000275a84e90  0x00000004  __TEXT,__text  sub  sub_275a84e90
0x0000000275a84e94  0x00000020  __TEXT,__text  sub  sub_275a84e94
0x0000000275a84eb4  0x00000020  __TEXT,__text  sub  sub_275a84eb4
0x0000000275a84ed4  0x00000020  __TEXT,__text  sub  sub_275a84ed4
0x0000000275a84ef4  0x00000020  __TEXT,__text  sub  sub_275a84ef4
0x0000000275a84f14  0x00000064  __TEXT,__text  sub  sub_275a84f14
0x0000000275a84f78  0x00000068  __TEXT,__text  sub  sub_275a84f78
0x0000000275a84fe0  0x00000038  __TEXT,__text  sub  sub_275a84fe0
0x0000000275a85018  0x00000038  __TEXT,__text  sub  sub_275a85018
0x0000000275a85050  0x00000008  __TEXT,__text  sub  sub_275a85050
0x0000000275a85058  0x00000038  __TEXT,__text  sub  sub_275a85058
0x0000000275a85090  0x00000004  __TEXT,__text  sub  sub_275a85090
0x0000000275a85094  0x00000004  __TEXT,__text  sub  sub_275a85094
0x0000000275a85098  0x00000004  __TEXT,__text  sub  sub_275a85098
0x0000000275a8509c  0x00000004  __TEXT,__text  sub  sub_275a8509c
0x0000000275a850a0  0x00000004  __TEXT,__text  sub  sub_275a850a0
0x0000000275a850a4  0x00000004  __TEXT,__text  sub  sub_275a850a4
0x0000000275a850a8  0x00000004  __TEXT,__text  sub  sub_275a850a8
0x0000000275a850ac  0x00000030  __TEXT,__text  sub  sub_275a850ac
0x0000000275a850dc  0x00000030  __TEXT,__text  sub  sub_275a850dc
0x0000000275a8510c  0x00000008  __TEXT,__text  sub  sub_275a8510c
