//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Versions/A/Libraries/libAWDSupportFramework.dylib
// arch:    arm64e
// uuid:    D8238BBB-BB83-3938-A226-EAF18D389247
// text:    0x00000001a1ed7000
// count:   24080 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001a1ed7cf8  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setRedirectCount:]  // -[AWDCFNetworkW3CNavigationTiming hasLocatorPeerAddress]
0x00000001a1ed7d1c  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setIsReused:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed7d40  0x0000000c  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setHostname:]  // -[AWDCFNetworkW3CNavigationTiming ]
0x00000001a1ed7d4c  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setIsCellular:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed7d70  0x0000000c  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setProcname:]  // -[AWDCFNetworkW3CNavigationTiming S?kc]
0x00000001a1ed7d7c  0x00000014  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming hasTimestamp]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed7d90  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setTimestamp:]  // -[AWDCFNetworkW3CNavigationTiming )]
0x00000001a1ed7db4  0x000002e4  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming writeTo:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed8098  0x00000064  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming dealloc]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed80fc  0x0000000c  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setUrl:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed8108  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setDomainLookupStart:]  // -[AWDCFNetworkW3CNavigationTiming ]
0x00000001a1ed812c  0x00000010  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming domainLookupStart]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed813c  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setDomainLookupEnd:]  // -[AWDCFNetworkW3CNavigationTiming numOutOfOrdersCount]
0x00000001a1ed8160  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setConnectStart:]  // -[AWDCFNetworkW3CNavigationTiming s]
0x00000001a1ed8184  0x00000010  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming connectStart]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed8194  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setConnectEnd:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed81b8  0x00000010  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming connectEnd]  // -[AWDCFNetworkW3CNavigationTiming VGRSSI"b1"wifiWifiEstThoughtputConfidence"b1"fr2DBRecommendation"b1"highThermalTemperatureNotification"b1}]
0x00000001a1ed81c8  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setSecureConnectionStart:]  // -[AWDCFNetworkW3CNavigationTiming ?]
0x00000001a1ed81ec  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setRequestStart:]  // -[AWDCFNetworkW3CNavigationTiming AWDIDSWRMLinkRecommendation]
0x00000001a1ed8210  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setResponseStart:]  // -[AWDCFNetworkW3CNavigationTiming setHasServerModeDuration:]
0x00000001a1ed8234  0x00000024  __TEXT,__text  objc  -[AWDCFNetworkW3CNavigationTiming setResponseEnd:]  // -[AWDCFNetworkW3CNavigationTiming ]
0x00000001a1ed8258  0x00000064  __TEXT,__text  sub  sub_1a1ed8258
0x00000001a1ed82bc  0x00000038  __TEXT,__text  sub  sub_1a1ed82bc
0x00000001a1ed82f4  0x00000038  __TEXT,__text  sub  sub_1a1ed82f4
0x00000001a1ed832c  0x00000044  __TEXT,__text  sub  sub_1a1ed832c
0x00000001a1ed8370  0x0000004c  __TEXT,__text  sub  sub_1a1ed8370
0x00000001a1ed83bc  0x00000030  __TEXT,__text  sub  sub_1a1ed83bc
0x00000001a1ed83ec  0x00000030  __TEXT,__text  sub  sub_1a1ed83ec
0x00000001a1ed841c  0x0000002c  __TEXT,__text  sub  sub_1a1ed841c
0x00000001a1ed8448  0x00000040  __TEXT,__text  sub  sub_1a1ed8448
0x00000001a1ed8488  0x00000028  __TEXT,__text  sub  sub_1a1ed8488
0x00000001a1ed84b0  0x00000030  __TEXT,__text  sub  sub_1a1ed84b0
0x00000001a1ed84e0  0x000000a0  __TEXT,__text  sub  sub_1a1ed84e0
0x00000001a1ed8580  0x000000a0  __TEXT,__text  sub  sub_1a1ed8580
0x00000001a1ed8620  0x00000028  __TEXT,__text  sub  sub_1a1ed8620
0x00000001a1ed8648  0x00000030  __TEXT,__text  sub  sub_1a1ed8648
0x00000001a1ed8678  0x00000054  __TEXT,__text  sub  sub_1a1ed8678
0x00000001a1ed86cc  0x00000038  __TEXT,__text  sub  sub_1a1ed86cc
0x00000001a1ed8704  0x0000002c  __TEXT,__text  sub  sub_1a1ed8704
0x00000001a1ed8730  0x0000002c  __TEXT,__text  sub  sub_1a1ed8730
0x00000001a1ed875c  0x0000002c  __TEXT,__text  sub  sub_1a1ed875c
0x00000001a1ed8788  0x00000028  __TEXT,__text  sub  sub_1a1ed8788
0x00000001a1ed87b0  0x00000058  __TEXT,__text  sub  sub_1a1ed87b0
0x00000001a1ed8808  0x00000060  __TEXT,__text  sub  sub_1a1ed8808
0x00000001a1ed8868  0x00000028  __TEXT,__text  sub  sub_1a1ed8868
0x00000001a1ed8890  0x00000048  __TEXT,__text  sub  sub_1a1ed8890
0x00000001a1ed88d8  0x00000050  __TEXT,__text  sub  sub_1a1ed88d8
0x00000001a1ed8928  0x0000002c  __TEXT,__text  sub  sub_1a1ed8928
0x00000001a1ed8954  0x00000030  __TEXT,__text  sub  sub_1a1ed8954
0x00000001a1ed8984  0x0000002c  __TEXT,__text  sub  sub_1a1ed8984
0x00000001a1ed89b0  0x0000002c  __TEXT,__text  sub  sub_1a1ed89b0
0x00000001a1ed89dc  0x0000004c  __TEXT,__text  sub  sub_1a1ed89dc
0x00000001a1ed8a28  0x000000bc  __TEXT,__text  sub  sub_1a1ed8a28
0x00000001a1ed8ae4  0x00000078  __TEXT,__text  sub  sub_1a1ed8ae4
0x00000001a1ed8b5c  0x00000028  __TEXT,__text  sub  sub_1a1ed8b5c
0x00000001a1ed8b84  0x000000c4  __TEXT,__text  sub  sub_1a1ed8b84
0x00000001a1ed8c48  0x00000050  __TEXT,__text  sub  sub_1a1ed8c48
0x00000001a1ed8c98  0x0000002c  __TEXT,__text  sub  sub_1a1ed8c98
0x00000001a1ed8cc4  0x00000028  __TEXT,__text  sub  sub_1a1ed8cc4
0x00000001a1ed8cec  0x00000048  __TEXT,__text  sub  sub_1a1ed8cec
0x00000001a1ed8d34  0x000000ac  __TEXT,__text  sub  sub_1a1ed8d34
0x00000001a1ed8de0  0x00000028  __TEXT,__text  sub  sub_1a1ed8de0
0x00000001a1ed8e08  0x00000138  __TEXT,__text  sub  sub_1a1ed8e08
0x00000001a1ed8f40  0x00000030  __TEXT,__text  sub  sub_1a1ed8f40
0x00000001a1ed8f70  0x00000030  __TEXT,__text  sub  sub_1a1ed8f70
0x00000001a1ed8fa0  0x00000030  __TEXT,__text  sub  sub_1a1ed8fa0
0x00000001a1ed8fd0  0x00000030  __TEXT,__text  sub  sub_1a1ed8fd0
0x00000001a1ed9000  0x00000030  __TEXT,__text  sub  sub_1a1ed9000
0x00000001a1ed9030  0x0000004c  __TEXT,__text  sub  sub_1a1ed9030
0x00000001a1ed907c  0x0000002c  __TEXT,__text  sub  sub_1a1ed907c
0x00000001a1ed90a8  0x00000058  __TEXT,__text  sub  sub_1a1ed90a8
0x00000001a1ed9100  0x0000008c  __TEXT,__text  sub  sub_1a1ed9100
0x00000001a1ed918c  0x00000060  __TEXT,__text  sub  sub_1a1ed918c
0x00000001a1ed91ec  0x000000a0  __TEXT,__text  sub  sub_1a1ed91ec
0x00000001a1ed928c  0x00000068  __TEXT,__text  sub  sub_1a1ed928c
0x00000001a1ed92f4  0x0000003c  __TEXT,__text  sub  sub_1a1ed92f4
0x00000001a1ed9330  0x00000034  __TEXT,__text  sub  sub_1a1ed9330
0x00000001a1ed9364  0x00000034  __TEXT,__text  sub  sub_1a1ed9364
0x00000001a1ed9398  0x0000006c  __TEXT,__text  sub  sub_1a1ed9398
0x00000001a1ed9404  0x00000040  __TEXT,__text  sub  sub_1a1ed9404
0x00000001a1ed9444  0x00000028  __TEXT,__text  sub  sub_1a1ed9444
0x00000001a1ed946c  0x00000044  __TEXT,__text  sub  sub_1a1ed946c
0x00000001a1ed94b0  0x00000030  __TEXT,__text  sub  sub_1a1ed94b0
0x00000001a1ed94e0  0x00000038  __TEXT,__text  sub  sub_1a1ed94e0
0x00000001a1ed9518  0x00000054  __TEXT,__text  sub  sub_1a1ed9518
0x00000001a1ed956c  0x0000018c  __TEXT,__text  sub  sub_1a1ed956c
0x00000001a1ed96f8  0x00000038  __TEXT,__text  sub  sub_1a1ed96f8
0x00000001a1ed9730  0x00000030  __TEXT,__text  sub  sub_1a1ed9730
0x00000001a1ed9760  0x00000028  __TEXT,__text  sub  sub_1a1ed9760
0x00000001a1ed9788  0x00000034  __TEXT,__text  sub  sub_1a1ed9788
0x00000001a1ed97bc  0x00000044  __TEXT,__text  sub  sub_1a1ed97bc
0x00000001a1ed9800  0x00000034  __TEXT,__text  sub  sub_1a1ed9800
0x00000001a1ed9834  0x00000070  __TEXT,__text  sub  sub_1a1ed9834
0x00000001a1ed98a4  0x00000030  __TEXT,__text  sub  sub_1a1ed98a4
0x00000001a1ed98d4  0x00000040  __TEXT,__text  sub  sub_1a1ed98d4
0x00000001a1ed9914  0x00000030  __TEXT,__text  sub  sub_1a1ed9914
0x00000001a1ed9944  0x00000050  __TEXT,__text  sub  sub_1a1ed9944
0x00000001a1ed9994  0x00000040  __TEXT,__text  sub  sub_1a1ed9994
