//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/XPCSupport.framework/Versions/A/XPCSupport
// arch:    arm64e
// uuid:    81968438-D94B-390B-A84D-81670E800F3C
// text:    0x000000027d9b2000
// count:   35 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000027d9b2b40  0x00000334  __TEXT,__text  func  xpc_support_copy_bundle_path
0x000000027d9b2e74  0x000000ac  __TEXT,__text  sub  sub_27d9b2e74
0x000000027d9b2f20  0x00000040  __TEXT,__text  sub  sub_27d9b2f20
0x000000027d9b2f60  0x00000030  __TEXT,__text  sub  sub_27d9b2f60
0x000000027d9b2f90  0x00000024  __TEXT,__text  sub  sub_27d9b2f90
0x000000027d9b2fb4  0x0000000c  __TEXT,__text  sub  sub_27d9b2fb4
0x000000027d9b2fc0  0x00000230  __TEXT,__text  func  xpc_support_evaluate_connection
0x000000027d9b31f0  0x000000c0  __TEXT,__text  sub  sub_27d9b31f0
0x000000027d9b32b0  0x000001d4  __TEXT,__text  func  xpc_support_check_token
0x000000027d9b3484  0x00000018  __TEXT,__text  sub  sub_27d9b3484
0x000000027d9b349c  0x00000014  __TEXT,__text  sub  sub_27d9b349c
0x000000027d9b34b0  0x00000014  __TEXT,__text  sub  sub_27d9b34b0
0x000000027d9b34c4  0x00000038  __TEXT,__text  func  xpc_support_relax_roleaccount_policy
0x000000027d9b34fc  0x00000078  __TEXT,__text  sub  sub_27d9b34fc
0x000000027d9b3574  0x00000020  __TEXT,__text  sub  sub_27d9b3574
0x000000027d9b3594  0x00000090  __TEXT,__text  sub  sub_27d9b3594
0x000000027d9b3624  0x00000018  __TEXT,__text  sub  sub_27d9b3624
0x000000027d9b363c  0x000000bc  __TEXT,__text  sub  sub_27d9b363c
0x000000027d9b36f8  0x0000003c  __TEXT,__text  sub  sub_27d9b36f8
0x000000027d9b3734  0x00000108  __TEXT,__text  sub  sub_27d9b3734
0x000000027d9b383c  0x00000084  __TEXT,__text  sub  sub_27d9b383c
0x000000027d9b38c0  0x000000d0  __TEXT,__text  sub  sub_27d9b38c0
0x000000027d9b3990  0x00000014  __TEXT,__text  sub  sub_27d9b3990
0x000000027d9b39a4  0x0000003c  __TEXT,__text  sub  sub_27d9b39a4
0x000000027d9b39e0  0x00000024  __TEXT,__text  sub  sub_27d9b39e0
0x000000027d9b3a04  0x0000002c  __TEXT,__text  sub  sub_27d9b3a04
0x000000027d9b3a30  0x000000ac  __TEXT,__text  sub  sub_27d9b3a30
0x000000027d9b3adc  0x00000050  __TEXT,__text  sub  sub_27d9b3adc
0x000000027d9b3b2c  0x00000020  __TEXT,__text  sub  sub_27d9b3b2c
0x000000027d9b3b4c  0x00000070  __TEXT,__text  sub  sub_27d9b3b4c
0x000000027d9b3bbc  0x00000064  __TEXT,__text  sub  sub_27d9b3bbc
0x000000027d9b3c20  0x00000014  __TEXT,__text  sub  sub_27d9b3c20
0x000000027d9b3c34  0x00000048  __TEXT,__text  sub  sub_27d9b3c34
0x000000027d9b3c7c  0x000000ac  __TEXT,__text  sub  sub_27d9b3c7c
0x000000027d9b3d28  0x00000000  __TEXT,__text  sub  sub_27d9b3d28
