//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/acfs.framework/Versions/A/acfs
// arch:    arm64e
// uuid:    200BF785-E807-3E60-A9B6-B2C2A190061B
// text:    0x000000027dfaf000
// count:   284 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000027dfafd00  0x0000019c  __TEXT,__text  func  xs_sha1_fd
0x000000027dfafe9c  0x00000160  __TEXT,__text  func  xs_replace_file_get_src
0x000000027dfafffc  0x0000006c  __TEXT,__text  func  _xs_replace_file_verify_path
0x000000027dfb0068  0x00000020  __TEXT,__text  func  xs_replace_file_set_permissions
0x000000027dfb0088  0x000001b8  __TEXT,__text  func  xs_replace_file_get_dst
0x000000027dfb0240  0x000000cc  __TEXT,__text  func  _xs_replace_file_set_permissions
0x000000027dfb030c  0x00000290  __TEXT,__text  func  xs_replace_file_commit
0x000000027dfb059c  0x000000e4  __TEXT,__text  func  xs_replace_file_open
0x000000027dfb0680  0x00000068  __TEXT,__text  func  xs_replace_file_close
0x000000027dfb06e8  0x000000dc  __TEXT,__text  func  newXsanConfig
0x000000027dfb07c4  0x00000050  __TEXT,__text  func  getXsanConfigForConfig
0x000000027dfb0814  0x000001e4  __TEXT,__text  func  getXsanConfig
0x000000027dfb09f8  0x0000004c  __TEXT,__text  func  ldapSanConfNameForName
0x000000027dfb0a44  0x00000060  __TEXT,__text  func  createNewXsanConfigForConfig
0x000000027dfb0aa4  0x000000a0  __TEXT,__text  func  createNewXsanConfig
0x000000027dfb0b44  0x00000414  __TEXT,__text  func  doCreateOrSaveConfig
0x000000027dfb0f58  0x000000e8  __TEXT,__text  func  saveXsanConfig
0x000000027dfb1040  0x000001a0  __TEXT,__text  func  destroyXsanConfig
0x000000027dfb11e0  0x000000d0  __TEXT,__text  func  redactXsanSecrets
0x000000027dfb12b0  0x000000bc  __TEXT,__text  func  cullXsanConfig
0x000000027dfb136c  0x0000004c  __TEXT,__text  func  ldapSanUserNameForName
0x000000027dfb13b8  0x00000184  __TEXT,__text  func  findAndZap
0x000000027dfb153c  0x00000174  __TEXT,__text  func  clearVolumeLockout
0x000000027dfb16b0  0x00000014  __TEXT,__text  func  loadConfigPlist
0x000000027dfb16c4  0x00000010  __TEXT,__text  func  saveConfigPlist
0x000000027dfb16d4  0x00000130  __TEXT,__text  func  xsan_controller_from_ip
0x000000027dfb1804  0x00000020  __TEXT,__text  func  getOurUUID
0x000000027dfb1824  0x000000c0  __TEXT,__text  func  fillInOurUUID
0x000000027dfb18e4  0x00000038  __TEXT,__text  func  configPlistIsController
0x000000027dfb191c  0x00000008  __TEXT,__text  func  configPlistIsMaster
0x000000027dfb1924  0x00000070  __TEXT,__text  func  configPlistIsZombie
0x000000027dfb1994  0x00000090  __TEXT,__text  func  calculateMachineIPMap
0x000000027dfb1a24  0x00000058  __TEXT,__text  func  __calculateMachineIPMap_block_invoke
0x000000027dfb1a7c  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
0x000000027dfb1a8c  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32o
0x000000027dfb1a98  0x00000180  __TEXT,__text  func  migrateComputersToControllers
0x000000027dfb1c18  0x000000c4  __TEXT,__text  func  getHostedVolumeList
0x000000027dfb1cdc  0x000001b0  __TEXT,__text  func  getLockoutRequests
0x000000027dfb1e8c  0x00000030  __TEXT,__text  func  __getLockoutRequests_block_invoke
0x000000027dfb1ebc  0x00000128  __TEXT,__text  func  clearLockoutRequests
0x000000027dfb1fe4  0x00000054  __TEXT,__text  func  buildRevisionStringFromConfig
0x000000027dfb2038  0x00000084  __TEXT,__text  func  getLegacyHostname
0x000000027dfb20bc  0x0000004c  __TEXT,__text  func  ldapSanAccessNameForName
0x000000027dfb2108  0x00000080  __TEXT,__text  func  ldapSanNameForName
0x000000027dfb2188  0x00000120  __TEXT,__text  func  redactXsanSecretsWithHash
0x000000027dfb22a8  0x00000118  __TEXT,__text  func  sha512MeBaby
0x000000027dfb23c0  0x0000000c  __TEXT,__text  func  xsand_make_mount_for_dict
0x000000027dfb23cc  0x00000070  __TEXT,__text  func  xsand_make_mount_for_dict_and_path
0x000000027dfb243c  0x0000012c  __TEXT,__text  func  initNewConfigFile
0x000000027dfb2568  0x00000288  __TEXT,__text  func  xsand_make_mount_for_dict_and_node
0x000000027dfb27f0  0x00000110  __TEXT,__text  func  closeNewConfigFile
0x000000027dfb2900  0x00000014  __TEXT,__text  func  xsan_migrate_automount
0x000000027dfb2914  0x00000130  __TEXT,__text  func  xsan_migrate_automount_with_paths
0x000000027dfb2a44  0x00000040  __TEXT,__text  func  __xsan_migrate_automount_with_paths_block_invoke
0x000000027dfb2a84  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x000000027dfb2a94  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x000000027dfb2aa0  0x00000838  __TEXT,__text  func  xsan_upgrade
0x000000027dfb32d8  0x00000074  __TEXT,__text  func  buildXsanDirs
