//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/acfsSupport.framework/Versions/A/acfsSupport
// arch:    arm64e
// uuid:    5BE2C08B-4610-36BB-A725-9F739281FF68
// text:    0x000000027dfbe000
// count:   397 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000027dfc29c8  0x0000000c  __TEXT,__text  func  xsanSetCrashLogThread
0x000000027dfc29d4  0x00000004  __TEXT,__text  func  support_RegisterIdleCallback
0x000000027dfc29d8  0x00000004  __TEXT,__text  func  support_MPIOCopyLogicalUnits
0x000000027dfc29dc  0x00000004  __TEXT,__text  func  support_MPIOCopyLogicalUnitForRegistryEntry
0x000000027dfc29e0  0x00000004  __TEXT,__text  func  support_MDSChannelPeerCreate
0x000000027dfc29e4  0x00000004  __TEXT,__text  func  support_MDSChannelAccessTokenCreate
0x000000027dfc29e8  0x00000004  __TEXT,__text  func  support_MDSChannelPeerFetchAccessTokenForUID
0x000000027dfc29ec  0x00000008  __TEXT,__text  func  support_MDSGetTokenID
0x000000027dfc29f4  0x00000004  __TEXT,__text  func  support_MDSChannelPeerRequest
0x000000027dfc29f8  0x00000004  __TEXT,__text  func  support_MDSChannelPeerFirstReplyChunk
0x000000027dfc29fc  0x00000004  __TEXT,__text  func  support_MDSChannelPeerNextReplyChunk
0x000000027dfc2a00  0x00000004  __TEXT,__text  func  support_MDPlistBytesCreate
0x000000027dfc2a04  0x00000004  __TEXT,__text  func  support_MDConfigCreateStore
0x000000027dfc2a08  0x00000004  __TEXT,__text  func  support_MDConfigCopyStoreAttributes
0x000000027dfc2a0c  0x00000004  __TEXT,__text  func  support_MDConfigCopyStorePaths
0x000000027dfc2a10  0x00000004  __TEXT,__text  func  support_MDRequestVolumeRecycle
0x000000027dfc2a14  0x00000004  __TEXT,__text  func  support_MDConfigSetStoreAttributes
0x000000027dfc2a18  0x00000004  __TEXT,__text  func  support_RemoveProfilesWithXsanPayloads
0x000000027dfc2a1c  0x00000004  __TEXT,__text  func  support_CP_InstallSystemProfileData
0x000000027dfc2a20  0x00000018  __TEXT,__text  func  supportIsXsanCapable
0x000000027dfc2a38  0x00000054  __TEXT,__text  func  support_isODRunning
0x000000027dfc2a8c  0x00000058  __TEXT,__text  func  -[XsanOSTransaction initWithTitle:]
0x000000027dfc2ae4  0x00000038  __TEXT,__text  func  +[XsanOSTransaction newWithTitle:]
0x000000027dfc2b1c  0x0000000c  __TEXT,__text  func  -[XsanOSTransaction ourTask]
0x000000027dfc2b28  0x00000008  __TEXT,__text  func  -[XsanOSTransaction setOurTask:]
0x000000027dfc2b30  0x000000c8  __TEXT,__text  func  +[NSDictionary(SANStringAdditions) responseDictionaryWithError:]
0x000000027dfc2bf8  0x000000b4  __TEXT,__text  func  +[NSDictionary(SANStringAdditions) responseDictionaryWithString:]
0x000000027dfc2cac  0x000000ac  __TEXT,__text  func  +[NSString(SANStringAdditions) stringForIPv6Address:]
0x000000027dfc2d58  0x000000d8  __TEXT,__text  func  -[NSString(SANStringAdditions) stringByStrippingTrailingWhitespace]
0x000000027dfc2e30  0x000000c4  __TEXT,__text  func  -[NSString(SANStringAdditions) ipAddressIsInSubnet:]
0x000000027dfc2ef4  0x0000000c  __TEXT,__text  func  -[NSString(SANStringAdditions) ipAddressIsSelfAssigned]
0x000000027dfc2f00  0x0000006c  __TEXT,__text  func  -[XsanControllerBrowser init]
0x000000027dfc2f6c  0x00000054  __TEXT,__text  func  -[XsanControllerBrowser dealloc]
0x000000027dfc2fc0  0x0000005c  __TEXT,__text  func  -[XsanControllerBrowser startControllerDiscovery]
0x000000027dfc301c  0x00000040  __TEXT,__text  func  -[XsanControllerBrowser getControllers]
0x000000027dfc305c  0x00000008  __TEXT,__text  func  -[XsanControllerBrowser stopControllerDiscovery]
0x000000027dfc3064  0x0000005c  __TEXT,__text  func  -[XsanControllerBrowser netServiceBrowser:didFindService:moreComing:]
0x000000027dfc30c0  0x00000068  __TEXT,__text  func  -[XsanControllerBrowser netServiceBrowser:didRemoveService:moreComing:]
0x000000027dfc3128  0x00000298  __TEXT,__text  func  -[XsanControllerBrowser netServiceDidResolveAddress:]
0x000000027dfc33c0  0x00000074  __TEXT,__text  func  -[XsanControllerBrowser netService:didNotResolve:]
0x000000027dfc3434  0x0000000c  __TEXT,__text  func  -[XsanControllerBrowser netServiceDidStop:]
0x000000027dfc3440  0x0000035c  __TEXT,__text  func  get_and_lock_context_with_timeout
0x000000027dfc379c  0x00000008  __TEXT,__text  func  get_and_lock_context
0x000000027dfc37a4  0x00000214  __TEXT,__text  func  set_and_unlock_context
0x000000027dfc39b8  0x000000d8  __TEXT,__text  func  add_user_to_dict
0x000000027dfc3a90  0x0000007c  __TEXT,__text  func  remove_user_from_dict
0x000000027dfc3b0c  0x00000090  __TEXT,__text  func  get_str_value_for_key
0x000000027dfc3b9c  0x00000084  __TEXT,__text  func  add_key_value_to_dict
0x000000027dfc3c20  0x00000060  __TEXT,__text  func  remove_key_from_dict
