//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/AccessibilityBundles/AddressBook-Assistant.axbundle/Contents/MacOS/AddressBook-Assistant
// arch:    arm64e
// uuid:    2E73B4AB-4A92-35DA-8E03-80723D872F12
// text:    0x0000000287138000
// count:   21 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000287138cb8  0x00000008  __TEXT,__text  objc  +[AddressBookUIAssistantGlue accessibilityBundles]  // +[AddressBookUIAssistantGlue ?]
0x0000000287138cc0  0x00000098  __TEXT,__text  objc  +[AddressBookUIAssistantGlue accessibilityInitializeBundle]  // +[AddressBookUIAssistantGlue ?]
0x0000000287138d58  0x00000008  __TEXT,__text  func  __59+[AddressBookUIAssistantGlue accessibilityInitializeBundle]_block_invoke
0x0000000287138d60  0x00000064  __TEXT,__text  func  __59+[AddressBookUIAssistantGlue accessibilityInitializeBundle]_block_invoke_2
0x0000000287138dc4  0x00000014  __TEXT,__text  func  __59+[AddressBookUIAssistantGlue accessibilityInitializeBundle]_block_invoke_3
0x0000000287138dd8  0x000000b8  __TEXT,__text  func  accessibilityLocalizedString
0x0000000287138e90  0x0000000c  __TEXT,__text  objc  +[CNAssistantSnippetViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[CNAssistantSnippetViewAccessibility ?]
0x0000000287138e9c  0x0000000c  __TEXT,__text  objc  +[CNAssistantSnippetViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[CNAssistantSnippetViewAccessibility ]
0x0000000287138ea8  0x00000098  __TEXT,__text  objc  -[CNAssistantSnippetViewAccessibility isAccessibilityElement]  // -[CNAssistantSnippetViewAccessibility ?]
0x0000000287138f40  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_AddressBookUIAssistantGlue
0x0000000287138f60  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_CNAssistantSnippetViewAccessibility(SafeCategory)
0x0000000287138f80  0x00000380  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_CNAssistantSnippetViewAccessibility
0x0000000287139300  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleForClass:
0x0000000287139320  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$init
0x0000000287139340  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$installSafeCategory:canInteractWithTargetClass:
0x0000000287139360  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localizedStringForKey:value:table:
0x0000000287139380  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$performValidations:withPreValidationHandler:postValidationHandler:safeCategoryInstallationHandler:
0x00000002871393a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setDebugBuild:
0x00000002871393c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setOverrideProcessName:
0x00000002871393e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setValidationTargetName:
0x0000000287139400  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$sharedInstance
