//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/HealthKit.axbundle/Contents/MacOS/HealthKit
// arch:    arm64e
// uuid:    54B6E43F-854F-3786-85D8-DD1D22D37515
// text:    0x000000028726e000
// count:   48 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000028726ef00  0x0000000c  __TEXT,__text  objc  +[HKActivitySummaryAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[HKActivitySummaryAccessibility ]
0x000000028726ef0c  0x0000000c  __TEXT,__text  objc  +[HKActivitySummaryAccessibility(SafeCategory) safeCategoryBaseClass]  // +[HKActivitySummaryAccessibility V]
0x000000028726ef18  0x00000004  __TEXT,__text  objc  +[HKActivitySummaryAccessibility _accessibilityPerformValidations:]  // +[HKActivitySummaryAccessibility ?]
0x000000028726ef1c  0x00000398  __TEXT,__text  objc  -[HKActivitySummaryAccessibility accessibilityLabel]  // -[HKActivitySummaryAccessibility ]
0x000000028726f2b4  0x00000098  __TEXT,__text  objc  +[AXHealthKitGlue accessibilityInitializeBundle]  // +[AXHealthKitGlue ?]
0x000000028726f34c  0x00000008  __TEXT,__text  func  __48+[AXHealthKitGlue accessibilityInitializeBundle]_block_invoke
0x000000028726f354  0x00000064  __TEXT,__text  func  __48+[AXHealthKitGlue accessibilityInitializeBundle]_block_invoke_2
0x000000028726f3b8  0x00000064  __TEXT,__text  func  __48+[AXHealthKitGlue accessibilityInitializeBundle]_block_invoke_3
0x000000028726f41c  0x000000b8  __TEXT,__text  func  accessibilityLocalizedString
0x000000028726f4d4  0x0000000c  __TEXT,__text  objc  +[HKUnitPreferenceControllerAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[HKUnitPreferenceControllerAccessibility !l9]
0x000000028726f4e0  0x0000000c  __TEXT,__text  objc  +[HKUnitPreferenceControllerAccessibility(SafeCategory) safeCategoryBaseClass]  // +[HKUnitPreferenceControllerAccessibility ]
0x000000028726f4ec  0x00000040  __TEXT,__text  objc  +[HKUnitPreferenceControllerAccessibility _accessibilityPerformValidations:]  // +[HKUnitPreferenceControllerAccessibility ?]
0x000000028726f52c  0x00000180  __TEXT,__text  objc  -[HKUnitPreferenceControllerAccessibility accessibilityNameForObjectType:]  // -[HKUnitPreferenceControllerAccessibility ]
0x000000028726f6ac  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000028726f6bc  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000028726f6c4  0x00000054  __TEXT,__text  func  __74-[HKUnitPreferenceControllerAccessibility accessibilityNameForObjectType:]_block_invoke
0x000000028726f718  0x00000288  __TEXT,__text  objc  -[HKUnitPreferenceControllerAccessibility _accessibilityNameForUnit:]  // -[HKUnitPreferenceControllerAccessibility ?]
0x000000028726f9a0  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_AXHealthKitGlue
0x000000028726f9b8  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_HKActivitySummaryAccessibility(SafeCategory)
0x000000028726f9e8  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_HKUnitPreferenceControllerAccessibility(SafeCategory)
0x000000028726fa18  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_HKActivitySummaryAccessibility
0x000000028726fa30  0x00000198  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_HKUnitPreferenceControllerAccessibility
0x000000028726fbc8  0x000004b8  __TEXT,__gcc_except_tab  func  GCC_except_table3
0x0000000287270080  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$_accessibilityNameForUnit:
0x00000002872700a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$activeEnergyBurned
0x00000002872700c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$activeEnergyBurnedGoal
0x00000002872700e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appleExerciseTime
0x0000000287270100  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appleExerciseTimeGoal
0x0000000287270120  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appleStandHours
0x0000000287270140  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$appleStandHoursGoal
0x0000000287270160  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleForClass:
0x0000000287270180  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$countUnit
0x00000002872701a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$doubleValueForUnit:
0x00000002872701c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$init
0x00000002872701e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$installSafeCategory:canInteractWithTargetClass:
0x0000000287270200  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isEqualToString:
0x0000000287270220  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$kilocalorieUnit
0x0000000287270240  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localizedStringForKey:value:table:
0x0000000287270260  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$minuteUnit
0x0000000287270280  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$performValidations:withPreValidationHandler:postValidationHandler:safeCategoryInstallationHandler:
0x00000002872702a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setDebugBuild:
0x00000002872702c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setOverrideProcessName:
0x00000002872702e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setValidationTargetName:
0x0000000287270300  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$sharedInstance
0x0000000287270320  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$stringWithFormat:
0x0000000287270340  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$unitForObjectType:
0x0000000287270360  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$unitString
0x0000000287270380  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$validateClass:hasInstanceMethod:withFullSignature:
