//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/AccessibilityBundles/MediaPlayerUIFramework.axbundle/Versions/A/MediaPlayerUIFramework
// arch:    arm64e
// uuid:    BF5B7AAE-D85B-3D31-A038-EFE2172D0986
// text:    0x00000002872fe000
// count:   62 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002872fee80  0x0000002c  __TEXT,__text  objc  +[AXMediaPlayerUIGlue accessibilityInitializeBundle]  // +[AXMediaPlayerUIGlue ?]
0x00000002872feeac  0x00000068  __TEXT,__text  func  __52+[AXMediaPlayerUIGlue accessibilityInitializeBundle]_block_invoke
0x00000002872fef14  0x00000008  __TEXT,__text  func  __52+[AXMediaPlayerUIGlue accessibilityInitializeBundle]_block_invoke_2
0x00000002872fef1c  0x00000058  __TEXT,__text  func  __52+[AXMediaPlayerUIGlue accessibilityInitializeBundle]_block_invoke_3
0x00000002872fef74  0x0000008c  __TEXT,__text  func  __52+[AXMediaPlayerUIGlue accessibilityInitializeBundle]_block_invoke_4
0x00000002872ff000  0x000000b8  __TEXT,__text  func  accessibilityMPUILocalizedString
0x00000002872ff0b8  0x0000000c  __TEXT,__text  objc  +[MPUEmphasizedTextAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[MPUEmphasizedTextAccessibility AXSpeakThisSceneIdentifierRequestedForActiveSpeakScreenSessionAttribute %@]
0x00000002872ff0c4  0x0000000c  __TEXT,__text  objc  +[MPUEmphasizedTextAccessibility(SafeCategory) safeCategoryBaseClass]  // +[MPUEmphasizedTextAccessibility ?]
0x00000002872ff0d0  0x00000040  __TEXT,__text  objc  +[MPUEmphasizedTextAccessibility _accessibilityPerformValidations:]  // +[MPUEmphasizedTextAccessibility ]
0x00000002872ff110  0x0000000c  __TEXT,__text  objc  -[MPUEmphasizedTextAccessibility accessibilityLabel]  // -[MPUEmphasizedTextAccessibility _isContainerOfOnlyOneLinkNodeChild]
0x00000002872ff11c  0x0000000c  __TEXT,__text  objc  +[MPUMarqueeViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[MPUMarqueeViewAccessibility kScreenSessionAttribute %@]
0x00000002872ff128  0x0000000c  __TEXT,__text  objc  +[MPUMarqueeViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[MPUMarqueeViewAccessibility ?]
0x00000002872ff134  0x00000040  __TEXT,__text  objc  +[MPUMarqueeViewAccessibility _accessibilityPerformValidations:]  // +[MPUMarqueeViewAccessibility ]
0x00000002872ff174  0x00000008  __TEXT,__text  objc  -[MPUMarqueeViewAccessibility accessibilityRespondsToUserInteraction]  // -[MPUMarqueeViewAccessibility ?]
0x00000002872ff17c  0x00000078  __TEXT,__text  objc  -[MPUMarqueeViewAccessibility isAccessibilityElement]  // -[MPUMarqueeViewAccessibility  ]
0x00000002872ff1f4  0x0000019c  __TEXT,__text  objc  -[MPUMarqueeViewAccessibility accessibilityLabel]  // -[MPUMarqueeViewAccessibility _isContainerOfOnlyOneLinkNodeChild]
0x00000002872ff390  0x0000000c  __TEXT,__text  objc  +[MPUNowPlayingIndicatorViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[MPUNowPlayingIndicatorViewAccessibility tifierRequestedForActiveSpeakScreenSessionAttribute set to nil]
0x00000002872ff39c  0x0000000c  __TEXT,__text  objc  +[MPUNowPlayingIndicatorViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[MPUNowPlayingIndicatorViewAccessibility ?]
