//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/MobileSafariFramework.axbundle/Contents/MacOS/MobileSafariFramework
// arch:    arm64e
// uuid:    171B6563-14B9-3A94-AB3C-C638DF2D7CA3
// text:    0x0000000287314000
// count:   722 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000287315128  0x0000000c  __TEXT,__text  objc  +[SFCapsuleCollectionViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFCapsuleCollectionViewAccessibility insertText:alternatives:style:]
0x0000000287315134  0x0000000c  __TEXT,__text  objc  +[SFCapsuleCollectionViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFCapsuleCollectionViewAccessibility ?]
0x0000000287315140  0x0000004c  __TEXT,__text  objc  +[SFCapsuleCollectionViewAccessibility _accessibilityPerformValidations:]  // +[SFCapsuleCollectionViewAccessibility ?]
0x000000028731518c  0x0000007c  __TEXT,__text  objc  -[SFCapsuleCollectionViewAccessibility _shouldToggleMinimizedWithTranslation:velocity:gestureEnded:]  // -[SFCapsuleCollectionViewAccessibility ?]
0x0000000287315208  0x0000000c  __TEXT,__text  objc  +[SFDialogControllerAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFDialogControllerAccessibility invalidate]
0x0000000287315214  0x0000000c  __TEXT,__text  objc  +[SFDialogControllerAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFDialogControllerAccessibility ]
0x0000000287315220  0x00000124  __TEXT,__text  objc  +[SFDialogControllerAccessibility _accessibilityPerformValidations:]  // +[SFDialogControllerAccessibility ?]
0x0000000287315344  0x0000011c  __TEXT,__text  objc  -[SFDialogControllerAccessibility _presentDialog:forWebProcessID:withAdditionalAnimations:]  // -[SFDialogControllerAccessibility ?]
0x0000000287315460  0x0000007c  __TEXT,__text  objc  -[SFDialogControllerAccessibility _dismissDialogWithAdditionalAnimations:]  // -[SFDialogControllerAccessibility ]
0x00000002873154dc  0x00000014  __TEXT,__text  func  __74-[SFDialogControllerAccessibility _dismissDialogWithAdditionalAnimations:]_block_invoke
0x00000002873154f0  0x000000e0  __TEXT,__text  func  accessibilityMobileSafariLocalizedString
0x00000002873155d0  0x000000e0  __TEXT,__text  func  accessibilitySafariServicesLocalizedString
0x00000002873156b0  0x000000e0  __TEXT,__text  func  accessibilitySafariScribbleLocalizedString
0x0000000287315790  0x000001e0  __TEXT,__text  func  profileSymbolAccessibilityLabel
0x0000000287315970  0x0000000c  __TEXT,__text  objc  +[SFCrashBannerAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFCrashBannerAccessibility integerValue]
0x000000028731597c  0x0000000c  __TEXT,__text  objc  +[SFCrashBannerAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFCrashBannerAccessibility ?]
0x0000000287315988  0x00000090  __TEXT,__text  objc  +[SFCrashBannerAccessibility _accessibilityPerformValidations:]  // +[SFCrashBannerAccessibility ?]
