//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/AccessibilityBundles/StoreKitFramework.axbundle/Versions/A/StoreKitFramework
// arch:    arm64e
// uuid:    489F8B31-E06A-31BF-8269-9DD9E28B66AE
// text:    0x0000000287447000
// count:   38 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000287447d88  0x000000a8  __TEXT,__text  objc  +[AXStoreKitGlue accessibilityInitializeBundle]  // +[AXStoreKitGlue ?]
0x0000000287447e30  0x00000064  __TEXT,__text  func  __47+[AXStoreKitGlue accessibilityInitializeBundle]_block_invoke_2
0x0000000287447e94  0x0000000c  __TEXT,__text  objc  +[SKStarRatingControlAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SKStarRatingControlAccessibility aceGeometry"]
0x0000000287447ea0  0x0000000c  __TEXT,__text  objc  +[SKStarRatingControlAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SKStarRatingControlAccessibility ?]
0x0000000287447eac  0x0000000c  __TEXT,__text  objc  +[SKStoreReviewPresentationWindowAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SKStoreReviewPresentationWindowAccessibility ]
0x0000000287447eb8  0x00000008  __TEXT,__text  objc  +[AXStoreKitGlue accessibilityBundles]  // +[AXStoreKitGlue ?]
0x0000000287447ec0  0x00000088  __TEXT,__text  func  __47+[AXStoreKitGlue accessibilityInitializeBundle]_block_invoke
0x0000000287447f48  0x00000064  __TEXT,__text  func  __47+[AXStoreKitGlue accessibilityInitializeBundle]_block_invoke_3
0x0000000287447fac  0x000000a8  __TEXT,__text  func  accessibilityLocalizedString
0x0000000287448054  0x0000000c  __TEXT,__text  objc  +[SKStoreReviewPresentationWindowAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SKStoreReviewPresentationWindowAccessibility ?]
0x0000000287448060  0x00000004  __TEXT,__text  objc  +[SKStoreReviewPresentationWindowAccessibility _accessibilityPerformValidations:]  // +[SKStoreReviewPresentationWindowAccessibility ?]
0x0000000287448064  0x00000008  __TEXT,__text  objc  -[SKStoreReviewPresentationWindowAccessibility accessibilityViewIsModal]  // -[SKStoreReviewPresentationWindowAccessibility ?]
0x000000028744806c  0x00000008  __TEXT,__text  objc  -[SKStarRatingControlAccessibility isAccessibilityElement]  // -[SKStarRatingControlAccessibility ?]
0x0000000287448074  0x000000cc  __TEXT,__text  objc  -[SKStarRatingControlAccessibility accessibilityIncrement]  // -[SKStarRatingControlAccessibility ?]
0x0000000287448140  0x00000014  __TEXT,__text  func  __58-[SKStarRatingControlAccessibility accessibilityIncrement]_block_invoke
0x0000000287448154  0x000000cc  __TEXT,__text  objc  -[SKStarRatingControlAccessibility accessibilityDecrement]  // -[SKStarRatingControlAccessibility ?]
0x0000000287448220  0x00000014  __TEXT,__text  func  __58-[SKStarRatingControlAccessibility accessibilityDecrement]_block_invoke
0x0000000287448234  0x00000064  __TEXT,__text  objc  -[SKStarRatingControlAccessibility accessibilityValue]  // -[SKStarRatingControlAccessibility ?]
0x0000000287448298  0x0000000c  __TEXT,__text  objc  -[SKStarRatingControlAccessibility accessibilityLabel]  // -[SKStarRatingControlAccessibility ?]
0x00000002874482a4  0x0000012c  __TEXT,__text  objc  -[SKStarRatingControlAccessibility accessibilityTraits]  // -[SKStarRatingControlAccessibility ]
0x00000002874483d0  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_AXStoreKitGlue
0x00000002874483f0  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SKStarRatingControlAccessibility(SafeCategory)
0x0000000287448410  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_SKStoreReviewPresentationWindowAccessibility(SafeCategory)
0x0000000287448440  0x00000050  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_SKStarRatingControlAccessibility
0x0000000287448490  0x00000570  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_SKStoreReviewPresentationWindowAccessibility
0x0000000287448a00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleForClass:
0x0000000287448a20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$floatValue
0x0000000287448a40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$init
0x0000000287448a60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$installSafeCategory:canInteractWithTargetClass:
0x0000000287448a80  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localizedStringForKey:value:table:
0x0000000287448aa0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$performValidations:withPreValidationHandler:postValidationHandler:safeCategoryInstallationHandler:
0x0000000287448ac0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$safeValueForKey:
0x0000000287448ae0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setDebugBuild:
0x0000000287448b00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setOverrideProcessName:
0x0000000287448b20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setValidationTargetName:
0x0000000287448b40  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setValue:
0x0000000287448b60  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$sharedInstance
0x0000000287448b80  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$validateClass:hasInstanceMethod:withFullSignature:
