//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/Frameworks/AccessoryTransportExtension.framework/Versions/A/AccessoryTransportExtension
// arch:    arm64e
// uuid:    60C4ECF4-142B-3B84-96C3-5299D37D56B1
// text:    0x00000002878a1000
// count:   1135 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002878a2890  0x00000080  __TEXT,__text  sub  sub_2878a2890
0x00000002878a2910  0x000007ec  __TEXT,__text  sub  sub_2878a2910
0x00000002878a30fc  0x00000044  __TEXT,__text  sub  sub_2878a30fc
0x00000002878a3140  0x00000164  __TEXT,__text  sub  sub_2878a3140
0x00000002878a32a4  0x00000018  __TEXT,__text  sub  sub_2878a32a4
0x00000002878a32bc  0x0000003c  __TEXT,__text  sub  sub_2878a32bc
0x00000002878a32f8  0x00000014  __TEXT,__text  sub  sub_2878a32f8
0x00000002878a330c  0x000000ac  __TEXT,__text  sub  sub_2878a330c
0x00000002878a33b8  0x00000010  __TEXT,__text  sub  sub_2878a33b8
0x00000002878a33c8  0x00000018  __TEXT,__text  sub  sub_2878a33c8
0x00000002878a33e0  0x00000054  __TEXT,__text  sub  sub_2878a33e0
0x00000002878a3434  0x00000018  __TEXT,__text  sub  sub_2878a3434
0x00000002878a344c  0x00000068  __TEXT,__text  sub  sub_2878a344c
0x00000002878a34b4  0x00000004  __TEXT,__text  sub  sub_2878a34b4
0x00000002878a34b8  0x00000018  __TEXT,__text  sub  sub_2878a34b8
0x00000002878a34d0  0x00000078  __TEXT,__text  sub  sub_2878a34d0
0x00000002878a3548  0x00000068  __TEXT,__text  sub  sub_2878a3548
0x00000002878a35b0  0x0000008c  __TEXT,__text  sub  sub_2878a35b0
0x00000002878a363c  0x00000048  __TEXT,__text  sub  sub_2878a363c
0x00000002878a3684  0x00000068  __TEXT,__text  sub  sub_2878a3684
0x00000002878a36ec  0x00000078  __TEXT,__text  sub  sub_2878a36ec
0x00000002878a3764  0x00000010  __TEXT,__text  sub  sub_2878a3764
0x00000002878a3774  0x00000090  __TEXT,__text  sub  sub_2878a3774
0x00000002878a3804  0x000004e8  __TEXT,__text  sub  sub_2878a3804
0x00000002878a3cec  0x00000218  __TEXT,__text  sub  sub_2878a3cec
0x00000002878a3f04  0x00000074  __TEXT,__text  sub  sub_2878a3f04
0x00000002878a3f78  0x00000330  __TEXT,__text  sub  sub_2878a3f78
0x00000002878a42a8  0x00000714  __TEXT,__text  sub  sub_2878a42a8
0x00000002878a49bc  0x00000368  __TEXT,__text  sub  sub_2878a49bc
0x00000002878a4d24  0x00000070  __TEXT,__text  sub  sub_2878a4d24
0x00000002878a4d94  0x00000974  __TEXT,__text  sub  sub_2878a4d94
0x00000002878a5708  0x00000080  __TEXT,__text  sub  sub_2878a5708
0x00000002878a5788  0x00000094  __TEXT,__text  sub  sub_2878a5788
0x00000002878a581c  0x00000054  __TEXT,__text  sub  sub_2878a581c
0x00000002878a5870  0x0000002c  __TEXT,__text  sub  sub_2878a5870
0x00000002878a589c  0x00000290  __TEXT,__text  sub  sub_2878a589c
0x00000002878a5b2c  0x000003b0  __TEXT,__text  sub  sub_2878a5b2c
0x00000002878a5edc  0x000004e4  __TEXT,__text  sub  sub_2878a5edc
0x00000002878a63c0  0x00000094  __TEXT,__text  sub  sub_2878a63c0
0x00000002878a6454  0x00000054  __TEXT,__text  sub  sub_2878a6454
0x00000002878a64a8  0x00000004  __TEXT,__text  sub  sub_2878a64a8
0x00000002878a64ac  0x00000044  __TEXT,__text  sub  sub_2878a64ac
0x00000002878a64f0  0x00000018  __TEXT,__text  sub  sub_2878a64f0
0x00000002878a6508  0x00000048  __TEXT,__text  sub  sub_2878a6508
0x00000002878a6550  0x00000028  __TEXT,__text  sub  sub_2878a6550
0x00000002878a6578  0x0000003c  __TEXT,__text  sub  sub_2878a6578
0x00000002878a65b4  0x00000078  __TEXT,__text  sub  sub_2878a65b4
0x00000002878a662c  0x00000070  __TEXT,__text  sub  sub_2878a662c
0x00000002878a669c  0x000000b0  __TEXT,__text  sub  sub_2878a669c
0x00000002878a674c  0x00000068  __TEXT,__text  sub  sub_2878a674c
0x00000002878a67b4  0x000000b0  __TEXT,__text  sub  sub_2878a67b4
0x00000002878a6864  0x0000004c  __TEXT,__text  sub  sub_2878a6864
0x00000002878a68b0  0x00000030  __TEXT,__text  sub  sub_2878a68b0
0x00000002878a68e0  0x0000005c  __TEXT,__text  sub  sub_2878a68e0
0x00000002878a693c  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x00000002878a6990  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x00000002878a69c8  0x00000064  __TEXT,__text  func  __swift_allocate_value_buffer
0x00000002878a6a2c  0x00000054  __TEXT,__text  sub  sub_2878a6a2c
0x00000002878a6a80  0x00000014  __TEXT,__text  sub  sub_2878a6a80
0x00000002878a6a94  0x00000054  __TEXT,__text  sub  sub_2878a6a94
0x00000002878a6ae8  0x00000054  __TEXT,__text  sub  sub_2878a6ae8
0x00000002878a6b3c  0x00000038  __TEXT,__text  sub  sub_2878a6b3c
0x00000002878a6b74  0x00000038  __TEXT,__text  sub  sub_2878a6b74
0x00000002878a6bac  0x0000000c  __TEXT,__text  sub  sub_2878a6bac
0x00000002878a6bb8  0x00000024  __TEXT,__text  sub  sub_2878a6bb8
0x00000002878a6bdc  0x00000010  __TEXT,__text  sub  sub_2878a6bdc
0x00000002878a6bec  0x00000048  __TEXT,__text  sub  sub_2878a6bec
0x00000002878a6c34  0x00000044  __TEXT,__text  func  __swift_project_boxed_opaque_existential_1
0x00000002878a6c78  0x00000048  __TEXT,__text  sub  sub_2878a6c78
0x00000002878a6cc0  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_1  // aliases: __swift_destroy_boxed_opaque_existential_0, __swift_destroy_boxed_opaque_existential_1Tm, __swift_destroy_boxed_opaque_existential_0Tm
0x00000002878a6d04  0x00000010  __TEXT,__text  sub  sub_2878a6d04
0x00000002878a6d14  0x00000040  __TEXT,__text  sub  sub_2878a6d14
0x00000002878a6d54  0x00000028  __TEXT,__text  sub  sub_2878a6d54
0x00000002878a6d7c  0x00000014  __TEXT,__text  func  block_copy_helper
0x00000002878a6d90  0x00000008  __TEXT,__text  func  block_destroy_helper
0x00000002878a6d98  0x00000060  __TEXT,__text  sub  sub_2878a6d98
0x00000002878a6df8  0x00000018  __TEXT,__text  sub  sub_2878a6df8
0x00000002878a6e10  0x00000058  __TEXT,__text  sub  sub_2878a6e10
0x00000002878a6e68  0x0000005c  __TEXT,__text  sub  sub_2878a6e68
0x00000002878a6ec4  0x00000038  __TEXT,__text  sub  sub_2878a6ec4
0x00000002878a6efc  0x0000003c  __TEXT,__text  sub  sub_2878a6efc
0x00000002878a6f38  0x00000054  __TEXT,__text  sub  sub_2878a6f38
0x00000002878a6f8c  0x00000030  __TEXT,__text  func  __swift_instantiateGenericMetadata
0x00000002878a6fbc  0x0000000c  __TEXT,__text  func  __swift_memcpy4_4
0x00000002878a6fc8  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x00000002878a6fcc  0x00000020  __TEXT,__text  sub  sub_2878a6fcc
0x00000002878a6fec  0x00000028  __TEXT,__text  sub  sub_2878a6fec
0x00000002878a7014  0x00000050  __TEXT,__text  sub  sub_2878a7014
0x00000002878a7064  0x00000004  __TEXT,__text  sub  sub_2878a7064
0x00000002878a7068  0x00000004  __TEXT,__text  sub  sub_2878a7068
0x00000002878a706c  0x00000060  __TEXT,__text  sub  sub_2878a706c
0x00000002878a70cc  0x00000034  __TEXT,__text  sub  sub_2878a70cc
0x00000002878a7100  0x0000004c  __TEXT,__text  sub  sub_2878a7100
0x00000002878a714c  0x00000028  __TEXT,__text  sub  sub_2878a714c
0x00000002878a7174  0x00000394  __TEXT,__text  sub  sub_2878a7174
0x00000002878a7508  0x0000005c  __TEXT,__text  sub  sub_2878a7508
0x00000002878a7564  0x00000054  __TEXT,__text  sub  sub_2878a7564
0x00000002878a75b8  0x00000120  __TEXT,__text  sub  sub_2878a75b8
0x00000002878a76d8  0x00000008  __TEXT,__text  sub  sub_2878a76d8
