//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/Frameworks/CoreLocationUI.framework/Versions/A/CoreLocationUI
// arch:    arm64e
// uuid:    FEB1EE0C-71A5-3DDA-9C53-50682D2DF11C
// text:    0x00000002882f4000
// count:   245 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002882f5118  0x000000e4  __TEXT,__text  objc  -[CLLocationButton init]  // -[CLLocationButton ?]
0x00000002882f51fc  0x00000104  __TEXT,__text  objc  -[CLLocationButton initWithFrame:]  // -[CLLocationButton ]
0x00000002882f5300  0x00000280  __TEXT,__text  objc  -[CLLocationButton initWithCoder:]  // -[CLLocationButton `"@�]
0x00000002882f5580  0x00000194  __TEXT,__text  objc  -[CLLocationButton encodeWithCoder:]  // -[CLLocationButton ?]
0x00000002882f5714  0x00000094  __TEXT,__text  objc  -[CLLocationButton _populateArchivedSubviews:]  // -[CLLocationButton ]
0x00000002882f57a8  0x0000001c  __TEXT,__text  objc  +[CLLocationButton supportsSecureCoding]  // +[CLLocationButton ]
0x00000002882f57c4  0x0000004c  __TEXT,__text  objc  -[CLLocationButton markDirty]  // -[CLLocationButton ?]
0x00000002882f5810  0x00000024  __TEXT,__text  objc  -[CLLocationButton locationUIProxy]  // -[CLLocationButton _initialZAxisBounds]
0x00000002882f5834  0x000009ac  __TEXT,__text  objc  -[CLLocationButton _setupSlotView]  // -[CLLocationButton getArgumentTypeAtIndex:]
0x00000002882f61e0  0x0000001c  __TEXT,__text  func  __os_log_helper_16_0_0
0x00000002882f61fc  0x00000328  __TEXT,__text  func  __34-[CLLocationButton _setupSlotView]_block_invoke
0x00000002882f6524  0x00000068  __TEXT,__text  func  __os_log_helper_16_2_3_8_64_8_64_8_64
0x00000002882f658c  0x000000b0  __TEXT,__text  func  __34-[CLLocationButton _setupSlotView]_block_invoke.39
0x00000002882f663c  0x000000e0  __TEXT,__text  objc  -[CLLocationButton _sendActionsForEvents:withEvent:]  // -[CLLocationButton ]
0x00000002882f671c  0x00000018  __TEXT,__text  objc  -[CLLocationButton _controlEventsForActionTriggered]  // -[CLLocationButton ModeWithCompletionHandler:]
0x00000002882f6734  0x00000014  __TEXT,__text  objc  -[CLLocationButton _actionForPreSetTarget]  // -[CLLocationButton __zAxisLabel]
0x00000002882f6748  0x00000048  __TEXT,__text  objc  -[CLLocationButton setIcon:]  // -[CLLocationButton ?]
0x00000002882f6790  0x00000048  __TEXT,__text  objc  -[CLLocationButton setLabel:]  // -[CLLocationButton ?]
0x00000002882f67d8  0x00000048  __TEXT,__text  objc  -[CLLocationButton setCornerRadius:]  // -[CLLocationButton ?]
0x00000002882f6820  0x00000024  __TEXT,__text  objc  -[CLLocationButton backgroundColor]  // -[CLLocationButton ?]
0x00000002882f6844  0x00000074  __TEXT,__text  objc  -[CLLocationButton setBackgroundColor:]  // -[CLLocationButton ?]
0x00000002882f68b8  0x00000024  __TEXT,__text  objc  -[CLLocationButton tintColor]  // -[CLLocationButton ?]
0x00000002882f68dc  0x00000074  __TEXT,__text  objc  -[CLLocationButton setTintColor:]  // -[CLLocationButton ?]
0x00000002882f6950  0x00000048  __TEXT,__text  objc  -[CLLocationButton setFontSize:]  // -[CLLocationButton ?]
0x00000002882f6998  0x000005b0  __TEXT,__text  objc  -[CLLocationButton _computeLocationButtonTag]  // -[CLLocationButton _selectedFunctionID3D]
0x00000002882f6f48  0x00000464  __TEXT,__text  objc  -[CLLocationButton _yieldSlotViewContentForLayerContextID:slotStyle:withYieldBlock:]  // -[CLLocationButton _isAnimatingFunction]
0x00000002882f73ac  0x0000002c  __TEXT,__text  func  CGSizeMake
0x00000002882f73d8  0x0000011c  __TEXT,__text  func  __84-[CLLocationButton _yieldSlotViewContentForLayerContextID:slotStyle:withYieldBlock:]_block_invoke
0x00000002882f74f4  0x000001d8  __TEXT,__text  func  __84-[CLLocationButton _yieldSlotViewContentForLayerContextID:slotStyle:withYieldBlock:]_block_invoke_2
0x00000002882f76cc  0x00000044  __TEXT,__text  func  __84-[CLLocationButton _yieldSlotViewContentForLayerContextID:slotStyle:withYieldBlock:]_block_invoke.49
0x00000002882f7710  0x000000b8  __TEXT,__text  objc  -[CLLocationButton layoutSubviews]  // -[CLLocationButton /libSystem.B.dylib]
0x00000002882f77c8  0x00000098  __TEXT,__text  objc  -[CLLocationButton intrinsicContentSize]  // -[CLLocationButton d the accessory for UUID %@ or dict (%@) is nil.]
0x00000002882f7860  0x00000048  __TEXT,__text  objc  -[CLLocationButton sizeThatFits:]  // -[CLLocationButton ?]
0x00000002882f78a8  0x0000004c  __TEXT,__text  objc  -[CLLocationButton _secureName]  // -[CLLocationButton ?]
0x00000002882f78f4  0x00000078  __TEXT,__text  objc  -[CLLocationButton convertToControlSize:]  // -[CLLocationButton ]
0x00000002882f796c  0x00000024  __TEXT,__text  objc  -[CLLocationButton icon]  // -[CLLocationButton fier %@]
0x00000002882f7990  0x00000024  __TEXT,__text  objc  -[CLLocationButton label]  // -[CLLocationButton ?]
0x00000002882f79b4  0x00000024  __TEXT,__text  objc  -[CLLocationButton fontSize]  // -[CLLocationButton ?]
0x00000002882f79d8  0x00000024  __TEXT,__text  objc  -[CLLocationButton cornerRadius]  // -[CLLocationButton ?]
0x00000002882f79fc  0x0000002c  __TEXT,__text  objc  -[CLLocationButton colorsIllegible]  // -[CLLocationButton _initialYAxisBounds]
0x00000002882f7a28  0x0000002c  __TEXT,__text  objc  -[CLLocationButton alphaInsufficient]  // -[CLLocationButton equalizeAxes]
0x00000002882f7a54  0x00000024  __TEXT,__text  objc  -[CLLocationButton controlSize]  // -[CLLocationButton ?]
0x00000002882f7a78  0x0000002c  __TEXT,__text  objc  -[CLLocationButton setControlSize:]  // -[CLLocationButton $]
0x00000002882f7aa4  0x00000104  __TEXT,__text  objc  -[CLLocationButton .cxx_destruct]  // -[CLLocationButton ?]
0x00000002882f7ba8  0x00000044  __TEXT,__text  objc  -[CLLocationButtonTag buttonWidth]  // -[CLLocationButtonTag ?]
0x00000002882f7bec  0x00000044  __TEXT,__text  objc  -[CLLocationButtonTag buttonHeight]  // -[CLLocationButtonTag ]
0x00000002882f7c30  0x00000208  __TEXT,__text  objc  -[CLLocationButtonTag initWithLabel:iconType:backgroundColor:tintColor:cornerRadius:frame:fontSize:controlSize:]  // -[CLLocationButtonTag fraction]
0x00000002882f7e38  0x00000204  __TEXT,__text  objc  -[CLLocationButtonTag copyWithZone:]  // -[CLLocationButtonTag ?]
0x00000002882f803c  0x00000190  __TEXT,__text  objc  -[CLLocationButtonTag encodeWithCoder:]  // -[CLLocationButtonTag ?]
0x00000002882f81cc  0x000002a0  __TEXT,__text  objc  -[CLLocationButtonTag initWithCoder:]  // -[CLLocationButtonTag ?]
0x00000002882f846c  0x00000068  __TEXT,__text  objc  -[CLLocationButtonTag isEqual:]  // -[CLLocationButtonTag ?]
0x00000002882f84d4  0x00000018  __TEXT,__text  objc  +[CLLocationButtonTag cacheLimit]  // +[CLLocationButtonTag 8@16B24]
0x00000002882f84ec  0x0000008c  __TEXT,__text  objc  -[CLLocationButtonTag isValid]  // -[CLLocationButtonTag ?]
0x00000002882f8578  0x00000060  __TEXT,__text  objc  -[CLLocationButtonTag authenticationMessageContextForStyle:]  // -[CLLocationButtonTag ?]
0x00000002882f85d8  0x00000054  __TEXT,__text  objc  -[CLLocationButtonTag failGradeForStyle:]  // -[CLLocationButtonTag al error]
0x00000002882f862c  0x00000054  __TEXT,__text  objc  -[CLLocationButtonTag hitTestInformationMaskForStyle:]  // -[CLLocationButtonTag ?]
0x00000002882f8680  0x00000080  __TEXT,__text  objc  -[CLLocationButtonTag resolvedStyleForStyle:]  // -[CLLocationButtonTag num_unsupported_characters]
0x00000002882f8700  0x00000074  __TEXT,__text  func  __45-[CLLocationButtonTag resolvedStyleForStyle:]_block_invoke
0x00000002882f8774  0x0000059c  __TEXT,__text  objc  -[CLLocationButtonTag contrastValidForBgColorAndFgTextWithCumulativeOpacity:]  // -[CLLocationButtonTag _containerBounds]
0x00000002882f8d10  0x00000138  __TEXT,__text  func  relativeLuminanceForColorWithAlphaCompositing
0x00000002882f8e48  0x00000088  __TEXT,__text  func  __os_log_helper_16_0_5_8_0_8_0_8_0_8_0_8_0
0x00000002882f8ed0  0x0000001c  __TEXT,__text  objc  +[CLLocationButtonTag supportsSecureCoding]  // +[CLLocationButtonTag ?]
0x00000002882f8eec  0x00000084  __TEXT,__text  objc  -[CLLocationButtonTag secureNameForStyle:]  // -[CLLocationButtonTag me for a star shape type.]
0x00000002882f8f70  0x000000dc  __TEXT,__text  objc  +[CLLocationButtonTag secureNameForLabel:]  // +[CLLocationButtonTag ionRegistrar]
0x00000002882f904c  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag fontSize]  // -[CLLocationButtonTag ?]
0x00000002882f9070  0x0000002c  __TEXT,__text  objc  -[CLLocationButtonTag setFontSize:]  // -[CLLocationButtonTag ?]
0x00000002882f909c  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag label]  // -[CLLocationButtonTag  ]
0x00000002882f90c0  0x0000002c  __TEXT,__text  objc  -[CLLocationButtonTag setLabel:]  // -[CLLocationButtonTag @]
0x00000002882f90ec  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag icon]  // -[CLLocationButtonTag ]
0x00000002882f9110  0x0000002c  __TEXT,__text  objc  -[CLLocationButtonTag setIcon:]  // -[CLLocationButtonTag ?]
0x00000002882f913c  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag backgroundColor]  // -[CLLocationButtonTag ?]
0x00000002882f9160  0x00000040  __TEXT,__text  objc  -[CLLocationButtonTag setBackgroundColor:]  // -[CLLocationButtonTag ?]
0x00000002882f91a0  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag tintColor]  // -[CLLocationButtonTag ?]
0x00000002882f91c4  0x00000040  __TEXT,__text  objc  -[CLLocationButtonTag setTintColor:]  // -[CLLocationButtonTag 
]
0x00000002882f9204  0x00000024  __TEXT,__text  objc  -[CLLocationButtonTag cornerRadius]  // -[CLLocationButtonTag ?]
