//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/Frameworks/OpenGLES.framework/Versions/A/Libraries/libGFXShared.dylib
// arch:    arm64e
// uuid:    05202D92-1615-36CF-AF4E-E3F1667FFD78
// text:    0x0000000288f21000
// count:   104 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000288f219b8  0x00000038  __TEXT,__text  func  gfxLinkedOSVersion
0x0000000288f219f0  0x000000dc  __TEXT,__text  func  __gfxLinkedOSVersion_block_invoke
0x0000000288f21acc  0x00000008  __TEXT,__text  func  gfxLoadPluginData
0x0000000288f21ad4  0x0000085c  __TEXT,__text  func  gfxInitializeLibrary
0x0000000288f22330  0x00000088  __TEXT,__text  func  gfxAddDevice
0x0000000288f223b8  0x00000064  __TEXT,__text  func  gfxAddPlugin
0x0000000288f2241c  0x00000004  __TEXT,__text  func  gfxAnnotateAddDataSource
0x0000000288f22420  0x0000000c  __TEXT,__text  func  gfxGetPlugins
0x0000000288f2242c  0x00000024  __TEXT,__text  func  gfxGetPluginWithDriverID
0x0000000288f22450  0x0000000c  __TEXT,__text  func  gfxGetDevices
0x0000000288f2245c  0x000001d4  __TEXT,__text  func  gfxCreateSharedState
0x0000000288f22630  0x00000024  __TEXT,__text  func  gfxGetDeviceWithDeviceID
0x0000000288f22654  0x00000010  __TEXT,__text  func  InitSharedListOnce
0x0000000288f22664  0x000000c0  __TEXT,__text  func  gfxRetainSharedStateAndHash
0x0000000288f22724  0x00000008  __TEXT,__text  func  gfxSetShaderDetachFunc
0x0000000288f2272c  0x00000010  __TEXT,__text  func  gfxSetSharedFreeFunc
0x0000000288f2273c  0x00000398  __TEXT,__text  func  gfxInitializeGLTexture
0x0000000288f22ad4  0x0000002c  __TEXT,__text  sub  sub_288f22ad4
0x0000000288f22b00  0x000000ac  __TEXT,__text  func  gfxCreatePluginTexture
0x0000000288f22bac  0x00000028  __TEXT,__text  func  gfxLibCalloc
0x0000000288f22bd4  0x00000098  __TEXT,__text  func  gfxInitializeBufferObject
0x0000000288f22c6c  0x0000007c  __TEXT,__text  func  gfxCreatePluginBuffer
0x0000000288f22ce8  0x0000005c  __TEXT,__text  func  gfxCompareSharedState
0x0000000288f22d44  0x000007f4  __TEXT,__text  func  gfxEvaluateTextureForGeometryChange
0x0000000288f23538  0x000002e4  __TEXT,__text  func  gfxEvaluateTextureCore
0x0000000288f2381c  0x0000013c  __TEXT,__text  func  gfxSynchronizeTexLevelStorage
0x0000000288f23958  0x0000029c  __TEXT,__text  func  gfxUpdateTextureForGeometryChange
0x0000000288f23bf4  0x0000049c  __TEXT,__text  func  gfxReqToBase
0x0000000288f24090  0x00000030  __TEXT,__text  sub  sub_288f24090
0x0000000288f240c0  0x00000058  __TEXT,__text  sub  sub_288f240c0
0x0000000288f24118  0x00000174  __TEXT,__text  sub  sub_288f24118
0x0000000288f2428c  0x00000064  __TEXT,__text  func  gfxUpdateTextureCore
0x0000000288f242f0  0x000000d0  __TEXT,__text  func  gfxUpdatePluginTextureLevelGeometry
0x0000000288f243c0  0x00000028  __TEXT,__text  func  gfxLibAlloc
0x0000000288f243e8  0x00000208  __TEXT,__text  func  gfxPixelBytes
0x0000000288f245f0  0x00000190  __TEXT,__text  func  gfxComponents
0x0000000288f24780  0x00000088  __TEXT,__text  func  gfxDestroyPluginTexture
