//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/Frameworks/OpenGLES.framework/Versions/A/Resources/GLRendererFloat.bundle/GLRendererFloat
// arch:    arm64e
// uuid:    D005EB0D-6F27-32FC-8012-0750B09AE374
// text:    0x0000000289183000
// count:   305 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000289183b30  0x0000000c  __TEXT,__text  func  gldInvalidateDrawBuffers
0x0000000289183b3c  0x00000010  __TEXT,__text  func  gldInvalidateReadBuffers
0x0000000289183b4c  0x00000014  __TEXT,__text  func  gldInvalidateBuffers
0x0000000289183b60  0x000000ac  __TEXT,__text  func  gldAllocateDepthBuffer
0x0000000289183c0c  0x000000ac  __TEXT,__text  func  gldAllocateStencilBuffer
0x0000000289183cb8  0x0000045c  __TEXT,__text  func  gldSetDrawBufferPtrs
0x0000000289184114  0x000002bc  __TEXT,__text  func  gldSetReadBufferPtrs
0x00000002891843d0  0x0000004c  __TEXT,__text  func  gldAllocateFrontColorBuffer
0x000000028918441c  0x0000004c  __TEXT,__text  func  gldAllocateBackColorBuffer
0x0000000289184468  0x00000054  __TEXT,__text  func  gldAllocateAuxColorBuffer
0x00000002891844bc  0x00000028  __TEXT,__text  func  gldCreateBuffer
0x00000002891844e4  0x00000008  __TEXT,__text  func  gldLoadBuffer
0x00000002891844ec  0x00000020  __TEXT,__text  func  gldDestroyBuffer
0x000000028918450c  0x00000004  __TEXT,__text  func  gldReclaimBuffer
0x0000000289184510  0x00000004  __TEXT,__text  func  gldUnbindBuffer
0x0000000289184514  0x00000004  __TEXT,__text  func  gldRestoreBufferData
0x0000000289184518  0x00000008  __TEXT,__text  func  gldGetBufferAllocationIdentifiers
0x0000000289184520  0x00000cec  __TEXT,__text  func  gldClearDrawBuffer
0x000000028918520c  0x000001e0  __TEXT,__text  func  gldClearDepthBuffer
0x00000002891853ec  0x00000388  __TEXT,__text  func  gldClearStencilBuffer
0x0000000289185774  0x00000148  __TEXT,__text  func  gldClearDepthStencilBuffer
0x00000002891858bc  0x000000b0  __TEXT,__text  func  glrCompOpenDevice
0x000000028918596c  0x00000074  __TEXT,__text  func  glrCompCloseDevice
