//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/PrivateFrameworks/IMAssistantCore.framework/Versions/A/IMAssistantCore
// arch:    arm64e
// uuid:    136F81EB-D3EA-3E4E-A546-96190B143FF1
// text:    0x00000002c78cc000
// count:   387 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002c78cd368  0x00000138  __TEXT,__text  objc  -[?(IMAssistantCore) ?]
0x00000002c78cd4a0  0x00000090  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd530  0x0000016c  __TEXT,__text  objc  -[IMAssistantAudioPlayer ]
0x00000002c78cd69c  0x00000008  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd6a4  0x00000028  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd6cc  0x000001ac  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd878  0x00000054  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd8cc  0x000000ac  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd978  0x00000008  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd980  0x0000004c  __TEXT,__text  objc  -[IMAssistantAudioPlayer ?]
0x00000002c78cd9cc  0x00000008  __TEXT,__text  objc  -[IMAssistantMessageAttributeOptions ]
0x00000002c78cd9d4  0x00000080  __TEXT,__text  objc  -[IMAssistantMessageAttributeOptions ?]
0x00000002c78cda54  0x0000001c  __TEXT,__text  objc  -[IMAssistantMessageAttributeOptions ?]
0x00000002c78cda70  0x0000001c  __TEXT,__text  objc  -[IMAssistantMessageAttributeOptions ?]
0x00000002c78cda8c  0x0000003c  __TEXT,__text  objc  +[IMAssistantMessageAttributeOptions ]
0x00000002c78cdac8  0x00000064  __TEXT,__text  objc  +[IMAssistantMessageAttributeOptions ?]
0x00000002c78cdb2c  0x00000008  __TEXT,__text  objc  -[IMAssistantMessageAttributeOptions ?]
0x00000002c78cdb34  0x00000090  __TEXT,__text  objc  -[IMAssistantURLWithMetadata ?]
0x00000002c78cdbc4  0x00000008  __TEXT,__text  objc  -[IMAssistantURLWithMetadata ?]
