//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/PrivateFrameworks/IntlPreferences.framework/Versions/A/IntlPreferences
// arch:    arm64e
// uuid:    9B82E1D3-533A-3E23-9E32-19A7101C057F
// text:    0x00000001d4002000
// count:   838 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001d4003658  0x00000054  __TEXT,__text  objc  +[IntlUtility sharedIntlUtility]  // +[IntlUtility ?]
0x00000001d40036ac  0x000000b0  __TEXT,__text  objc  -[IntlUtility languageList]  // -[IntlUtility ?]
0x00000001d400375c  0x000000bc  __TEXT,__text  objc  -[IntlUtility localizedNameForScript:]  // -[IntlUtility ?]
0x00000001d4003818  0x0000000c  __TEXT,__text  objc  -[IntlUtility localizedLanguageForLanguage:]  // -[IntlUtility ?]
0x00000001d4003824  0x00000124  __TEXT,__text  objc  -[IntlUtility canRenderLanguage:]  // -[IntlUtility ?]
0x00000001d4003948  0x0000017c  __TEXT,__text  objc  -[NSLocale(Setup) _requiresMultilingualSetupWithKeyboardIDs:]  // -[?(Setup) z]
0x00000001d4003ac4  0x00000008  __TEXT,__text  objc  -[NSLocale(Setup) requiresMultilingualSetup]  // -[?(Setup) ?]
0x00000001d4003acc  0x00000238  __TEXT,__text  objc  -[NSLocale(Setup) _languagesForMultilingualSetupWithKeyboardsIDs:]  // -[?(Setup) ]
0x00000001d4003d04  0x00000008  __TEXT,__text  objc  -[NSLocale(Setup) languagesForMultilingualSetup]  // -[?(Setup) ]
0x00000001d4003d0c  0x00000238  __TEXT,__text  objc  -[NSLocale(Setup) defaultLanguagesForMultilingualSetup]  // -[?(Setup) ?]
0x00000001d4003f44  0x000000e4  __TEXT,__text  objc  +[NSLocale(Setup) _subdivisionCodeFromSubdivisionTag:restrictedToRegionCode:]  // +[?(Setup) ?]
0x00000001d4004028  0x00000054  __TEXT,__text  func  MigrationLogger
0x00000001d400407c  0x00000044  __TEXT,__text  func  __MigrationLogger_block_invoke
0x00000001d40040c0  0x00000008  __TEXT,__text  objc  +[ISMigrator currentPlatform]  // +[ISMigrator ?]
0x00000001d40040c8  0x00000080  __TEXT,__text  objc  +[ISMigrator migratorFromVersion:toVersion:]  // +[ISMigrator ?]
0x00000001d4004148  0x00000074  __TEXT,__text  objc  +[ISMigrator migratorForNewUserAccountWithVersion:]  // +[ISMigrator 
]
0x00000001d40041bc  0x00000008  __TEXT,__text  objc  +[ISMigrator migratorFromVersion:toVersion:platform:]  // +[ISMigrator ?]
0x00000001d40041c4  0x0000009c  __TEXT,__text  objc  +[ISMigrator migratorFromVersion:toVersion:platform:newUserAccount:]  // +[ISMigrator ?]
0x00000001d4004260  0x0000006c  __TEXT,__text  objc  +[ISMigrator migratorFromSchemaVersion:]  // +[ISMigrator ?]
0x00000001d40042cc  0x0000000c  __TEXT,__text  objc  -[ISMigrator performMigrationForPreferences:]  // -[ISMigrator ?]
0x00000001d40042d8  0x0000000c  __TEXT,__text  objc  -[ISMigrator performMigrationForUserPreferences:systemPreferences:]  // -[ISMigrator ]
0x00000001d40042e4  0x000000ec  __TEXT,__text  objc  -[ISMigrator previousVersionIsOlderThanMacOS:iOS:watchOS:tvOS:]  // -[ISMigrator ]
0x00000001d40043d0  0x00000008  __TEXT,__text  objc  -[ISMigrator platform]  // -[ISMigrator ]
0x00000001d40043d8  0x00000008  __TEXT,__text  objc  -[ISMigrator setPlatform:]  // -[ISMigrator ?]
0x00000001d40043e0  0x00000008  __TEXT,__text  objc  -[ISMigrator previousVersion]  // -[ISMigrator ?]
0x00000001d40043e8  0x00000008  __TEXT,__text  objc  -[ISMigrator setPreviousVersion:]  // -[ISMigrator ?]
0x00000001d40043f0  0x00000008  __TEXT,__text  objc  -[ISMigrator currentVersion]  // -[ISMigrator remoteObjectProxy]
0x00000001d40043f8  0x00000008  __TEXT,__text  objc  -[ISMigrator setCurrentVersion:]  // -[ISMigrator ?]
0x00000001d4004400  0x00000008  __TEXT,__text  objc  -[ISMigrator previousSchemaVersion]  // -[ISMigrator ?]
0x00000001d4004408  0x00000008  __TEXT,__text  objc  -[ISMigrator setPreviousSchemaVersion:]  // -[ISMigrator ?]
0x00000001d4004410  0x00000008  __TEXT,__text  objc  -[ISMigrator newUserAccount]  // -[ISMigrator ?]
0x00000001d4004418  0x00000008  __TEXT,__text  objc  -[ISMigrator setNewUserAccount:]  // -[ISMigrator ?]
0x00000001d4004420  0x00000044  __TEXT,__text  objc  -[ISMigrator .cxx_destruct]  // -[ISMigrator ?]
0x00000001d4004464  0x00001168  __TEXT,__text  objc  -[ISRootMigrator performMigration]  // -[ISRootMigrator ]
0x00000001d40055cc  0x00000118  __TEXT,__text  objc  -[ISRootMigrator updateAppleLanguagesSchemaVersionToCurrent]  // -[ISRootMigrator ?]
0x00000001d40056e4  0x00000cc0  __TEXT,__text  objc  -[ISRootMigrator performMigrationForUserPreferences:systemPreferences:]  // -[ISRootMigrator ]
0x00000001d40063a4  0x00000008  __TEXT,__text  objc  -[ISRootMigrator performMigrationForPreferences:]  // -[ISRootMigrator ?]
0x00000001d40063ac  0x00000478  __TEXT,__text  objc  -[ISRootMigrator appendRegionalVariantsToLanguageIdentifiers:regionCode:]  // -[ISRootMigrator ?]
0x00000001d4006824  0x000005a4  __TEXT,__text  objc  -[ISRootMigrator importPreferredLanguagesForPreferences:]  // -[ISRootMigrator ?]
0x00000001d4006dc8  0x000003f4  __TEXT,__text  objc  -[ISRootMigrator importPreferredLanguages_macOS_10_9_forPreferences:]  // -[ISRootMigrator ]
0x00000001d40071bc  0x00000008  __TEXT,__text  objc  -[ISRootMigrator isErase]  // -[ISRootMigrator ?]
0x00000001d40071c4  0x00000008  __TEXT,__text  objc  -[ISRootMigrator setIsErase:]  // -[ISRootMigrator  ]
0x00000001d40071cc  0x00000008  __TEXT,__text  objc  -[ISRootMigrator isRestoreFromBackup]  // -[ISRootMigrator ?]
0x00000001d40071d4  0x00000008  __TEXT,__text  objc  -[ISRootMigrator setIsRestoreFromBackup:]  // -[ISRootMigrator ?]
0x00000001d40071dc  0x00000038  __TEXT,__text  objc  +[IPInternationalAnalytics reportStatistics]  // +[IPInternationalAnalytics v]
0x00000001d4007214  0x000003bc  __TEXT,__text  objc  +[IPInternationalAnalytics reportGeneralStatistics]  // +[IPInternationalAnalytics Bzj]
0x00000001d40075d0  0x000001f0  __TEXT,__text  objc  +[IPInternationalAnalytics reportPerAppLanguageStatistics]  // +[IPInternationalAnalytics ?]
0x00000001d40077c0  0x00000008  __TEXT,__text  objc  +[IPSettingsUtilities setLanguage:]  // +[IPSettingsUtilities ]
0x00000001d40077c8  0x00000048  __TEXT,__text  objc  +[IPSettingsUtilities setLanguage:postNotification:]  // +[IPSettingsUtilities ?]
0x00000001d4007810  0x0000000c  __TEXT,__text  objc  +[IPSettingsUtilities setRegion:]  // +[IPSettingsUtilities ?]
0x00000001d400781c  0x0000000c  __TEXT,__text  objc  +[IPSettingsUtilities setRegion:postNotification:]  // +[IPSettingsUtilities ]
0x00000001d4007828  0x0000015c  __TEXT,__text  objc  +[IPSettingsUtilities setRegion:changeLanguageVariant:postNotification:]  // +[IPSettingsUtilities ]
0x00000001d4007984  0x00000008  __TEXT,__text  objc  +[IPSettingsUtilities setLanguageAndRegion:]  // +[IPSettingsUtilities ?]
0x00000001d400798c  0x00000048  __TEXT,__text  objc  +[IPSettingsUtilities setLanguageAndRegion:postNotification:]  // +[IPSettingsUtilities ?]
0x00000001d40079d4  0x00000230  __TEXT,__text  objc  +[IPSettingsUtilities runPostLanguageChangeOperationsWithNotifications:]  // +[IPSettingsUtilities ?]
