//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/iOSSupport/System/Library/PrivateFrameworks/UserNotificationsKit.framework/Versions/A/UserNotificationsKit
// arch:    arm64e
// uuid:    24E29023-F37A-3349-BB33-2ADD17E8BD52
// text:    0x00000002cd307000
// count:   1491 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002cd309590  0x0000001c  __TEXT,__text  func  NCIsEqual
0x00000002cd3095ac  0x0000001c  __TEXT,__text  func  NCIsEqualToArray
0x00000002cd3095c8  0x0000001c  __TEXT,__text  func  NCIsEqualToSet
0x00000002cd3095e4  0x0000001c  __TEXT,__text  func  NCIsEqualToDictionary
0x00000002cd309600  0x00000054  __TEXT,__text  func  NCUserNotificationsKitFrameworkBundle
0x00000002cd309654  0x0000004c  __TEXT,__text  func  __NCUserNotificationsKitFrameworkBundle_block_invoke
0x00000002cd3096a0  0x00000078  __TEXT,__text  objc  -[NCNotificationRequest(Collapsing) isCollapsibleWithNotificationRequest:]  // -[NCNotificationRequest ler:]_block_invoke]
0x00000002cd309718  0x0000006c  __TEXT,__text  objc  -[NCNotificationCollapsingQueue init]  // -[NCNotificationCollapsingQueue ?]
0x00000002cd309784  0x0000003c  __TEXT,__text  objc  -[NCNotificationCollapsingQueue count]  // -[NCNotificationCollapsingQueue ?]
0x00000002cd3097c0  0x00000158  __TEXT,__text  objc  -[NCNotificationCollapsingQueue enqueuedRequestIdentifiers]  // -[NCNotificationCollapsingQueue sPresentedContentForRunningContext:completionHandler:]_block_invoke]
0x00000002cd309918  0x000000e0  __TEXT,__text  objc  -[NCNotificationCollapsingQueue addNotificationRequest:]  // -[NCNotificationCollapsingQueue ?]
0x00000002cd3099f8  0x00000088  __TEXT,__text  objc  -[NCNotificationCollapsingQueue replaceNotificationRequest:]  // -[NCNotificationCollapsingQueue plied. Open the app to continue.]
0x00000002cd309a80  0x0000007c  __TEXT,__text  objc  -[NCNotificationCollapsingQueue removeNotificationRequest:]  // -[NCNotificationCollapsingQueue ?]
