//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/i18n/libDECKanji.dylib
// arch:    arm64e
// uuid:    DC16EB35-8D4D-3DBF-A287-4E051395C701
// text:    0x00000002830bf000
// count:   11 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002830bf538  0x00000070  __TEXT,__text  func  _citrus_DECKanji_stdenc_init
0x00000002830bf5a8  0x00000010  __TEXT,__text  func  _citrus_DECKanji_stdenc_uninit
0x00000002830bf5b8  0x000000d8  __TEXT,__text  func  _citrus_DECKanji_stdenc_mbtocs
0x00000002830bf690  0x00000074  __TEXT,__text  func  _citrus_DECKanji_stdenc_cstomb
0x00000002830bf704  0x00000068  __TEXT,__text  func  _citrus_DECKanji_stdenc_mbtowc
0x00000002830bf76c  0x00000018  __TEXT,__text  func  _citrus_DECKanji_stdenc_wctomb
0x00000002830bf784  0x0000000c  __TEXT,__text  func  _citrus_DECKanji_stdenc_put_state_reset
0x00000002830bf790  0x00000028  __TEXT,__text  func  _citrus_DECKanji_stdenc_get_state_desc
0x00000002830bf7b8  0x00000030  __TEXT,__text  func  _citrus_DECKanji_stdenc_getops
0x00000002830bf7e8  0x000000e4  __TEXT,__text  func  _citrus_DECKanji_mbrtowc_priv
0x00000002830bf8cc  0x00000000  __TEXT,__text  func  _citrus_DECKanji_wcrtomb_priv
