//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libAppleArchive.dylib
// arch:    arm64e
// uuid:    0FBEE8ED-BE69-3AC5-AC4E-6C28EEC29CF6
// text:    0x0000000283124000
// count:   1075 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000283124998  0x00000050  __TEXT,__text  sub  sub_283124998
0x00000002831249e8  0x0000003c  __TEXT,__text  sub  sub_2831249e8
0x0000000283124a24  0x00000090  __TEXT,__text  sub  sub_283124a24
0x0000000283124ab4  0x00000018  __TEXT,__text  func  compare_extents_by_position
0x0000000283124acc  0x000000a8  __TEXT,__text  func  rawimg_destroy
0x0000000283124b74  0x000001dc  __TEXT,__text  func  rawimg_show
0x0000000283124d50  0x000002e4  __TEXT,__text  func  rawimg_create_with_path
0x0000000283125034  0x0000016c  __TEXT,__text  func  rawimg_add_fork
0x00000002831251a0  0x00000008  __TEXT,__text  func  rawimg_add_volume
0x00000002831251a8  0x000004a4  __TEXT,__text  func  rawimg_verify
0x000000028312564c  0x00000c24  __TEXT,__text  func  rawimg_get_digests
0x0000000283126270  0x0000007c  __TEXT,__text  func  rawimg_free_chunks
0x00000002831262ec  0x000001a0  __TEXT,__text  func  rawimg_digest_worker
0x000000028312648c  0x00000030  __TEXT,__text  func  compare_digest_tasks
0x00000002831264bc  0x00000378  __TEXT,__text  func  rawimg_set_fork_types
0x0000000283126834  0x00000058  __TEXT,__text  func  compare_copy_fork_5
0x000000028312688c  0x00000038  __TEXT,__text  func  compare_copy_fork_4
0x00000002831268c4  0x00000018  __TEXT,__text  func  aggregate_copy_fork
0x00000002831268dc  0x000000b4  __TEXT,__text  func  compare_copy_fork_3
0x0000000283126990  0x00000460  __TEXT,__text  func  rawimg_save_to_stream
0x0000000283126df0  0x00000538  __TEXT,__text  func  rawimg_create_with_stream
0x0000000283127328  0x0000005c  __TEXT,__text  func  rawimg_allocate_header_and_footer
0x0000000283127384  0x00000018  __TEXT,__text  func  compare_forks_by_extent
0x000000028312739c  0x00000024  __TEXT,__text  func  aggregate_identical_forks
0x00000002831273c0  0x0000002c  __TEXT,__text  func  compare_forks_by_position
0x00000002831273ec  0x00000010  __TEXT,__text  func  pc_array_compare
0x00000002831273fc  0x00000078  __TEXT,__text  cxx  __Z13pc_array_initmm  // pc_array_init(unsigned long, unsigned long)
0x0000000283127474  0x00000008  __TEXT,__text  cxx  __Z13pc_array_initm  // pc_array_init(unsigned long)
0x000000028312747c  0x00000010  __TEXT,__text  func  pc_array_free
0x000000028312748c  0x00000074  __TEXT,__text  func  pc_array_compact
0x0000000283127500  0x000000f0  __TEXT,__text  func  pc_array_append
0x00000002831275f0  0x00000010  __TEXT,__text  func  pc_array_sort
0x0000000283127600  0x000000b8  __TEXT,__text  func  pc_array_indirect_sort
0x00000002831276b8  0x000000d8  __TEXT,__text  func  pc_array_aggregate
0x0000000283127790  0x00000020  __TEXT,__text  func  PCompressGetEncoderDescription
0x00000002831277b0  0x00000020  __TEXT,__text  func  PCompressGetEncoderDecoder
0x00000002831277d0  0x0000002c  __TEXT,__text  func  PCompressGetDecoderKey
0x00000002831277fc  0x00000020  __TEXT,__text  func  PCompressGetDecoderDescription
0x000000028312781c  0x0000032c  __TEXT,__text  func  AEADecryptAsyncStreamOpen
0x0000000283127b48  0x00000778  __TEXT,__text  func  workerProc
0x00000002831282c0  0x00000144  __TEXT,__text  func  pushRange
0x0000000283128404  0x000001e0  __TEXT,__text  func  decryptAsyncClose
0x00000002831285e4  0x00000154  __TEXT,__text  func  decryptAsyncGetRange
0x0000000283128738  0x00000238  __TEXT,__text  func  decryptAsyncProcess
0x0000000283128970  0x00000014  __TEXT,__text  func  decryptAsyncCancel
0x0000000283128984  0x0000000c  __TEXT,__text  func  decryptAsyncIsCancelled
0x0000000283128990  0x00000138  __TEXT,__text  func  processMagic
0x0000000283128ac8  0x000003e4  __TEXT,__text  func  processPrologue
0x0000000283128eac  0x00000784  __TEXT,__text  func  processClusterHeader
0x0000000283129630  0x0000032c  __TEXT,__text  func  processPadding
0x000000028312995c  0x00000148  __TEXT,__text  func  processSegment
0x0000000283129aa4  0x00000018  __TEXT,__text  func  cmpRange
0x0000000283129abc  0x000000a8  __TEXT,__text  func  pushPaddingRange
0x0000000283129b64  0x000002c0  __TEXT,__text  func  startStreaming
0x0000000283129e24  0x00000018  __TEXT,__text  func  AAArchiveStreamReadHeader
0x0000000283129e3c  0x0000001c  __TEXT,__text  func  AAArchiveStreamReadBlob
0x0000000283129e58  0x00000018  __TEXT,__text  func  AAArchiveStreamWriteHeader
0x0000000283129e70  0x0000001c  __TEXT,__text  func  AAArchiveStreamWriteBlob
0x0000000283129e8c  0x00000054  __TEXT,__text  func  AAArchiveStreamClose
0x0000000283129ee0  0x00000014  __TEXT,__text  func  AAArchiveStreamCancel
0x0000000283129ef4  0x00000074  __TEXT,__text  func  AACustomArchiveStreamOpen
0x0000000283129f68  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetData
0x0000000283129f70  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetCloseProc
0x0000000283129f78  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetCancelProc
0x0000000283129f80  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetWriteHeaderProc
0x0000000283129f88  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetWriteBlobProc
0x0000000283129f90  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetReadHeaderProc
0x0000000283129f98  0x00000008  __TEXT,__text  func  AACustomArchiveStreamSetReadBlobProc
0x0000000283129fa0  0x000010c4  __TEXT,__text  func  appendPathListWorkerProc
0x000000028312b064  0x000016e4  __TEXT,__text  func  AAArchiveStreamWritePathList
0x000000028312c748  0x00000038  __TEXT,__text  func  cmp_entries_hlc
0x000000028312c780  0x00000038  __TEXT,__text  func  cmp_entries_clc
0x000000028312c7b8  0x00000064  __TEXT,__text  func  cmp_entries_slc
0x000000028312c81c  0x00000018  __TEXT,__text  func  cmp_entries_offset
0x000000028312c834  0x000002d4  __TEXT,__text  func  AEADecryptionRandomAccessInputStreamOpen
0x000000028312cb08  0x0000010c  __TEXT,__text  func  RandomAccessDecryptionStreamDestroy
0x000000028312cc14  0x0000008c  __TEXT,__text  func  RandomAccessDecryptionStreamGetBlock
0x000000028312cca0  0x0000001c  __TEXT,__text  func  RandomAccessDecryptionStreamAbort
0x000000028312ccbc  0x00000070  __TEXT,__text  func  aaAssetDecodeStreamDone
0x000000028312cd2c  0x000000dc  __TEXT,__text  func  closeProc
0x000000028312ce08  0x00000090  __TEXT,__text  func  aaAssetDecodeStreamSetParameterPtr
0x000000028312ce98  0x00000184  __TEXT,__text  func  aaAssetDecodeStreamOpen
