//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libDisplayWarpSupport.dylib
// arch:    arm64e
// uuid:    A71BF557-6A8A-3089-9DF9-83689D900FFE
// text:    0x00000002832b0000
// count:   2813 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002832b0968  0x000003d8  __TEXT,__text  sub  sub_2832b0968
0x00000002832b0d40  0x00000038  __TEXT,__text  sub  sub_2832b0d40
0x00000002832b0d78  0x00000038  __TEXT,__text  sub  sub_2832b0d78
0x00000002832b0db0  0x000003d8  __TEXT,__text  sub  sub_2832b0db0
0x00000002832b1188  0x00000038  __TEXT,__text  sub  sub_2832b1188
0x00000002832b11c0  0x00000038  __TEXT,__text  sub  sub_2832b11c0
0x00000002832b11f8  0x000003d8  __TEXT,__text  sub  sub_2832b11f8
0x00000002832b15d0  0x00000038  __TEXT,__text  sub  sub_2832b15d0
0x00000002832b1608  0x00000038  __TEXT,__text  sub  sub_2832b1608
0x00000002832b1640  0x00000028  __TEXT,__text  sub  sub_2832b1640
0x00000002832b1668  0x000003d8  __TEXT,__text  sub  sub_2832b1668
0x00000002832b1a40  0x00000038  __TEXT,__text  sub  sub_2832b1a40
0x00000002832b1a78  0x00000038  __TEXT,__text  sub  sub_2832b1a78
0x00000002832b1ab0  0x00000064  __TEXT,__text  sub  sub_2832b1ab0
0x00000002832b1b14  0x00000064  __TEXT,__text  sub  sub_2832b1b14
0x00000002832b1b78  0x00000064  __TEXT,__text  sub  sub_2832b1b78
0x00000002832b1bdc  0x00000064  __TEXT,__text  sub  sub_2832b1bdc
0x00000002832b1c40  0x000003d8  __TEXT,__text  sub  sub_2832b1c40
0x00000002832b2018  0x00000038  __TEXT,__text  sub  sub_2832b2018
0x00000002832b2050  0x00000038  __TEXT,__text  sub  sub_2832b2050
0x00000002832b2088  0x00000064  __TEXT,__text  sub  sub_2832b2088
0x00000002832b20ec  0x00000040  __TEXT,__text  cxx  __ZN3dws19default_memory_poolEv  // dws::default_memory_pool()
0x00000002832b212c  0x00000028  __TEXT,__text  cxx  __ZN3dws10MemoryPoolC1ENS_4spanIhEENS_26FallbackAllocationStrategyE  // dws::MemoryPool::MemoryPool(dws::span<unsigned char>, dws::FallbackAllocationStrategy)
0x00000002832b2154  0x00000028  __TEXT,__text  cxx  __ZN3dws10MemoryPoolC2ENS_4spanIhEENS_26FallbackAllocationStrategyE  // dws::MemoryPool::MemoryPool(dws::span<unsigned char>, dws::FallbackAllocationStrategy)
0x00000002832b217c  0x00000014  __TEXT,__text  func  __clang_call_terminate
0x00000002832b2190  0x0000007c  __TEXT,__text  cxx  __ZN3dws10MemoryPool5resetEv  // dws::MemoryPool::reset()
0x00000002832b220c  0x00000120  __TEXT,__text  cxx  __ZN3dws10MemoryPool8allocateEmm  // dws::MemoryPool::allocate(unsigned long, unsigned long)
0x00000002832b232c  0x00000094  __TEXT,__text  cxx  __ZN3dws10MemoryPool10deallocateEPvmm  // dws::MemoryPool::deallocate(void*, unsigned long, unsigned long)
0x00000002832b23c0  0x00000048  __TEXT,__text  cxx  __ZN3dws9BitReader8read_bitEv  // dws::BitReader::read_bit()
0x00000002832b2408  0x00000068  __TEXT,__text  cxx  __ZN3dws9BitReader6read_uEi  // dws::BitReader::read_u(int)
0x00000002832b2470  0x00000114  __TEXT,__text  cxx  __ZN3dws9BitReader10decode_egkEi  // dws::BitReader::decode_egk(int)
0x00000002832b2584  0x00000014  __TEXT,__text  cxx  __ZN3dws9BitReader25unchecked_aligned_read_u8Ev  // dws::BitReader::unchecked_aligned_read_u8()
0x00000002832b2598  0x00000020  __TEXT,__text  cxx  __ZN3dws9BitReader26unchecked_aligned_read_u16Ev  // dws::BitReader::unchecked_aligned_read_u16()
0x00000002832b25b8  0x0000001c  __TEXT,__text  cxx  __ZN3dws9BitReader26unchecked_aligned_read_u32Ev  // dws::BitReader::unchecked_aligned_read_u32()
0x00000002832b25d4  0x00000084  __TEXT,__text  cxx  __ZN3dws9BitWriter7write_uEji  // dws::BitWriter::write_u(unsigned int, int)
0x00000002832b2658  0x00000184  __TEXT,__text  cxx  __ZN3dws9BitWriter10encode_egkEii  // dws::BitWriter::encode_egk(int, int)
0x00000002832b27dc  0x00000094  __TEXT,__text  cxx  __ZN3dws9BitWriter21zero_pad_to_alignmentEi  // dws::BitWriter::zero_pad_to_alignment(int)
0x00000002832b2870  0x00000004  __TEXT,__text  cxx  __ZN3dws18predict_grid_entryEiiiPKNS_3vecIsLi2EEEPKh  // dws::predict_grid_entry(int, int, int, dws::vec<short, 2> const*, unsigned char const*)
0x00000002832b2874  0x000001bc  __TEXT,__text  cxx  __ZN3dws23predict_grid_entry_implINS_3vecIsLi2EEEEET_iiiPKS3_PKh  // dws::vec<short, 2> dws::predict_grid_entry_impl<dws::vec<short, 2>>(int, int, int, dws::vec<short, 2> const*, unsigned char const*)
0x00000002832b2a30  0x00000004  __TEXT,__text  cxx  __ZN3dws18predict_grid_entryEiiiPKNS_3vecIiLi2EEEPKh  // dws::predict_grid_entry(int, int, int, dws::vec<int, 2> const*, unsigned char const*)
0x00000002832b2a34  0x000001bc  __TEXT,__text  cxx  __ZN3dws23predict_grid_entry_implINS_3vecIiLi2EEEEET_iiiPKS3_PKh  // dws::vec<int, 2> dws::predict_grid_entry_impl<dws::vec<int, 2>>(int, int, int, dws::vec<int, 2> const*, unsigned char const*)
0x00000002832b2bf0  0x00000068  __TEXT,__text  cxx  __ZN3dws16get_arch_detailsENS_22BoraWarperArchitectureE  // dws::get_arch_details(dws::BoraWarperArchitecture)
0x00000002832b2c58  0x0000005c  __TEXT,__text  cxx  __ZN3dws14get_generationENS_22BoraWarperArchitectureE  // dws::get_generation(dws::BoraWarperArchitecture)
0x00000002832b2cb4  0x0000007c  __TEXT,__text  cxx  __ZN3dws49make_bora_graphics_warper_intermediate_resolutionENS_14BoraGenerationERKNS_3vecIiLi2EEE  // dws::make_bora_graphics_warper_intermediate_resolution(dws::BoraGeneration, dws::vec<int, 2> const&)
0x00000002832b2d30  0x00000090  __TEXT,__text  cxx  __ZN3dws36make_bora_warper_region_pixel_shiftsENS_22BoraWarperArchitectureE  // dws::make_bora_warper_region_pixel_shifts(dws::BoraWarperArchitecture)
0x00000002832b2dc0  0x000000ac  __TEXT,__text  cxx  __ZN3dws35make_bora_graphics_warper_registersENS_14BoraGenerationERKNS_3vecIiLi2EEES4_  // dws::make_bora_graphics_warper_registers(dws::BoraGeneration, dws::vec<int, 2> const&, dws::vec<int, 2> const&)
0x00000002832b2e6c  0x0000003c  __TEXT,__text  cxx  __ZN3dws25compute_input_coord_scaleERKNS_3vecIiLi2EEES3_  // dws::compute_input_coord_scale(dws::vec<int, 2> const&, dws::vec<int, 2> const&)
0x00000002832b2ea8  0x00000194  __TEXT,__text  cxx  __ZN3dws40make_bora_graphics_warper_bitstream_infoERKNS_27BoraWarperRegionPixelShiftsERKNS_3vecIiLi2EEENS_4spanIKiEES9_  // dws::make_bora_graphics_warper_bitstream_info(dws::BoraWarperRegionPixelShifts const&, dws::vec<int, 2> const&, dws::span<int const>, dws::span<int const>)
0x00000002832b303c  0x00000184  __TEXT,__text  cxx  __ZN3dws55compute_bora_virtual_axis_from_virtual_space_boundariesEiNS_4spanIKiEE  // dws::compute_bora_virtual_axis_from_virtual_space_boundaries(int, dws::span<int const>)
0x00000002832b31c0  0x0000000c  __TEXT,__text  cxx  __ZN3dws16divide_and_roundEii  // dws::divide_and_round(int, int)
0x00000002832b31cc  0x0000001c  __TEXT,__text  cxx  __ZN3dws24compute_virt_coord_scaleEii  // dws::compute_virt_coord_scale(int, int)
0x00000002832b31e8  0x00000018  __TEXT,__text  cxx  __ZN3dws30multiply_fixed_point_and_roundEiii  // dws::multiply_fixed_point_and_round(int, int, int)
0x00000002832b3200  0x000000b0  __TEXT,__text  cxx  __ZNK3dws15BoraVirtualAxis11virt_to_wsrEii  // dws::BoraVirtualAxis::virt_to_wsr(int, int) const
0x00000002832b32b0  0x0000005c  __TEXT,__text  cxx  __ZN3dws15get_tree_offsetENS_22BoraWarperArchitectureE  // dws::get_tree_offset(dws::BoraWarperArchitecture)
0x00000002832b330c  0x000000e8  __TEXT,__text  cxx  __ZN3dws28compute_quadtree_level_indexERKNS_3vecIfLi2EEE  // dws::compute_quadtree_level_index(dws::vec<float, 2> const&)
0x00000002832b33f4  0x0000004c  __TEXT,__text  cxx  __ZN3dws55convert_virtual_pixel_coordinates_to_warper_fixed_pointENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEENS2_IiLi2EEES6_S6_NS0_IS1_NS2_IsLi2EEEEE  // dws::convert_virtual_pixel_coordinates_to_warper_fixed_point(dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
0x00000002832b3440  0x000002f0  __TEXT,__text  cxx  __ZN3dws55convert_virtual_pixel_coordinates_to_warper_fixed_pointENS_18StructuredGridViewINS_17RegularGridLayoutEKNS_3vecIfLi2EEEEENS2_IiLi2EEES6_S6_S6_NS0_IS1_NS2_IsLi2EEEEE  // dws::convert_virtual_pixel_coordinates_to_warper_fixed_point(dws::StructuredGridView<dws::RegularGridLayout, dws::vec<float, 2> const>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::vec<int, 2>, dws::StructuredGridView<dws::RegularGridLayout, dws::vec<short, 2>>)
