//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libMatch.1.dylib
// arch:    arm64e
// uuid:    96C8879C-B224-388A-AC38-F7D0B21D395D
// text:    0x0000000191bf0000
// count:   62 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000191bf0550  0x000000ac  __TEXT,__text  func  matchInit
0x0000000191bf05fc  0x0000000c  __TEXT,__text  func  malloc_wrapper
0x0000000191bf0608  0x0000024c  __TEXT,__text  func  matchCompile
0x0000000191bf0854  0x000003fc  __TEXT,__text  func  tokenize
0x0000000191bf0c50  0x00000164  __TEXT,__text  func  handleOperator
0x0000000191bf0db4  0x00000140  __TEXT,__text  func  handleToken
0x0000000191bf0ef4  0x00000708  __TEXT,__text  func  evaluateOperator
0x0000000191bf15fc  0x00000038  __TEXT,__text  sub  sub_191bf15fc
0x0000000191bf1634  0x000000c0  __TEXT,__text  func  verifyOperandCount
0x0000000191bf16f4  0x000008c0  __TEXT,__text  func  matchPack
0x0000000191bf1fb4  0x0000005c  __TEXT,__text  sub  sub_191bf1fb4
0x0000000191bf2010  0x00000040  __TEXT,__text  sub  sub_191bf2010
0x0000000191bf2050  0x00000004  __TEXT,__text  func  free_wrapper
0x0000000191bf2054  0x00000074  __TEXT,__text  func  matchCombine
0x0000000191bf20c8  0x00000120  __TEXT,__text  func  matchCombine2
0x0000000191bf21e8  0x00000134  __TEXT,__text  func  matchCopy
0x0000000191bf231c  0x000000d4  __TEXT,__text  func  nfaCopy
0x0000000191bf23f0  0x000001c0  __TEXT,__text  func  nfaCopyNodes
0x0000000191bf25b0  0x000000d4  __TEXT,__text  func  nfaFree
0x0000000191bf2684  0x00000078  __TEXT,__text  func  matchFree
0x0000000191bf26fc  0x00000ff0  __TEXT,__text  func  matchExec
0x0000000191bf36ec  0x00000040  __TEXT,__text  sub  sub_191bf36ec
0x0000000191bf372c  0x00000040  __TEXT,__text  sub  sub_191bf372c
0x0000000191bf376c  0x00000040  __TEXT,__text  sub  sub_191bf376c
0x0000000191bf37ac  0x00000034  __TEXT,__text  sub  sub_191bf37ac
0x0000000191bf37e0  0x00000040  __TEXT,__text  sub  sub_191bf37e0
0x0000000191bf3820  0x00000040  __TEXT,__text  sub  sub_191bf3820
0x0000000191bf3860  0x00000040  __TEXT,__text  sub  sub_191bf3860
0x0000000191bf38a0  0x00000040  __TEXT,__text  sub  sub_191bf38a0
0x0000000191bf38e0  0x00000034  __TEXT,__text  sub  sub_191bf38e0
0x0000000191bf3914  0x000000e4  __TEXT,__text  func  addNodeToList
0x0000000191bf39f8  0x00000040  __TEXT,__text  sub  sub_191bf39f8
0x0000000191bf3a38  0x00000040  __TEXT,__text  sub  sub_191bf3a38
0x0000000191bf3a78  0x00000040  __TEXT,__text  sub  sub_191bf3a78
0x0000000191bf3ab8  0x00000040  __TEXT,__text  sub  sub_191bf3ab8
0x0000000191bf3af8  0x00000040  __TEXT,__text  sub  sub_191bf3af8
0x0000000191bf3b38  0x0000005c  __TEXT,__text  sub  sub_191bf3b38
0x0000000191bf3b94  0x00000040  __TEXT,__text  sub  sub_191bf3b94
0x0000000191bf3bd4  0x00000040  __TEXT,__text  sub  sub_191bf3bd4
0x0000000191bf3c14  0x000000a4  __TEXT,__text  sub  sub_191bf3c14
0x0000000191bf3cb8  0x00000040  __TEXT,__text  sub  sub_191bf3cb8
0x0000000191bf3cf8  0x00000040  __TEXT,__text  sub  sub_191bf3cf8
0x0000000191bf3d38  0x000000a4  __TEXT,__text  func  expandBuffers
0x0000000191bf3ddc  0x00000d84  __TEXT,__text  func  matchOptimize
0x0000000191bf4b60  0x0000016c  __TEXT,__text  func  simplifyBranches
0x0000000191bf4ccc  0x000001c0  __TEXT,__text  func  splitAltNodes
0x0000000191bf4e8c  0x00000130  __TEXT,__text  func  nodeModRefs
0x0000000191bf4fbc  0x00000074  __TEXT,__text  func  nodeModRefCount
0x0000000191bf5030  0x0000018c  __TEXT,__text  func  recurseThroughBranches
0x0000000191bf51bc  0x000000c4  __TEXT,__text  func  nodeCmp
0x0000000191bf5280  0x00000180  __TEXT,__text  func  nodesMightOverlap
0x0000000191bf5400  0x00000130  __TEXT,__text  func  isStraightLineUntilDotStar
0x0000000191bf5530  0x00000010  __TEXT,__text  func  charAltEntryCmp
0x0000000191bf5540  0x00000008  __TEXT,__text  func  matchValidate
0x0000000191bf5548  0x00000368  __TEXT,__text  func  matchUnpack
0x0000000191bf58b0  0x00000b54  __TEXT,__text  func  matchDiagram
0x0000000191bf6404  0x00000320  __TEXT,__text  func  printGraphNode
0x0000000191bf6724  0x00000298  __TEXT,__text  func  printRunNode
0x0000000191bf69bc  0x000001ec  __TEXT,__text  func  matchPrintNodes
0x0000000191bf6ba8  0x0000005c  __TEXT,__text  func  matchSetOption
0x0000000191bf6c04  0x0000004c  __TEXT,__text  func  nodeModPtrRefs
0x0000000191bf6c50  0x00000000  __TEXT,__text  func  matchDup
