//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libMemoryResourceException.dylib
// arch:    arm64e
// uuid:    FB0BC6F6-2C3E-3EF4-B946-96FF272A824F
// text:    0x00000001bf764000
// count:   946 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001bf765520  0x00000098  __TEXT,__text  sub  sub_1bf765520
0x00000001bf7655b8  0x00000060  __TEXT,__text  func  -[FPRangeList addRange:memoryTotal:]
0x00000001bf765618  0x00000274  __TEXT,__text  func  _FPRangeListAddNode
0x00000001bf76588c  0x0000006c  __TEXT,__text  func  -[FPRangeList _addRangeList:]
0x00000001bf7658f8  0x00000120  __TEXT,__text  func  -[FPRangeList addRegion:]
0x00000001bf765a18  0x00000074  __TEXT,__text  func  -[FPRangeList sum]
0x00000001bf765a8c  0x00000060  __TEXT,__text  objc  -[FPRangeList dealloc]  // -[FPRangeList ?]
0x00000001bf765aec  0x00000100  __TEXT,__text  func  _FPRangeListSplitNodeAtIntersection
0x00000001bf765bec  0x00000334  __TEXT,__text  func  getLogPathsSortedByProcessFrequencyForLogs
0x00000001bf765f20  0x0000014c  __TEXT,__text  func  __getLogPathsSortedByProcessFrequencyForLogs_block_invoke
0x00000001bf76606c  0x0000004c  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s56s
0x00000001bf7660b8  0x0000004c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s56s
0x00000001bf766104  0x00000090  __TEXT,__text  func  __getLogPathsSortedByProcessFrequencyForLogs_block_invoke.9
0x00000001bf766194  0x000002bc  __TEXT,__text  objc  -[RMECacheEnumerator initCacheEnumeratorWithVolume:]  // -[RMECacheEnumerator ud identifier should not be final]
0x00000001bf766450  0x000000e8  __TEXT,__text  func  __52-[RMECacheEnumerator initCacheEnumeratorWithVolume:]_block_invoke
0x00000001bf766538  0x0000003c  __TEXT,__text  func  __copy_helper_block_e8_32s40s
0x00000001bf766574  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x00000001bf7665b0  0x00000044  __TEXT,__text  objc  -[RMECacheEnumerator initCacheEnumerator]  // -[RMECacheEnumerator ?]
0x00000001bf7665f4  0x00000008  __TEXT,__text  objc  -[RMECacheEnumerator nextValidURL]  // -[RMECacheEnumerator ?]
0x00000001bf7665fc  0x0000006c  __TEXT,__text  objc  +[RMECacheEnumerator getLogPathsSortedByTime]  // +[RMECacheEnumerator ?]
0x00000001bf766668  0x0000008c  __TEXT,__text  objc  +[RMECacheEnumerator getLogPathsSortedByProcessFrequency]  // +[RMECacheEnumerator ?]
0x00000001bf7666f4  0x0000084c  __TEXT,__text  objc  +[RMECacheEnumerator getLogPathsForSystemDiagnostic]  // +[RMECacheEnumerator ?]
0x00000001bf766f40  0x000002a4  __TEXT,__text  objc  +[RMECacheEnumerator getGcoreSpoolWithCreateIfNecessary:]  // +[RMECacheEnumerator ?]
0x00000001bf7671e4  0x000003f4  __TEXT,__text  objc  -[RMECacheEnumerator deleteFilesOlderThanThreshold:]  // -[RMECacheEnumerator 2]
0x00000001bf7675d8  0x00000044  __TEXT,__text  objc  -[RMECacheEnumerator .cxx_destruct]  // -[RMECacheEnumerator ?]
0x00000001bf76761c  0x000001b4  __TEXT,__text  func  filesWithinSizeThreshold
0x00000001bf7677d0  0x000001e4  __TEXT,__text  func  filesWithinAgeThreshold
0x00000001bf7679b4  0x00000158  __TEXT,__text  func  uniqueLogsArray
0x00000001bf767b0c  0x00000194  __TEXT,__text  objc  +[RMECacheEnumerator(ContainerSupport) getLogContainer:]  // +[RMECacheEnumerator ]
0x00000001bf767ca0  0x00000280  __TEXT,__text  func  __56+[RMECacheEnumerator(ContainerSupport) getLogContainer:]_block_invoke
0x00000001bf767f20  0x00000110  __TEXT,__text  func  setSearchPermissionOnDir
0x00000001bf768030  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x00000001bf768038  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x00000001bf768040  0x0000000c  __TEXT,__text  objc  +[RMECacheEnumerator(ContainerSupport) getEPLProfilePath]  // +[RMECacheEnumerator ?]
0x00000001bf76804c  0x00000230  __TEXT,__text  func  RMECheckEntitlement
0x00000001bf76827c  0x000000cc  __TEXT,__text  func  __RMECheckEntitlement_block_invoke
0x00000001bf768348  0x00000130  __TEXT,__text  func  RMEHandleAuthReply
0x00000001bf768478  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40b
0x00000001bf7684c0  0x0000025c  __TEXT,__text  func  RMEDoWithAuthenticationOrTimeout
0x00000001bf76871c  0x00000044  __TEXT,__text  func  __RMEDoWithAuthenticationOrTimeout_block_invoke
0x00000001bf768760  0x00000074  __TEXT,__text  func  __RMEDoWithAuthenticationOrTimeout_block_invoke_2
0x00000001bf7687d4  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x00000001bf7687e4  0x0000006c  __TEXT,__text  func  __RMEDoWithAuthenticationOrTimeout_block_invoke.9
0x00000001bf768850  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32b40r
0x00000001bf7688a0  0x00000040  __TEXT,__text  func  __destroy_helper_block_e8_32s40r
0x00000001bf7688e0  0x00000060  __TEXT,__text  func  __RMEDoWithAuthenticationOrTimeout_block_invoke.11
0x00000001bf768940  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x00000001bf768950  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x00000001bf76895c  0x0000012c  __TEXT,__text  func  FPExtractCorpseInfoWithBlock
0x00000001bf768a88  0x00000048  __TEXT,__text  func  coalition_id_for_pid
0x00000001bf768ad0  0x0000005c  __TEXT,__text  func  -[MemoryResourceException processPidString]
0x00000001bf768b2c  0x00000568  __TEXT,__text  objc  -[MemoryResourceException generateMemoryGraphWithContentLevel:memgraphFailedReasonOut:]  // -[MemoryResourceException ?]
0x00000001bf769094  0x00000090  __TEXT,__text  func  execPathForPid
0x00000001bf769124  0x000000d0  __TEXT,__text  func  getKinfoProcForPid
0x00000001bf7691f4  0x00000078  __TEXT,__text  func  dateFromSecondsAndMicroSeconds
0x00000001bf76926c  0x00000080  __TEXT,__text  func  copyCoalitionDict
0x00000001bf7692ec  0x00000140  __TEXT,__text  func  extractBundleId
0x00000001bf76942c  0x000000d4  __TEXT,__text  func  extractBundleVersion
0x00000001bf769500  0x000000a0  __TEXT,__text  func  extractCoalitionBundleId
0x00000001bf7695a0  0x00000178  __TEXT,__text  func  isMSLEnabledForTask
0x00000001bf769718  0x00000280  __TEXT,__text  func  __44-[MemoryResourceException extractCorpseInfo]_block_invoke
0x00000001bf769998  0x00000368  __TEXT,__text  objc  -[MemoryResourceException _symbolOwners]  // -[MemoryResourceException ?]
0x00000001bf769d00  0x00000090  __TEXT,__text  func  __40-[MemoryResourceException _symbolOwners]_block_invoke
0x00000001bf769d90  0x0000003c  __TEXT,__text  func  __40-[MemoryResourceException _symbolOwners]_block_invoke_2
0x00000001bf769dcc  0x000006a0  __TEXT,__text  objc  -[MemoryResourceException prettyPrintBacktrace:]  // -[MemoryResourceException ?]
0x00000001bf76a46c  0x000003b4  __TEXT,__text  objc  -[MemoryResourceException prettyPrintBinaryImages]  // -[MemoryResourceException ]
0x00000001bf76a820  0x000003c0  __TEXT,__text  objc  -[MemoryResourceException prettyPrintIOSurfaceInfo]  // -[MemoryResourceException ?]
0x00000001bf76abe0  0x0000060c  __TEXT,__text  objc  -[MemoryResourceException prettyPrintIOAccelMemoryInfo]  // -[MemoryResourceException ?]
0x00000001bf76b1ec  0x000000cc  __TEXT,__text  func  __55-[MemoryResourceException prettyPrintIOAccelMemoryInfo]_block_invoke
0x00000001bf76b2b8  0x0000066c  __TEXT,__text  objc  -[MemoryResourceException createMetaDataDict]  // -[MemoryResourceException ]
0x00000001bf76b924  0x00000174  __TEXT,__text  objc  -[MemoryResourceException createLiteMetaDataDict]  // -[MemoryResourceException ?]
0x00000001bf76ba98  0x00000020  __TEXT,__text  objc  -[MemoryResourceException saveLogFileWithHandle:error:]  // -[MemoryResourceException ?]
0x00000001bf76bab8  0x00000400  __TEXT,__text  objc  -[MemoryResourceException _saveLogFileWithHandle:error:]  // -[MemoryResourceException ]
0x00000001bf76beb8  0x00000048  __TEXT,__text  objc  -[MemoryResourceException dealloc]  // -[MemoryResourceException ?]
0x00000001bf76bf00  0x0000067c  __TEXT,__text  objc  +[MemoryResourceException resourceExceptionFromTask:error:]  // +[MemoryResourceException ?]
0x00000001bf76c57c  0x00000060  __TEXT,__text  objc  -[MemoryResourceException populateAdditionalMetadataWithDiagnostics:]  // -[MemoryResourceException ?]
0x00000001bf76c5dc  0x0000112c  __TEXT,__text  objc  -[MemoryResourceException _populateAddtionalMetadataWithOptions:timeoutSecs:]  // -[MemoryResourceException ?]
0x00000001bf76d708  0x00000618  __TEXT,__text  func  __77-[MemoryResourceException _populateAddtionalMetadataWithOptions:timeoutSecs:]_block_invoke
0x00000001bf76dd20  0x00000138  __TEXT,__text  objc  -[MemoryResourceException _generateMemgraphWithContentLevel:timeoutSecs:memgraphFailedReasonOut:]  // -[MemoryResourceException d]]
0x00000001bf76de58  0x000000b8  __TEXT,__text  objc  -[MemoryResourceException releaseAnalyzedTask]  // -[MemoryResourceException ?]
0x00000001bf76df10  0x0000007c  __TEXT,__text  objc  -[MemoryResourceException isFirstParty]  // -[MemoryResourceException ?]
0x00000001bf76df8c  0x00000d98  __TEXT,__text  func  -[MemoryResourceException initWithMetaDataDict:andMemoryGraph:withError:]
0x00000001bf76ed24  0x000004a4  __TEXT,__text  objc  +[MemoryResourceException resourceExceptionFromLogFileHandle:error:]  // +[MemoryResourceException kup - asking client to push all pending changes first]
0x00000001bf76f1c8  0x0000007c  __TEXT,__text  objc  -[MemoryResourceException copyWithZone:]  // -[MemoryResourceException ?]
0x00000001bf76f244  0x000000f8  __TEXT,__text  objc  +[MemoryResourceException extractExecNameAndBundleIDMinimal:execNameOut:bundleIDOut:]  // +[MemoryResourceException ]
0x00000001bf76f33c  0x0000000c  __TEXT,__text  objc  -[MemoryResourceException memoryGraph]  // -[MemoryResourceException ?]
0x00000001bf76f348  0x0000000c  __TEXT,__text  objc  -[MemoryResourceException executionStack]  // -[MemoryResourceException ?]
