//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libMobileGestalt.dylib
// arch:    arm64e
// uuid:    FA923504-DDCB-3138-ACC5-FB1D38183C78
// text:    0x0000000186c1d000
// count:   3189 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000186c1e200  0x00000008  __TEXT,__text  func  MGCopyAnswer
0x0000000186c1e208  0x00000094  __TEXT,__text  func  MGGetBoolAnswer
0x0000000186c1e29c  0x0000004c  __TEXT,__text  func  MGGetSInt32Answer
0x0000000186c1e2e8  0x0000005c  __TEXT,__text  func  MGGetStringAnswer
0x0000000186c1e344  0x00000108  __TEXT,__text  func  _MGLog
0x0000000186c1e44c  0x00000074  __TEXT,__text  func  MGGetFloat32Answer
0x0000000186c1e4c0  0x00000020  __TEXT,__text  sub  sub_186c1e4c0
0x0000000186c1e4e0  0x00000010  __TEXT,__text  sub  sub_186c1e4e0
0x0000000186c1e4f0  0x00000050  __TEXT,__text  sub  sub_186c1e4f0
0x0000000186c1e540  0x0000044c  __TEXT,__text  sub  sub_186c1e540
0x0000000186c1e98c  0x000000cc  __TEXT,__text  sub  sub_186c1e98c
0x0000000186c1ea58  0x0000000c  __TEXT,__text  sub  sub_186c1ea58
0x0000000186c1ea64  0x0000000c  __TEXT,__text  func  MGSetLogHandler
0x0000000186c1ea70  0x00000008  __TEXT,__text  sub  sub_186c1ea70
0x0000000186c1ea78  0x000005ac  __TEXT,__text  sub  sub_186c1ea78
0x0000000186c1f024  0x00000008  __TEXT,__text  sub  sub_186c1f024
0x0000000186c1f02c  0x0000019c  __TEXT,__text  sub  sub_186c1f02c
0x0000000186c1f1c8  0x00000184  __TEXT,__text  sub  sub_186c1f1c8
0x0000000186c1f34c  0x00000038  __TEXT,__text  sub  sub_186c1f34c
0x0000000186c1f384  0x00000030  __TEXT,__text  sub  sub_186c1f384
0x0000000186c1f3b4  0x00000020  __TEXT,__text  sub  sub_186c1f3b4
