//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libPN548_API.dylib
// arch:    arm64e
// uuid:    8A55B9A5-6DDE-3510-A6E2-738DCEA40F80
// text:    0x0000000283510000
// count:   376 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000283510968  0x000000f0  __TEXT,__text  sub  sub_283510968
0x0000000283510a58  0x00000040  __TEXT,__text  sub  sub_283510a58
0x0000000283510a98  0x00000048  __TEXT,__text  sub  sub_283510a98
0x0000000283510ae0  0x0000006c  __TEXT,__text  sub  sub_283510ae0
0x0000000283510b4c  0x0000006c  __TEXT,__text  sub  sub_283510b4c
0x0000000283510bb8  0x00000078  __TEXT,__text  sub  sub_283510bb8
0x0000000283510c30  0x000000f4  __TEXT,__text  sub  sub_283510c30
0x0000000283510d24  0x000000f4  __TEXT,__text  sub  sub_283510d24
0x0000000283510e18  0x0000010c  __TEXT,__text  sub  sub_283510e18
0x0000000283510f24  0x000000f4  __TEXT,__text  sub  sub_283510f24
0x0000000283511018  0x00000114  __TEXT,__text  sub  sub_283511018
0x000000028351112c  0x000002bc  __TEXT,__text  sub  sub_28351112c
0x00000002835113e8  0x00000218  __TEXT,__text  sub  sub_2835113e8
0x0000000283511600  0x000005e8  __TEXT,__text  sub  sub_283511600
0x0000000283511be8  0x00000308  __TEXT,__text  sub  sub_283511be8
0x0000000283511ef0  0x00000ac0  __TEXT,__text  sub  sub_283511ef0
0x00000002835129b0  0x00000e8c  __TEXT,__text  sub  sub_2835129b0
0x000000028351383c  0x00000198  __TEXT,__text  sub  sub_28351383c
0x00000002835139d4  0x00000468  __TEXT,__text  sub  sub_2835139d4
0x0000000283513e3c  0x00000258  __TEXT,__text  sub  sub_283513e3c
0x0000000283514094  0x00000334  __TEXT,__text  func  NFDriverUnloadStackAndLeaveHWEnabled
0x00000002835143c8  0x00000218  __TEXT,__text  sub  sub_2835143c8
0x00000002835145e0  0x00000050  __TEXT,__text  sub  sub_2835145e0
0x0000000283514630  0x00000a50  __TEXT,__text  func  NFDriverLoadStack
0x0000000283515080  0x000000f0  __TEXT,__text  sub  sub_283515080
0x0000000283515170  0x00000178  __TEXT,__text  sub  sub_283515170
0x00000002835152e8  0x00000894  __TEXT,__text  sub  sub_2835152e8
0x0000000283515b7c  0x00000358  __TEXT,__text  sub  sub_283515b7c
0x0000000283515ed4  0x00000168  __TEXT,__text  sub  sub_283515ed4
0x000000028351603c  0x00000048  __TEXT,__text  sub  sub_28351603c
0x0000000283516084  0x0000000c  __TEXT,__text  sub  sub_283516084
0x0000000283516090  0x000001d4  __TEXT,__text  sub  sub_283516090
0x0000000283516264  0x00000058  __TEXT,__text  sub  sub_283516264
0x00000002835162bc  0x00000334  __TEXT,__text  sub  sub_2835162bc
0x00000002835165f0  0x00000274  __TEXT,__text  sub  sub_2835165f0
0x0000000283516864  0x0000036c  __TEXT,__text  sub  sub_283516864
0x0000000283516bd0  0x0000025c  __TEXT,__text  sub  sub_283516bd0
0x0000000283516e2c  0x00000368  __TEXT,__text  sub  sub_283516e2c
0x0000000283517194  0x00000234  __TEXT,__text  sub  sub_283517194
0x00000002835173c8  0x00000034  __TEXT,__text  sub  sub_2835173c8
0x00000002835173fc  0x0000039c  __TEXT,__text  sub  sub_2835173fc
0x0000000283517798  0x00000120  __TEXT,__text  sub  sub_283517798
0x00000002835178b8  0x00000240  __TEXT,__text  sub  sub_2835178b8
0x0000000283517af8  0x00000144  __TEXT,__text  sub  sub_283517af8
0x0000000283517c3c  0x00000138  __TEXT,__text  sub  sub_283517c3c
0x0000000283517d74  0x00000010  __TEXT,__text  sub  sub_283517d74
0x0000000283517d84  0x0000000c  __TEXT,__text  sub  sub_283517d84
0x0000000283517d90  0x00000154  __TEXT,__text  sub  sub_283517d90
0x0000000283517ee4  0x00000040  __TEXT,__text  sub  sub_283517ee4
0x0000000283517f24  0x00000148  __TEXT,__text  sub  sub_283517f24
0x000000028351806c  0x00000040  __TEXT,__text  sub  sub_28351806c
0x00000002835180ac  0x000002f4  __TEXT,__text  sub  sub_2835180ac
0x00000002835183a0  0x00000134  __TEXT,__text  sub  sub_2835183a0
0x00000002835184d4  0x000003ec  __TEXT,__text  sub  sub_2835184d4
0x00000002835188c0  0x00000160  __TEXT,__text  sub  sub_2835188c0
0x0000000283518a20  0x00000160  __TEXT,__text  sub  sub_283518a20
0x0000000283518b80  0x00000160  __TEXT,__text  sub  sub_283518b80
0x0000000283518ce0  0x00000160  __TEXT,__text  sub  sub_283518ce0
0x0000000283518e40  0x00000160  __TEXT,__text  sub  sub_283518e40
0x0000000283518fa0  0x00000160  __TEXT,__text  sub  sub_283518fa0
0x0000000283519100  0x00000160  __TEXT,__text  sub  sub_283519100
0x0000000283519260  0x00000160  __TEXT,__text  sub  sub_283519260
0x00000002835193c0  0x00000160  __TEXT,__text  sub  sub_2835193c0
0x0000000283519520  0x000000c0  __TEXT,__text  sub  sub_283519520
0x00000002835195e0  0x0000010c  __TEXT,__text  sub  sub_2835195e0
0x00000002835196ec  0x00000bd0  __TEXT,__text  sub  sub_2835196ec
0x000000028351a2bc  0x000005b0  __TEXT,__text  sub  sub_28351a2bc
