//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libTelephonyCapabilities.dylib
// arch:    arm64e
// uuid:    D2D6A196-A90B-3C2B-B8A3-AEDE5680627D
// text:    0x00000002835f0000
// count:   1870 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002835f0a20  0x0000003c  __TEXT,__text  sub  sub_2835f0a20
0x00000002835f0a5c  0x00000040  __TEXT,__text  sub  sub_2835f0a5c
0x00000002835f0a9c  0x00000218  __TEXT,__text  sub  sub_2835f0a9c
0x00000002835f0cb4  0x00000264  __TEXT,__text  sub  sub_2835f0cb4
0x00000002835f0f18  0x000002e0  __TEXT,__text  sub  sub_2835f0f18
0x00000002835f11f8  0x000002e0  __TEXT,__text  sub  sub_2835f11f8
0x00000002835f14d8  0x000001cc  __TEXT,__text  sub  sub_2835f14d8
0x00000002835f16a4  0x000002e0  __TEXT,__text  sub  sub_2835f16a4
0x00000002835f1984  0x00000234  __TEXT,__text  sub  sub_2835f1984
0x00000002835f1bb8  0x000001e8  __TEXT,__text  sub  sub_2835f1bb8
0x00000002835f1da0  0x000002e0  __TEXT,__text  sub  sub_2835f1da0
0x00000002835f2080  0x00000264  __TEXT,__text  sub  sub_2835f2080
0x00000002835f22e4  0x00000274  __TEXT,__text  sub  sub_2835f22e4
0x00000002835f2558  0x000001c4  __TEXT,__text  sub  sub_2835f2558
0x00000002835f271c  0x00000274  __TEXT,__text  sub  sub_2835f271c
0x00000002835f2990  0x0000017c  __TEXT,__text  sub  sub_2835f2990
0x00000002835f2b0c  0x00000274  __TEXT,__text  sub  sub_2835f2b0c
0x00000002835f2d80  0x00000274  __TEXT,__text  sub  sub_2835f2d80
0x00000002835f2ff4  0x0000017c  __TEXT,__text  sub  sub_2835f2ff4
0x00000002835f3170  0x00000274  __TEXT,__text  sub  sub_2835f3170
0x00000002835f33e4  0x00000274  __TEXT,__text  sub  sub_2835f33e4
0x00000002835f3658  0x00000274  __TEXT,__text  sub  sub_2835f3658
0x00000002835f38cc  0x00000274  __TEXT,__text  sub  sub_2835f38cc
0x00000002835f3b40  0x00000274  __TEXT,__text  sub  sub_2835f3b40
0x00000002835f3db4  0x00000274  __TEXT,__text  sub  sub_2835f3db4
0x00000002835f4028  0x00000274  __TEXT,__text  sub  sub_2835f4028
0x00000002835f429c  0x00000208  __TEXT,__text  sub  sub_2835f429c
0x00000002835f44a4  0x00000208  __TEXT,__text  sub  sub_2835f44a4
0x00000002835f46ac  0x00000274  __TEXT,__text  sub  sub_2835f46ac
0x00000002835f4920  0x00000218  __TEXT,__text  sub  sub_2835f4920
0x00000002835f4b38  0x00000274  __TEXT,__text  sub  sub_2835f4b38
0x00000002835f4dac  0x00000274  __TEXT,__text  sub  sub_2835f4dac
0x00000002835f5020  0x00000274  __TEXT,__text  sub  sub_2835f5020
0x00000002835f5294  0x00000208  __TEXT,__text  sub  sub_2835f5294
0x00000002835f549c  0x00000218  __TEXT,__text  sub  sub_2835f549c
0x00000002835f56b4  0x00000208  __TEXT,__text  sub  sub_2835f56b4
0x00000002835f58bc  0x00000274  __TEXT,__text  sub  sub_2835f58bc
0x00000002835f5b30  0x00000274  __TEXT,__text  sub  sub_2835f5b30
0x00000002835f5da4  0x00000274  __TEXT,__text  sub  sub_2835f5da4
0x00000002835f6018  0x00000260  __TEXT,__text  sub  sub_2835f6018
0x00000002835f6278  0x00000274  __TEXT,__text  sub  sub_2835f6278
0x00000002835f64ec  0x00000218  __TEXT,__text  sub  sub_2835f64ec
0x00000002835f6704  0x0000017c  __TEXT,__text  sub  sub_2835f6704
0x00000002835f6880  0x0000017c  __TEXT,__text  sub  sub_2835f6880
0x00000002835f69fc  0x00000228  __TEXT,__text  sub  sub_2835f69fc
0x00000002835f6c24  0x00000228  __TEXT,__text  sub  sub_2835f6c24
0x00000002835f6e4c  0x00000228  __TEXT,__text  sub  sub_2835f6e4c
0x00000002835f7074  0x00000228  __TEXT,__text  sub  sub_2835f7074
0x00000002835f729c  0x0000012c  __TEXT,__text  sub  sub_2835f729c
0x00000002835f73c8  0x000001d8  __TEXT,__text  sub  sub_2835f73c8
0x00000002835f75a0  0x00000170  __TEXT,__text  sub  sub_2835f75a0
0x00000002835f7710  0x00000110  __TEXT,__text  sub  sub_2835f7710
0x00000002835f7820  0x00000154  __TEXT,__text  sub  sub_2835f7820
0x00000002835f7974  0x0000003c  __TEXT,__text  sub  sub_2835f7974
0x00000002835f79b0  0x00000040  __TEXT,__text  sub  sub_2835f79b0
0x00000002835f79f0  0x0000003c  __TEXT,__text  sub  sub_2835f79f0
0x00000002835f7a2c  0x00000260  __TEXT,__text  sub  sub_2835f7a2c
0x00000002835f7c8c  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs13ABMLogEnabledEv  // capabilities::abs::ABMLogEnabled()
0x00000002835f7ce0  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs13ABMLogHistoryEv  // capabilities::abs::ABMLogHistory()
0x00000002835f7d38  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs12TUDebugFlagsEv  // capabilities::abs::TUDebugFlags()
0x00000002835f7d90  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs23fileSystemFlushIntervalEv  // capabilities::abs::fileSystemFlushInterval()
0x00000002835f7de8  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs25shouldForceSyncFileSystemEv  // capabilities::abs::shouldForceSyncFileSystem()
0x00000002835f7e3c  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs10shouldBootEv  // capabilities::abs::shouldBoot()
0x00000002835f7e94  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs17shouldBlockResetsEv  // capabilities::abs::shouldBlockResets()
0x00000002835f7ee8  0x00000100  __TEXT,__text  cxx  __ZN12capabilities3abs14logScratchPathEv  // capabilities::abs::logScratchPath()
0x00000002835f7fe8  0x00000100  __TEXT,__text  cxx  __ZN12capabilities3abs15logSnapshotPathEv  // capabilities::abs::logSnapshotPath()
0x00000002835f80e8  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs39shouldTriggerCoreDumpOnSoftResetTimeoutEv  // capabilities::abs::shouldTriggerCoreDumpOnSoftResetTimeout()
0x00000002835f813c  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs39shouldTriggerStackshotOnShutdownTimeoutEv  // capabilities::abs::shouldTriggerStackshotOnShutdownTimeout()
0x00000002835f8190  0x00000054  __TEXT,__text  cxx  __ZN12capabilities3abs26shouldPanicOnBasebandResetEv  // capabilities::abs::shouldPanicOnBasebandReset()
0x00000002835f81e4  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs17CPMSDebounceTimerEv  // capabilities::abs::CPMSDebounceTimer()
0x00000002835f823c  0x00000058  __TEXT,__text  cxx  __ZN12capabilities3abs23dataAggregationProtocolEv  // capabilities::abs::dataAggregationProtocol()
