//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libauditd.0.dylib
// arch:    arm64e
// uuid:    945497FA-D892-39C9-8F75-EF0EF8CA87E7
// text:    0x0000000198cb8000
// count:   19 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000198cb86c0  0x0000002c  __TEXT,__text  func  auditd_strerror
0x0000000198cb86ec  0x0000012c  __TEXT,__text  func  auditd_set_host
0x0000000198cb8818  0x00000080  __TEXT,__text  func  auditd_set_minfree
0x0000000198cb8898  0x00000530  __TEXT,__text  func  auditd_expire_trails
0x0000000198cb8dc8  0x00000380  __TEXT,__text  func  auditd_read_dirs
0x0000000198cb9148  0x00000050  __TEXT,__text  func  free_dir_q
0x0000000198cb9198  0x0000002c  __TEXT,__text  func  auditd_close_dirs
0x0000000198cb91c4  0x000000ec  __TEXT,__text  func  auditd_set_evcmap
0x0000000198cb92b0  0x0000008c  __TEXT,__text  func  auditd_set_namask
0x0000000198cb933c  0x0000009c  __TEXT,__text  func  auditd_set_policy
0x0000000198cb93d8  0x00000024  __TEXT,__text  func  auditd_set_sflags_masks
0x0000000198cb93fc  0x00000054  __TEXT,__text  func  auditd_set_fsize
0x0000000198cb9450  0x00000210  __TEXT,__text  func  auditd_swap_trail
0x0000000198cb9660  0x00000050  __TEXT,__text  func  auditd_prevent_audit
0x0000000198cb96b0  0x000001e0  __TEXT,__text  func  auditd_gen_record
0x0000000198cb9890  0x000002e4  __TEXT,__text  func  auditd_new_curlink
0x0000000198cb9b74  0x00000264  __TEXT,__text  func  audit_quick_start
0x0000000198cb9dd8  0x0000001c  __TEXT,__text  func  audit_quick_start_internal
0x0000000198cb9df4  0x00000000  __TEXT,__text  func  audit_quick_stop
