//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/usr/lib/libbz2.1.0.dylib
// arch:    arm64e
// uuid:    928515D6-6108-3757-97F4-256F9F9CFBC8
// text:    0x000000018fd01000
// count:   43 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000018fd01688  0x00000108  __TEXT,__text  func  BZ2_bzBuffToBuffDecompress
0x000000018fd01790  0x000000d8  __TEXT,__text  func  BZ2_bzDecompressInit
0x000000018fd01868  0x00000d78  __TEXT,__text  func  BZ2_bzDecompress
0x000000018fd025e0  0x00000090  __TEXT,__text  func  BZ2_bzDecompressEnd
0x000000018fd02670  0x00000104  __TEXT,__text  func  BZ2_bzBuffToBuffCompress
0x000000018fd02774  0x000001e4  __TEXT,__text  func  BZ2_bzCompressInit
0x000000018fd02958  0x00000190  __TEXT,__text  func  BZ2_bzCompress
0x000000018fd02ae8  0x00000090  __TEXT,__text  func  BZ2_bzCompressEnd
0x000000018fd02b78  0x000034c0  __TEXT,__text  sub  sub_18fd02b78
0x000000018fd06038  0x00000f2c  __TEXT,__text  sub  sub_18fd06038
0x000000018fd06f64  0x000003f0  __TEXT,__text  sub  sub_18fd06f64
0x000000018fd07354  0x00000058  __TEXT,__text  sub  sub_18fd07354
0x000000018fd073ac  0x000000a4  __TEXT,__text  sub  sub_18fd073ac
0x000000018fd07450  0x00000168  __TEXT,__text  sub  sub_18fd07450
0x000000018fd075b8  0x000008b0  __TEXT,__text  sub  sub_18fd075b8
0x000000018fd07e68  0x000002ac  __TEXT,__text  sub  sub_18fd07e68
0x000000018fd08114  0x0000000c  __TEXT,__text  func  BZ2_bzlibVersion
0x000000018fd08120  0x00000014  __TEXT,__text  sub  sub_18fd08120
0x000000018fd08134  0x00000010  __TEXT,__text  sub  sub_18fd08134
0x000000018fd08144  0x00000400  __TEXT,__text  sub  sub_18fd08144
0x000000018fd08544  0x00000034  __TEXT,__text  sub  sub_18fd08544
0x000000018fd08578  0x0000014c  __TEXT,__text  func  BZ2_bzWriteOpen
0x000000018fd086c4  0x00000144  __TEXT,__text  func  BZ2_bzWrite
0x000000018fd08808  0x00000010  __TEXT,__text  func  BZ2_bzWriteClose
0x000000018fd08818  0x00000204  __TEXT,__text  func  BZ2_bzWriteClose64
0x000000018fd08a1c  0x00000190  __TEXT,__text  func  BZ2_bzReadOpen
0x000000018fd08bac  0x00000094  __TEXT,__text  func  BZ2_bzReadClose
0x000000018fd08c40  0x000001c4  __TEXT,__text  func  BZ2_bzRead
0x000000018fd08e04  0x00000040  __TEXT,__text  sub  sub_18fd08e04
0x000000018fd08e44  0x00000074  __TEXT,__text  func  BZ2_bzReadGetUnused
0x000000018fd08eb8  0x00000010  __TEXT,__text  func  BZ2_bzopen
0x000000018fd08ec8  0x0000021c  __TEXT,__text  sub  sub_18fd08ec8
0x000000018fd090e4  0x00000014  __TEXT,__text  func  BZ2_bzdopen
0x000000018fd090f8  0x00000058  __TEXT,__text  func  BZ2_bzread
0x000000018fd09150  0x0000004c  __TEXT,__text  func  BZ2_bzwrite
0x000000018fd0919c  0x00000008  __TEXT,__text  func  BZ2_bzflush
0x000000018fd091a4  0x000000c8  __TEXT,__text  func  BZ2_bzclose
0x000000018fd0926c  0x00000020  __TEXT,__text  func  BZ2_bzerror
0x000000018fd0928c  0x00000138  __TEXT,__text  sub  sub_18fd0928c
0x000000018fd093c4  0x00000194  __TEXT,__text  sub  sub_18fd093c4
0x000000018fd09558  0x00002950  __TEXT,__text  sub  sub_18fd09558
0x000000018fd0bea8  0x00000140  __TEXT,__text  sub  sub_18fd0bea8
0x000000018fd0bfe8  0x00000000  __TEXT,__text  sub  sub_18fd0bfe8
