//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/libcups.2.dylib
// arch:    arm64e
// uuid:    CC1FB779-0931-313B-93CC-C842BCEA8485
// text:    0x000000019483a000
// count:   804 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019483ab50  0x0000005c  __TEXT,__text  func  cupsFileStderr
0x000000019483abac  0x000001e0  __TEXT,__text  func  _cupsGlobals
0x000000019483ad8c  0x0000020c  __TEXT,__text  func  cupsFileOpenFd
0x000000019483af98  0x00000028  __TEXT,__text  func  cupsArrayFirst
0x000000019483afc0  0x0000000c  __TEXT,__text  func  cupsArrayCount
0x000000019483afcc  0x00000048  __TEXT,__text  func  cupsArrayNew
0x000000019483b014  0x0000009c  __TEXT,__text  func  cupsArrayDelete
0x000000019483b0b0  0x0000002c  __TEXT,__text  func  _httpTLSSetOptions
0x000000019483b0dc  0x00000008  __TEXT,__text  func  cupsLangDefault
0x000000019483b0e4  0x000006f4  __TEXT,__text  func  cupsLangGet
0x000000019483b7d8  0x0000016c  __TEXT,__text  func  _cupsAppleLocale
0x000000019483b944  0x00000070  __TEXT,__text  func  _cups_strcasecmp
0x000000019483b9b4  0x00000004  __TEXT,__text  func  _cupsMutexLock
0x000000019483b9b8  0x00000004  __TEXT,__text  func  _cupsMutexUnlock
0x000000019483b9bc  0x000001e8  __TEXT,__text  func  cupsFileOpen
0x000000019483bba4  0x00000204  __TEXT,__text  func  cupsFileGetConf
0x000000019483bda8  0x00000144  __TEXT,__text  func  cupsFileGets
0x000000019483beec  0x000001b4  __TEXT,__text  func  cupsFileClose
0x000000019483c0a0  0x0000060c  __TEXT,__text  func  httpAddrGetList
0x000000019483c6ac  0x00000018  __TEXT,__text  func  cupsArrayAdd
0x000000019483c6c4  0x00000170  __TEXT,__text  func  httpAddrString
0x000000019483c834  0x0000005c  __TEXT,__text  func  httpAddrLength
0x000000019483c890  0x00000034  __TEXT,__text  func  httpAddrPort
0x000000019483c8c4  0x0000000c  __TEXT,__text  func  httpAddrFamily
0x000000019483c8d0  0x00000068  __TEXT,__text  func  httpAddrLocalhost
0x000000019483c938  0x0000009c  __TEXT,__text  func  httpAddrEqual
0x000000019483c9d4  0x00000044  __TEXT,__text  func  cupsArrayNext
0x000000019483ca18  0x00000034  __TEXT,__text  func  httpAddrFreeList
0x000000019483ca4c  0x0000012c  __TEXT,__text  func  cupsArrayFind
0x000000019483cb78  0x000000f8  __TEXT,__text  func  _cupsStrAlloc
0x000000019483cc70  0x000000bc  __TEXT,__text  func  cupsArrayNew3
0x000000019483cd2c  0x00000020  __TEXT,__text  func  _cups_strcpy
0x000000019483cd4c  0x00000084  __TEXT,__text  func  _cups_strncasecmp
0x000000019483cdd0  0x00000180  __TEXT,__text  func  ippOpValue
0x000000019483cf50  0x000000bc  __TEXT,__text  func  ippOpString
0x000000019483d00c  0x00000120  __TEXT,__text  func  cupsArrayDup
0x000000019483d12c  0x000001f8  __TEXT,__text  func  cupsSetServerCredentials
0x000000019483d324  0x00000070  __TEXT,__text  func  cupsDirOpen
0x000000019483d394  0x000000f4  __TEXT,__text  func  cupsDirRead
0x000000019483d488  0x00000044  __TEXT,__text  func  cupsDirClose
0x000000019483d4cc  0x00000148  __TEXT,__text  func  cupsFileFind
0x000000019483d614  0x000000e4  __TEXT,__text  func  cupsFileRead
0x000000019483d6f8  0x0000019c  __TEXT,__text  func  cupsFileSeek
0x000000019483d894  0x000000b4  __TEXT,__text  func  cupsFileRewind
0x000000019483d948  0x00000088  __TEXT,__text  func  ippNew
0x000000019483d9d0  0x000001b8  __TEXT,__text  func  cupsSetServer
0x000000019483db88  0x00000290  __TEXT,__text  func  ippAddString
0x000000019483de18  0x00000314  __TEXT,__text  func  ippAddStrings
0x000000019483e12c  0x00000070  __TEXT,__text  func  ippAddRange
0x000000019483e19c  0x0000009c  __TEXT,__text  func  ippAddInteger
0x000000019483e238  0x0000006c  __TEXT,__text  func  ippAddBoolean
0x000000019483e2a4  0x00000098  __TEXT,__text  func  ippAddIntegers
0x000000019483e33c  0x000001a0  __TEXT,__text  func  cupsFilePrintf
0x000000019483e4dc  0x00000090  __TEXT,__text  func  cupsFileFlush
0x000000019483e56c  0x00000048  __TEXT,__text  func  httpInitialize
0x000000019483e5b4  0x0000000c  __TEXT,__text  func  _cupsGlobalLock
0x000000019483e5c0  0x00000004  __TEXT,__text  func  _httpTLSInitialize
0x000000019483e5c4  0x0000000c  __TEXT,__text  func  _cupsGlobalUnlock
0x000000019483e5d0  0x00000050  __TEXT,__text  func  cupsTempFile2
0x000000019483e620  0x00000140  __TEXT,__text  func  cupsTempFd
0x000000019483e760  0x00000014  __TEXT,__text  func  cupsFileNumber
0x000000019483e774  0x00000120  __TEXT,__text  func  cupsFilePuts
0x000000019483e894  0x00000238  __TEXT,__text  func  httpAddrListen
0x000000019483eacc  0x00000038  __TEXT,__text  func  cupsArraySave
0x000000019483eb04  0x00000044  __TEXT,__text  func  cupsArrayRestore
0x000000019483eb48  0x00000180  __TEXT,__text  func  httpAcceptConnection
0x000000019483ecc8  0x00000098  __TEXT,__text  func  httpAddrCopyList
0x000000019483ed60  0x00000014  __TEXT,__text  func  httpGetFd
0x000000019483ed74  0x000001e4  __TEXT,__text  func  httpGetHostname
0x000000019483ef58  0x0000000c  __TEXT,__text  func  httpGetAddress
0x000000019483ef64  0x00000028  __TEXT,__text  func  httpGetReady
0x000000019483ef8c  0x0000000c  __TEXT,__text  func  httpGetActivity
0x000000019483ef98  0x00000014  __TEXT,__text  func  httpError
0x000000019483efac  0x00000014  __TEXT,__text  func  httpGetState
0x000000019483efc0  0x0000002c  __TEXT,__text  func  httpStateString
0x000000019483efec  0x00000014  __TEXT,__text  func  httpIsChunked
0x000000019483f000  0x0000000c  __TEXT,__text  func  httpGetRemaining
0x000000019483f00c  0x000003ac  __TEXT,__text  func  httpReadRequest
0x000000019483f3b8  0x000000c0  __TEXT,__text  func  httpClearFields
0x000000019483f478  0x00000234  __TEXT,__text  func  httpGets
0x000000019483f6ac  0x0000008c  __TEXT,__text  func  httpWait
0x000000019483f738  0x000005cc  __TEXT,__text  func  httpSeparateURI
0x000000019483fd04  0x00000014  __TEXT,__text  func  httpGetVersion
0x000000019483fd18  0x00000094  __TEXT,__text  func  httpUpdate
0x000000019483fdac  0x000000d8  __TEXT,__text  func  httpGetLength2
0x000000019483fe84  0x00000030  __TEXT,__text  func  httpGetField
0x000000019483feb4  0x00000014  __TEXT,__text  func  httpGetExpect
0x000000019483fec8  0x000003e8  __TEXT,__text  func  httpWriteResponse
0x00000001948402b0  0x0000004c  __TEXT,__text  func  httpStatus
0x00000001948402fc  0x000004f8  __TEXT,__text  func  _cupsLangString
0x00000001948407f4  0x00000144  __TEXT,__text  func  _cupsAppleLanguage
0x0000000194840938  0x00000150  __TEXT,__text  func  _cupsMessageLookup
0x0000000194840a88  0x0000000c  __TEXT,__text  func  cupsArrayUserData
0x0000000194840a94  0x000000f8  __TEXT,__text  func  httpPrintf
0x0000000194840b8c  0x00000254  __TEXT,__text  func  httpWrite2
0x0000000194840de0  0x00000060  __TEXT,__text  func  httpFlushWrite
0x0000000194840e40  0x0000012c  __TEXT,__text  func  cupsArrayRemove
0x0000000194840f6c  0x00000014  __TEXT,__text  func  httpIsEncrypted
0x0000000194840f80  0x000000f0  __TEXT,__text  func  httpClose
0x0000000194841070  0x00000044  __TEXT,__text  func  _httpDisconnect
0x00000001948410b4  0x00000068  __TEXT,__text  func  httpAddrClose
0x000000019484111c  0x00000058  __TEXT,__text  func  cupsLangFree
0x0000000194841174  0x00000084  __TEXT,__text  sub  sub_194841174
0x00000001948411f8  0x000000e8  __TEXT,__text  sub  sub_1948411f8
0x00000001948412e0  0x000000ec  __TEXT,__text  sub  sub_1948412e0
0x00000001948413cc  0x000000a0  __TEXT,__text  sub  sub_1948413cc
0x000000019484146c  0x000000e8  __TEXT,__text  sub  sub_19484146c
0x0000000194841554  0x000000a4  __TEXT,__text  sub  sub_194841554
0x00000001948415f8  0x000000a4  __TEXT,__text  sub  sub_1948415f8
0x000000019484169c  0x000000fc  __TEXT,__text  sub  sub_19484169c
0x0000000194841798  0x000002e8  __TEXT,__text  sub  sub_194841798
0x0000000194841a80  0x000000fc  __TEXT,__text  sub  sub_194841a80
0x0000000194841b7c  0x0000002c  __TEXT,__text  sub  sub_194841b7c
0x0000000194841ba8  0x00000050  __TEXT,__text  sub  sub_194841ba8
0x0000000194841bf8  0x000001f0  __TEXT,__text  sub  sub_194841bf8
0x0000000194841de8  0x00000240  __TEXT,__text  func  _cupsArrayAddStrings
0x0000000194842028  0x00000078  __TEXT,__text  func  cupsArrayClear
0x00000001948420a0  0x0000002c  __TEXT,__text  func  cupsArrayCurrent
0x00000001948420cc  0x00000180  __TEXT,__text  sub  sub_1948420cc
0x000000019484224c  0x00000014  __TEXT,__text  func  cupsArrayGetIndex
0x0000000194842260  0x00000014  __TEXT,__text  func  cupsArrayGetInsert
0x0000000194842274  0x0000002c  __TEXT,__text  func  cupsArrayIndex
0x00000001948422a0  0x00000018  __TEXT,__text  func  cupsArrayInsert
0x00000001948422b8  0x00000028  __TEXT,__text  func  cupsArrayLast
0x00000001948422e0  0x0000000c  __TEXT,__text  func  cupsArrayNew2
0x00000001948422ec  0x00000090  __TEXT,__text  func  _cupsArrayNewStrings
0x000000019484237c  0x00000038  __TEXT,__text  func  cupsArrayPrev
0x00000001948423b4  0x000006c8  __TEXT,__text  func  cupsDoAuthentication
0x0000000194842a7c  0x0000013c  __TEXT,__text  sub  sub_194842a7c
0x0000000194842bb8  0x00000450  __TEXT,__text  func  _cupsSetNegotiateAuthString
0x0000000194843008  0x000001fc  __TEXT,__text  sub  sub_194843008
0x0000000194843204  0x0000004c  __TEXT,__text  sub  sub_194843204
0x0000000194843250  0x00000144  __TEXT,__text  sub  sub_194843250
0x0000000194843394  0x00000004  __TEXT,__text  func  _cups_debug_set
0x0000000194843398  0x0000061c  __TEXT,__text  func  _cups_safe_vsnprintf
0x00000001948439b4  0x00000130  __TEXT,__text  func  cupsAddDest
0x0000000194843ae4  0x00000098  __TEXT,__text  func  cupsGetDest
0x0000000194843b7c  0x00000114  __TEXT,__text  sub  sub_194843b7c
0x0000000194843c90  0x00000014  __TEXT,__text  func  _cupsAppleCopyDefaultPaperID
0x0000000194843ca4  0x00000088  __TEXT,__text  func  _cupsAppleCopyDefaultPrinter
0x0000000194843d2c  0x0000005c  __TEXT,__text  func  _cupsAppleGetUseLastPrinter
0x0000000194843d88  0x00000140  __TEXT,__text  sub  sub_194843d88
0x0000000194843ec8  0x00000060  __TEXT,__text  sub  sub_194843ec8
0x0000000194843f28  0x00000118  __TEXT,__text  sub  sub_194843f28
0x0000000194844040  0x00000058  __TEXT,__text  func  _cupsAppleSetDefaultPaperID
0x0000000194844098  0x000001dc  __TEXT,__text  func  _cupsAppleSetDefaultPrinter
0x0000000194844274  0x00000070  __TEXT,__text  func  _cupsAppleSetUseLastPrinter
0x00000001948442e4  0x000003c4  __TEXT,__text  func  cupsConnectDest
0x00000001948446a8  0x000001d8  __TEXT,__text  sub  sub_1948446a8
0x0000000194844880  0x000002dc  __TEXT,__text  func  _cupsCreateDest
0x0000000194844b5c  0x00000018  __TEXT,__text  func  cupsConnectDestBlock
0x0000000194844b74  0x0000000c  __TEXT,__text  sub  sub_194844b74
0x0000000194844b80  0x00000138  __TEXT,__text  func  cupsCopyDest
0x0000000194844cb8  0x00000084  __TEXT,__text  func  cupsRemoveDest
0x0000000194844d3c  0x00000008  __TEXT,__text  func  cupsEnumDests
0x0000000194844d44  0x000007cc  __TEXT,__text  sub  sub_194844d44
0x0000000194845510  0x0000001c  __TEXT,__text  func  cupsEnumDestsBlock
0x000000019484552c  0x00000090  __TEXT,__text  func  cupsFreeDests
0x00000001948455bc  0x00000114  __TEXT,__text  sub  sub_1948455bc
0x00000001948456d0  0x0000020c  __TEXT,__text  func  _cupsGetDestResource
0x00000001948458dc  0x000002c4  __TEXT,__text  func  cupsGetDestWithURI
0x0000000194845ba0  0x00000074  __TEXT,__text  sub  sub_194845ba0
0x0000000194845c14  0x0000068c  __TEXT,__text  func  _cupsGetDests
0x00000001948462a0  0x0000021c  __TEXT,__text  sub  sub_1948462a0
0x00000001948464bc  0x0000000c  __TEXT,__text  func  cupsGetDests
0x00000001948464c8  0x0000014c  __TEXT,__text  func  cupsGetDests2
0x0000000194846614  0x00000054  __TEXT,__text  sub  sub_194846614
0x0000000194846668  0x000002f4  __TEXT,__text  func  cupsGetNamedDest
0x000000019484695c  0x000000d8  __TEXT,__text  sub  sub_19484695c
0x0000000194846a34  0x00000140  __TEXT,__text  sub  sub_194846a34
0x0000000194846b74  0x00000068  __TEXT,__text  sub  sub_194846b74
0x0000000194846bdc  0x00000324  __TEXT,__text  sub  sub_194846bdc
0x0000000194846f00  0x0000009c  __TEXT,__text  func  cupsSetDefaultDest
0x0000000194846f9c  0x00000010  __TEXT,__text  func  cupsSetDests
0x0000000194846fac  0x00000460  __TEXT,__text  func  cupsSetDests2
0x000000019484740c  0x0000007c  __TEXT,__text  sub  sub_19484740c
0x0000000194847488  0x0000000c  __TEXT,__text  sub  sub_194847488
0x0000000194847494  0x0000006c  __TEXT,__text  sub  sub_194847494
0x0000000194847500  0x000001f0  __TEXT,__text  sub  sub_194847500
